departure city,arrival city,transit_distance [m],transit_time [s]
Düsseldorf,Las Palmas,-1,-1
Düsseldorf,Las Palmas,-1,-1
Aberdeen,Las Palmas,-1,-1
Derby,Las Palmas,-1,-1
Derby,Las Palmas,-1,-1
Frankfurt,Las Palmas,-1,-1
Frankfurt,Las Palmas,-1,-1
Belfast,Las Palmas,-1,-1
Belfast,Las Palmas,-1,-1
Hannover,Las Palmas,-1,-1
Copenhagen,Torrejón de Ardoz,2795292,104193
Düsseldorf,Torrejón de Ardoz,2317227,75420
Donostia,Torrejón de Ardoz,422781,26986
Aberdeen,Torrejón de Ardoz,2630268,98129
Rome,Torrejón de Ardoz,2660569,110731
Florence,Torrejón de Ardoz,1982691,83520
La Laguna,Torrejón de Ardoz,-1,-1
Granada,Torrejón de Ardoz,379899,19440
Geneva,Torrejón de Ardoz,1911001,67920
Vantaa,Torrejón de Ardoz,3958196,190173
Copenhagen,Paris,1526162,63480
Düsseldorf,Paris,525306,33540
Derby,Paris,738352,28544
Rome,Paris,1414812,56580
Rome,Paris,1414812,56580
Florence,Paris,1204434,50280
La Laguna,Paris,-1,-1
Frankfurt,Paris,594457,29700
Belfast,Paris,1215849,60780
Copenhagen,Málaga,3327758,117720
Aberdeen,Málaga,3134673,110400
Eindhoven,Málaga,-1,-1
Derby,Málaga,2390595,95700
Rome,Málaga,2728316,97860
Frankfurt,Málaga,2490359,70500
Saarbrücken,Málaga,2299023,73829
Donostia,Barcelona,-1,-1
Aberdeen,Barcelona,2544104,72420
Rome,Barcelona,1378395,76500
Frankfurt,Barcelona,1379905,45060
Granada,Barcelona,958584,27000
Geneva,Barcelona,793406,34260
Vantaa,Barcelona,3923460,178860
Copenhagen,Munich,1315701,49200
Düsseldorf,Munich,699763,24120
Rome,Munich,910081,32820
Florence,Munich,642110,33300
Frankfurt,Munich,423475,24780
Geneva,Munich,597482,34800
Hannover,Munich,647042,21660
Copenhagen,Vantaa,1174993,66660
Düsseldorf,Vantaa,2344016,123745
Frankfurt,Vantaa,2201476,116820
Uppsala,Vantaa,-1,-1
Paris,Vantaa,2757752,129720
Oulu,Vantaa,663785,26820
Oulu,Vantaa,663785,26820
Copenhagen,Gothenburg,339564,27360
Aberdeen,Gothenburg,-1,-1
Frankfurt,Gothenburg,1329196,65460
Málaga,Gothenburg,3637487,147900
Bergen,Gothenburg,748233,41700
Geneva,Gothenburg,1910823,84000
Vantaa,Gothenburg,980003,63240
Copenhagen,Hoofddorp,1008404,49200
Düsseldorf,Hoofddorp,240614,13860
Huelva,Hoofddorp,-1,-1
Rome,Hoofddorp,1916608,71100
La Laguna,Hoofddorp,-1,-1
Frankfurt,Hoofddorp,544170,31020
Belfast,Hoofddorp,1438603,57825
Aberdeen,Croydon,970196,35880
Rome,Croydon,1926824,73380
Florence,Croydon,1747874,67080
Frankfurt,Croydon,810383,39540
Bournemouth,Croydon,202728,18881
Geneva,Croydon,1069937,40980
Copenhagen,Budapest,1874267,75720
Dortmund,Budapest,1315128,47820
Eindhoven,Budapest,1380479,57780
Rome,Budapest,1279337,66660
La Laguna,Budapest,-1,-1
Frankfurt,Budapest,992027,45600
Düsseldorf,Odivelas,3257852,114420
Eindhoven,Odivelas,-1,-1
Huelva,Odivelas,391111,22080
Rome,Odivelas,3142131,107878
La Laguna,Odivelas,-1,-1
Düsseldorf,Oulu,2904777,123540
Düsseldorf,Oulu,2904777,123540
Düsseldorf,Oulu,2904777,123540
Frankfurt,Oulu,3033756,126120
Vantaa,Oulu,663864,29100
Copenhagen,Maia,-1,-1
Strasbourg,Maia,-1,-1
Ulm,Maia,-1,-1
La Laguna,Maia,-1,-1
Geneva,Maia,-1,-1
Barcelona,Charleroi,1448802,50580
Rome,Charleroi,1769203,67860
Bucharest,Charleroi,2427659,121560
Catania,Charleroi,2533878,93892
Aberdeen,Charleroi,1315377,42000
Copenhagen,Alicante,3345152,113700
Eindhoven,Alicante,-1,-1
Derby,Alicante,-1,-1
Strasbourg,Alicante,1665331,74040
Frankfurt,Alicante,1916343,70800
Copenhagen,Hamburg,504934,25560
Frankfurt,Hamburg,503485,24660
Málaga,Hamburg,2778379,109200
Las Palmas,Hamburg,-1,-1
Vantaa,Hamburg,1685547,108780
Copenhagen,Geneva,1682227,71220
Aberdeen,Geneva,1979319,58140
Derby,Geneva,1268350,43544
Frankfurt,Geneva,569453,31500
Belfast,Geneva,1779202,83745
Aberdeen,Bristol,864320,40260
La Laguna,Bristol,-1,-1
Frankfurt,Bristol,987786,47700
Belfast,Bristol,689408,52560
Geneva,Bristol,1241560,46860
Aberdeen,Solihull,731110,37980
Bournemouth,Solihull,260440,31200
Mataró,Solihull,1787733,62640
Geneva,Solihull,1225895,47763
Rome,Cagliari,467881,52380
Rome,Cagliari,467881,52380
Rome,Cagliari,467881,52380
Nice,Cagliari,966579,79800
Taranto,Bologna,744601,42900
Catania,Bologna,1080829,38880
Rome,Bologna,373928,16800
Frankfurt,Bologna,863500,43140
Copenhagen,Vienna,1626575,63600
Düsseldorf,Vienna,961800,40740
Rome,Vienna,1243361,59100
Frankfurt,Vienna,729450,33180
Rome,Brussels,1719235,64800
Frankfurt,Brussels,411946,26700
Geneva,Brussels,862310,34260
Vantaa,Brussels,2331342,137460
Derby,Belfast,625909,50160
Huelva,Belfast,-1,-1
Huelva,Belfast,-1,-1
Belfast,Belfast,-1,-1
Copenhagen,Zürich,1544224,64800
Düsseldorf,Zürich,684854,29100
Rome,Zürich,807072,44820
Frankfurt,Zürich,421523,24240
