original_city,cleaned_city,new_cleaned_city
Andenes,Andenes,Andenes
Moscow,Moscow,Moscow
Prague,Prague,Prague
Stavropol,Stavropol,Stavropol
Craiova,Craiova,Craiova
Bristol,Bristol,Bristol
El Matorral,El Matorral,El Matorral
Firenze,Firenze,Firenze
Rhodes,Rhodes,Rhodes
Nyköping,Nyköping,Nykoping
Rotterdam,Rotterdam,Rotterdam
Alghero,Alghero,Alghero
Dresden,Dresden,Dresden
Jasionka,Jasionka,Jasionka
Kazan,Kazan,Kazan
Goleniow,Goleniow,Goleniow
"Sta Cruz de la Palma, La Palma Island","Sta Cruz de la Palma, La Palma Island",Sta Cruz de la Palma
Samara,Samara,Samara
Radom,Radome,Radome
Munich,Munich,Munich
Zagreb,Zagreb,Zagreb
Castellón de la Plana,Castellón de la Plana,Castellon de la Plana
Geneva,Geneva,Geneva
Tallinn,Tallinn,Tallinn
Brindisi,Brindisi,Brindisi
Aalborg,Aalborg,Aalborg
Bugulma,Bugulma,Bugulma
Ajaccio/Napoléon Bonaparte,Ajaccio/Napoléon Bonaparte,Ajaccio
Mineralnyye Vody,Mineralnyye Vody,Mineralnyye Vody
Gelendzhik,Gelendzhik,Gelendzhik
Eindhoven,Eindhoven,Eindhoven
Pula,Pula,Pula
Tampere / Pirkkala,Tampere / Pirkkala,Tampere
Feldkirchen bei Graz,Feldkirchen near Graz,Graz
Helsinki,Helsinki,Helsinki
Lublin,Lublin,Lublin
Karmøy,Karmøy,Karmoy
Bologna,Bologna,Bologna
Bydgoszcz,Bydgoszcz,Bydgoszcz
Billund,Billund,Billund
Otopeni,Otopeni,Otopeni
Stavanger,Stavanger,Stavanger
Tromsø,Tromsø,Tromso
Segrate (MI),Segrate ,Segrate
Varna,Varna,Varna
Kaluga,Kaluga,Kaluga
Granada,Granada,Granada
Bergen,Bergen,Bergen
Praia da Vitória,Praia da Vitória,Praia da Vitoria
Košice,Košice,Kosice
Vienna,Vienna,Vienna
Lamezia Terme (CZ),Lamezia Terme ,Lamezia Terme
Barcelona,Barcelona,Barcelona
Dubrave Gornje,Dubrave Gornje,Dubrave Gornje
Memmingen,Memmingen,Memmingen
Chelyabinsk,Chelyabinsk,Chelyabinsk
Sabetta,Sabetta,Sabetta
Lyon,Lyon,Lyon
Alexandroupolis,Alexandroupolis,Alexandroupolis
Inverness,Inverness,Inverness
Valencia,Valencia,Valencia
Bari,Bari,Bari
Sofia,Sofia,Sofia
Aberdeen,Aberdeen,Aberdeen
Birmingham,Birmingham,Birmingham
Toulouse/Blagnac,Toulouse/Blagnac,Toulouse
Jerez de la Frontera,Jerez de la Frontera,Jerez de la Frontera
Corvera,Corvera,Corvera
Petrozavodsk,Petrozavodsk,Petrozavodsk
Archangelsk,Arkhangelsk,Arkhangelsk
Rome,Rome,Rome
Kos Island,Kos Island,Kos Island
Souda,Souda,Souda
Kaunas,Kaunas,Kaunas
Gibraltar,Gibraltar,Gibraltar
Leeds,Leeds,Leeds
Ranón,Ranón,Ranon
Podgorica,Podgorica,Podgorica
Castletown,Castletown,Castletown
Grozny,Grozny,Grozny
Pskov,Pskov,Pskov
Poznań,Poznań,Poznan
Vila Baleira,Vila Baleira,Vila Baleira
