,name,iata_code,iso_region,iso_country,coordinates
0,Bezmer Air Base,JAM,BG-28,BG,"26.3521995544, 42.4548988342"
1,PriÅ¡tina International Airport,PRN,XK-01,XK,"21.035801, 42.5728"
2,Antwerp International Airport (Deurne),ANR,BE-VAN,BE,"4.46027994156, 51.1893997192"
3,Brussels Airport,BRU,BE-BRU,BE,"4.48443984985, 50.901401519800004"
4,Brussels South Charleroi Airport,CRL,BE-WHT,BE,"4.45382, 50.459202"
5,Wevelgem Airport,KJK,BE-VWV,BE,"3.20472002029, 50.817199707"
6,LiÃ¨ge Airport,LGG,BE-WLG,BE,"5.443220138549805, 50.63740158081055"
7,Ostend-Bruges International Airport,OST,BE-VWV,BE,"2.8622200489, 51.198898315399994"
8,Altenburg-Nobitz Airport,AOC,DE-TH,DE,"12.506389, 50.981945"
9,Heringsdorf Airport,HDF,DE-MV,DE,"14.152299881, 53.8787002563"
10,"Magdeburg ""City"" Airport",ZMG,DE-ST,DE,"11.626389, 52.073612"
11,Neubrandenburg Airport,FNB,DE-MV,DE,"13.306, 53.6022"
12,Berlin-SchÃ¶nefeld Airport,SXF,DE-BR,DE,"13.5225, 52.380001"
13,Dresden Airport,DRS,DE-SN,DE,"13.767200469970703, 51.1328010559082"
14,Erfurt Airport,ERF,DE-TH,DE,"10.958100318908691, 50.979801177978516"
15,Frankfurt am Main Airport,FRA,DE-HE,DE,"8.570556, 50.033333"
16,MÃ¼nster OsnabrÃ¼ck Airport,FMO,DE-NW,DE,"7.68483018875, 52.134601593"
17,Hamburg Airport,HAM,DE-HH,DE,"9.9882297515869, 53.630401611328"
18,Cologne Bonn Airport,CGN,DE-NW,DE,"7.1427397728, 50.8658981323"
19,DÃ¼sseldorf Airport,DUS,DE-NW,DE,"6.76678, 51.289501"
20,Munich Airport,MUC,DE-BY,DE,"11.7861, 48.353802"
21,Nuremberg Airport,NUE,DE-BY,DE,"11.078056, 49.498699"
22,Leipzig/Halle Airport,LEJ,DE-SN,DE,"12.236389, 51.423889"
23,SaarbrÃ¼cken Airport,SCN,DE-SL,DE,"7.10950994492, 49.214599609400004"
24,Stuttgart Airport,STR,DE-BW,DE,"9.22196006775, 48.689899444599995"
25,Berlin-Tegel Airport,TXL,DE-BE,DE,"13.2877, 52.5597"
26,Hannover Airport,HAJ,DE-NI,DE,"9.685079574580001, 52.461101532"
27,Bremen Airport,BRE,DE-HB,DE,"8.78666973114, 53.0475006104"
28,Frankfurt-Hahn Airport,HHN,DE-RP,DE,"7.26389, 49.9487"
