,dep,arr,time
0,PRN,STR,125
1,PRN,DUS,160
2,PRN,DUS,165
3,PRN,MUC,120
4,PRN,HAM,165
5,PRN,GVA,140
6,PRN,HAM,160
7,PRN,BSL,130
8,PRN,ZRH,130
9,PRN,MXP,130
10,PRN,LTN,200
11,BRU,LIN,85
12,BRU,MAD,150
13,BRU,MUC,75
14,BRU,LHR,75
15,BRU,LIS,170
16,BRU,FRA,60
17,BRU,CDG,70
18,BRU,BCN,120
19,BRU,FCO,125
20,BRU,ATH,180
21,BRU,MAD,145
22,BRU,HEL,150
23,BRU,WAW,125
24,BRU,ZRH,70
25,BRU,MLA,175
26,BRU,VLC,140
27,BRU,LHR,65
28,CRL,SOF,155
29,CRL,CTA,160
30,CRL,BRI,140
31,CRL,CIA,120
32,CRL,NAP,130
33,CRL,CRA,150
34,CRL,TSF,95
35,CRL,EDI,105
36,CRL,BUD,120
37,CRL,BCN,115
38,CRL,KRK,120
39,CRL,TIA,150
40,CRL,ZAG,110
41,CRL,BGY,90
42,CRL,WMI,120
43,CRL,MLA,165
44,CRL,PSA,100
45,CRL,SOF,160
46,CRL,MRS,105
47,DRS,MUC,55
48,DRS,FRA,65
49,FRA,LIN,75
50,FRA,KRK,95
51,FRA,ARN,130
52,FRA,HAM,65
53,FRA,BUD,95
54,FRA,VIE,85
55,FRA,BRU,60
56,FRA,AMS,75
57,FRA,BRS,100
58,FRA,LGW,90
59,FRA,FLR,85
60,FRA,MAN,105
61,FRA,CDG,75
62,FRA,LEJ,60
63,FRA,GVA,60
64,FRA,DUS,50
65,FRA,GOT,105
66,FRA,LHR,105
67,FMO,MUC,65
68,HAM,PRN,160
69,HAM,CPH,60
70,HAM,MAD,175
71,HAM,FRA,70
72,HAM,VAR,160
73,HAM,PRN,150
74,HAM,MUC,75
75,HAM,SZG,75
76,HAM,ALC,175
77,HAM,AMS,70
78,HAM,ZRH,80
79,HAM,HEL,110
80,HAM,VIE,95
81,HAM,AGP,205
82,HAM,TIA,150
83,CGN,MUC,65
84,CGN,FUE,270
85,CGN,STN,80
86,CGN,LIS,185
87,CGN,SJJ,110
88,CGN,MAN,100
89,CGN,VAR,165
90,CGN,CPH,85
91,CGN,MLA,165
92,CGN,FCO,120
93,CGN,SKP,150
94,DUS,CPH,75
95,DUS,TIA,145
96,DUS,LHR,85
97,DUS,MUC,70
98,DUS,LIS,185
99,DUS,CDG,75
100,DUS,KIV,160
101,DUS,AMS,55
102,DUS,HEL,140
103,DUS,FRA,50
104,DUS,MAD,160
105,DUS,ZRH,65
106,MUC,ZRH,55
107,MUC,SBZ,100
108,MUC,VIE,65
109,MUC,BCN,125
110,MUC,TRN,75
111,MUC,ARN,135
112,MUC,BLQ,65
113,MUC,BIO,135
114,MUC,MAN,130
115,MUC,CDG,100
116,MUC,CPH,100
117,MUC,BRU,80
118,MUC,CGN,65
119,MUC,LIN,70
120,MUC,TLS,110
121,MUC,BHX,120
122,MUC,FRA,65
123,MUC,HAM,80
124,MUC,LIS,190
125,MUC,AMS,100
126,MUC,DUS,70
127,NUE,SVQ,180
128,NUE,TIA,120
129,NUE,PMO,125
130,NUE,FRA,45
131,NUE,STN,105
132,LEJ,FRA,60
133,STR,FRA,50
134,STR,SKG,135
135,STR,ZRH,45
136,STR,MUC,50
137,HAJ,MUC,70
138,HAJ,FRA,55
139,BRE,FRA,60
140,BRE,MUC,75
141,HHN,AGP,175
142,HHN,ZAG,95
143,HHN,FRA,45
144,HHN,INI,130
145,HHN,TIA,140
146,FMM,TZL,95
147,FMM,OTP,135
148,FMM,SOF,120
149,FMM,PMO,115
150,FMM,OPO,170
151,FMM,CLJ,115
152,NRN,AGP,180
153,NRN,CDT,145
154,NRN,OVD,135
155,NRN,FAO,185
156,NRN,SKG,160
157,DTM,FCO,125
158,DTM,BEG,125
159,DTM,SZY,105
160,DTM,KTW,95
161,DTM,BUD,105
162,DTM,GDN,95
163,DTM,CLJ,130
164,DTM,VNO,125
165,FKB,SOF,135
166,FKB,SKP,135
167,FKB,ALC,140
168,FKB,OPO,160
169,TLL,HEL,35
170,TLL,WAW,95
171,TLL,FRA,155
172,TLL,VIE,145
