city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vienna,48.2083,16.3725,Austria,AT,Wien,primary,1973403,1973403
Graz,47.0708,15.4386,Austria,AT,Steiermark,admin,289440,289440
Linz,48.3058,14.2864,Austria,AT,Oberösterreich,admin,210165,210165
Salzburg,47.8000,13.0450,Austria,AT,Salzburg,admin,155021,155021
Innsbruck,47.2683,11.3933,Austria,AT,Tirol,admin,132493,131961
Klagenfurt,46.6167,14.3000,Austria,AT,Kärnten,admin,101403,101403
Villach,46.6167,13.8333,Austria,AT,Kärnten,minor,65127,65127
Wels,48.1500,14.0167,Austria,AT,Oberösterreich,minor,61233,61233
Sankt Pölten,48.2000,15.6167,Austria,AT,Niederösterreich,admin,55514,55514
Dornbirn,47.4167,9.7500,Austria,AT,Vorarlberg,minor,48067,48067
Wiener Neustadt,47.8167,16.2500,Austria,AT,Niederösterreich,minor,44461,44461
Steyr,48.0333,14.4167,Austria,AT,Oberösterreich,minor,38331,38331
Bregenz,47.5050,9.7492,Austria,AT,Vorarlberg,admin,29806,29806
Leonding,48.2792,14.2528,Austria,AT,Oberösterreich,,28698,28698
Klosterneuburg,48.3042,16.3167,Austria,AT,Niederösterreich,minor,27058,27058
Baden,48.0075,16.2344,Austria,AT,Niederösterreich,minor,26286,26286
Krems an der Donau,48.4167,15.6167,Austria,AT,Niederösterreich,minor,24610,24610
Traun,48.2217,14.2397,Austria,AT,Oberösterreich,,24477,24477
Amstetten,48.1167,14.8667,Austria,AT,Niederösterreich,minor,23656,23656
Lustenau,47.4271,9.6711,Austria,AT,Vorarlberg,,22821,22821
Kapfenberg,47.4394,15.2894,Austria,AT,Steiermark,,22798,22798
Hallein,47.6667,13.0833,Austria,AT,Salzburg,minor,21150,21150
Mödling,48.0856,16.2831,Austria,AT,Niederösterreich,minor,20555,20555
Kufstein,47.5833,12.1667,Austria,AT,Tirol,minor,19223,19223
Traiskirchen,48.0189,16.2922,Austria,AT,Niederösterreich,,18858,18858
Schwechat,48.1411,16.4786,Austria,AT,Niederösterreich,,18026,18026
Stockerau,48.3858,16.2108,Austria,AT,Niederösterreich,,16916,16916
Hohenems,47.3667,9.6667,Austria,AT,Vorarlberg,,16317,16317
Ansfelden,48.2083,14.2889,Austria,AT,Oberösterreich,,16194,16194
Telfs,47.3069,11.0722,Austria,AT,Tirol,,16046,16046
Bruck an der Mur,47.4106,15.2686,Austria,AT,Steiermark,minor,15837,15837
Spittal an der Drau,46.7917,13.4958,Austria,AT,Kärnten,minor,15413,15413
Perchtoldsdorf,48.1167,16.2667,Austria,AT,Niederösterreich,,15047,15047
Bludenz,47.1533,9.8219,Austria,AT,Vorarlberg,minor,14956,14956
