city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Minsk,53.9000,27.5667,Belarus,BY,Minsk,primary,2009786,1996553
Homyel’,52.4453,30.9842,Belarus,BY,Homyel’skaya Voblasts’,admin,510300,503984
Vitsyebsk,55.1917,30.2056,Belarus,BY,Vitsyebskaya Voblasts’,admin,366299,360419
Hrodna,53.6667,23.8333,Belarus,BY,Hrodzyenskaya Voblasts’,admin,357493,357493
Mahilyow,53.9167,30.3500,Belarus,BY,Mahilyowskaya Voblasts’,admin,357100,355436
Brest,52.1347,23.6569,Belarus,BY,Brestskaya Voblasts’,admin,340723,340723
Babruysk,53.1500,29.2333,Belarus,BY,Mahilyowskaya Voblasts’,minor,212200,209675
Baranavichy,53.1333,26.0167,Belarus,BY,Brestskaya Voblasts’,minor,174183,173028
Horad Barysaw,54.2279,28.5050,Belarus,BY,Minskaya Voblasts’,minor,155389,155389
Pinsk,52.1153,26.1031,Belarus,BY,Brestskaya Voblasts’,minor,125900,125060
Orsha,54.5092,30.4258,Belarus,BY,Vitsyebskaya Voblasts’,minor,117225,104605
Navapolatsk,55.5333,28.6500,Belarus,BY,Vitsyebskaya Voblasts’,,108000,97182
Salihorsk,52.8000,27.5333,Belarus,BY,Minskaya Voblasts’,minor,106627,99622
Mazyr,52.0500,29.2667,Belarus,BY,Homyel’skaya Voblasts’,minor,105439,104967
Lida,53.8833,25.3000,Belarus,BY,Hrodzyenskaya Voblasts’,,103479,103479
Maladzyechna,54.3208,26.8572,Belarus,BY,Minskaya Voblasts’,minor,91063,90136
Polatsk,55.4833,28.8000,Belarus,BY,Vitsyebskaya Voblasts’,minor,82547,79896
Zhlobin,52.9000,30.0333,Belarus,BY,Homyel’skaya Voblasts’,minor,76078,76078
Rechytsa,52.3639,30.3947,Belarus,BY,Homyel’skaya Voblasts’,minor,66400,66400
Horad Zhodzina,54.1000,28.3500,Belarus,BY,Minskaya Voblasts’,minor,65451,65451
Svyetlahorsk,52.6333,29.7333,Belarus,BY,Homyel’skaya Voblasts’,minor,64989,63946
Slutsk,53.0333,27.5667,Belarus,BY,Minskaya Voblasts’,minor,61396,60794
Kobryn,52.2167,24.3667,Belarus,BY,Brestskaya Voblasts’,minor,52843,52699
Slonim,53.0833,25.3167,Belarus,BY,Hrodzyenskaya Voblasts’,minor,49830,49426
Vawkavysk,53.1667,24.4667,Belarus,BY,Hrodzyenskaya Voblasts’,minor,42746,42369
Kalinkavichy,52.1250,29.3333,Belarus,BY,Homyel’skaya Voblasts’,minor,37633,37226
Smarhon’,54.4836,26.4000,Belarus,BY,Hrodzyenskaya Voblasts’,minor,36202,35908
Rahachow,53.1000,30.0500,Belarus,BY,Homyel’skaya Voblasts’,minor,33702,33702
Horki,54.2667,30.9833,Belarus,BY,Mahilyowskaya Voblasts’,minor,30390,30010
Asipovichy,53.2933,28.4756,Belarus,BY,Mahilyowskaya Voblasts’,minor,29981,29633
Dzyarzhynsk,53.6833,27.1333,Belarus,BY,Minskaya Voblasts’,,29863,29863
Byaroza,52.5500,24.9667,Belarus,BY,Brestskaya Voblasts’,minor,28619,28454
Navahrudak,53.5833,25.8167,Belarus,BY,Hrodzyenskaya Voblasts’,,28199,28014
Vilyeyka,54.4980,26.9260,Belarus,BY,Minskaya Voblasts’,minor,27167,26987
Krychaw,53.7194,31.7139,Belarus,BY,Mahilyowskaya Voblasts’,minor,24170,23704
Luninyets,52.2500,26.8000,Belarus,BY,Brestskaya Voblasts’,minor,23734,23569
Ivatsevichy,52.7167,25.3333,Belarus,BY,Brestskaya Voblasts’,minor,22958,22958
Mar’’ina Horka,53.5167,28.1417,Belarus,BY,Minskaya Voblasts’,,20592,20445
Pastavy,55.1167,26.8333,Belarus,BY,Vitsyebskaya Voblasts’,minor,19153,18939
Pruzhany,52.5567,24.4644,Belarus,BY,Brestskaya Voblasts’,minor,19032,18978
