city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Prague,50.0875,14.4214,Czechia,CZ,Praha,primary,1335084,1275406
Olomouc,49.5939,17.2508,Czechia,CZ,Olomoucký Kraj,admin,384000,99496
Brno,49.1925,16.6083,Czechia,CZ,Jihomoravský Kraj,admin,382405,379466
Ostrava,49.8356,18.2925,Czechia,CZ,Moravskoslezský Kraj,admin,284982,279791
Plzeň,49.7475,13.3775,Czechia,CZ,Plzeňský Kraj,admin,175219,168733
Liberec,50.7667,15.0667,Czechia,CZ,Liberecký Kraj,admin,104261,102951
České Budějovice,48.9747,14.4747,Czechia,CZ,Jihočeský Kraj,admin,94229,93426
Hradec Králové,50.2092,15.8322,Czechia,CZ,Královéhradecký Kraj,admin,92683,90596
Ústí nad Labem,50.6583,14.0417,Czechia,CZ,Ústecký Kraj,admin,91982,90378
Pardubice,50.0386,15.7792,Czechia,CZ,Pardubický Kraj,admin,91755,88520
Zlín,49.2331,17.6669,Czechia,CZ,Zlínský Kraj,admin,74478,72973
Havířov,49.7831,18.4228,Czechia,CZ,Moravskoslezský Kraj,,70165,69084
Kladno,50.1500,14.1000,Czechia,CZ,Středočeský Kraj,,68896,66903
Most,50.5031,13.6367,Czechia,CZ,Ústecký Kraj,,65341,62866
Opava,49.9381,17.9044,Czechia,CZ,Moravskoslezský Kraj,,55996,54840
Frýdek-Místek,49.6856,18.3506,Czechia,CZ,Moravskoslezský Kraj,,55006,53899
Jihlava,49.4003,15.5906,Czechia,CZ,Vysočina,admin,51125,50108
Karviná,49.8542,18.5428,Czechia,CZ,Moravskoslezský Kraj,,50902,49881
Teplice,50.6444,13.8319,Czechia,CZ,Ústecký Kraj,,49705,48766
Chomutov,50.4611,13.4167,Czechia,CZ,Ústecký Kraj,,48349,46263
Karlovy Vary,50.2306,12.8725,Czechia,CZ,Karlovarský Kraj,admin,48319,45500
Jablonec nad Nisou,50.7244,15.1681,Czechia,CZ,Liberecký Kraj,,45317,44588
Mladá Boleslav,50.4125,14.9044,Czechia,CZ,Středočeský Kraj,,44506,41868
Prostějov,49.4722,17.1106,Czechia,CZ,Olomoucký Kraj,,43381,43055
Přerov,49.4556,17.4511,Czechia,CZ,Olomoucký Kraj,,42451,41404
Česká Lípa,50.6886,14.5386,Czechia,CZ,Liberecký Kraj,,37361,36740
Třebíč,49.2150,15.8817,Czechia,CZ,Vysočina,,35107,34415
Tábor,49.4144,14.6578,Czechia,CZ,Jihočeský Kraj,,34119,33410
Znojmo,48.8556,16.0489,Czechia,CZ,Jihomoravský Kraj,,33775,33370
Kolín,50.0281,15.2006,Czechia,CZ,Středočeský Kraj,,32490,32046
Příbram,49.6883,14.0092,Czechia,CZ,Středočeský Kraj,,32248,31651
Písek,49.3089,14.1475,Czechia,CZ,Jihočeský Kraj,,30379,29814
Kroměříž,49.2989,17.3931,Czechia,CZ,Zlínský Kraj,,28360,27838
Orlová,49.8452,18.4302,Czechia,CZ,Moravskoslezský Kraj,,28330,28206
Líšeň,49.2075,16.6861,Czechia,CZ,Jihomoravský Kraj,,26781,26781
Břevnov,50.0833,14.3579,Czechia,CZ,Středočeský Kraj,,26275,25756
Vsetín,49.3387,17.9962,Czechia,CZ,Zlínský Kraj,,25782,25226
Šumperk,49.9653,16.9707,Czechia,CZ,Olomoucký Kraj,,25452,24910
Uherské Hradiště,49.0697,17.4597,Czechia,CZ,Zlínský Kraj,,25001,24430
Bystrc,49.2247,16.5239,Czechia,CZ,Jihomoravský Kraj,,24218,24218
Český Těšín,49.7461,18.6261,Czechia,CZ,Moravskoslezský Kraj,,24069,23468
Litoměřice,50.5342,14.1328,Czechia,CZ,Ústecký Kraj,,23623,22950
Litvínov,50.6008,13.6112,Czechia,CZ,Ústecký Kraj,,23489,22482
Nový Jičín,49.5944,18.0103,Czechia,CZ,Moravskoslezský Kraj,,23151,22813
Chrudim,49.9511,15.7956,Czechia,CZ,Pardubický Kraj,,23140,22773
Krnov,50.0906,17.6986,Czechia,CZ,Moravskoslezský Kraj,,23130,22665
Sokolov,50.1814,12.6402,Czechia,CZ,Karlovarský Kraj,,22924,22097
Strakonice,49.2615,13.9024,Czechia,CZ,Jihočeský Kraj,,22428,22214
Valašské Meziříčí,49.4718,17.9712,Czechia,CZ,Zlínský Kraj,,22149,21883
Kopřivnice,49.5995,18.1448,Czechia,CZ,Moravskoslezský Kraj,,21657,21395
Kutná Hora,49.9483,15.2683,Czechia,CZ,Středočeský Kraj,,20828,20450
Žďár nad Sázavou,49.5627,15.9393,Czechia,CZ,Vysočina,,20485,20338
Bohumín,49.9042,18.3575,Czechia,CZ,Moravskoslezský Kraj,,20450,20450
Blansko,49.3631,16.6431,Czechia,CZ,Jihomoravský Kraj,,20306,19715
Beroun,49.9642,14.0739,Czechia,CZ,Středočeský Kraj,,19988,19984
Náchod,50.4167,16.1630,Czechia,CZ,Královéhradecký Kraj,,19688,19220
Mělník,50.3506,14.4742,Czechia,CZ,Středočeský Kraj,,19579,19472
Brandýs nad Labem-Stará Boleslav,50.1894,14.6672,Czechia,CZ,Středočeský Kraj,,19420,18755
Jirkov,50.4999,13.4478,Czechia,CZ,Ústecký Kraj,,19200,18945
Žatec,50.3273,13.5459,Czechia,CZ,Ústecký Kraj,,18823,18570
Kralupy nad Vltavou,50.2411,14.3116,Czechia,CZ,Středočeský Kraj,,18485,18189
Louny,50.3571,13.7968,Czechia,CZ,Ústecký Kraj,,18156,17760
Otrokovice,49.2099,17.5308,Czechia,CZ,Zlínský Kraj,,17592,17183
Bílina,50.5481,13.7761,Czechia,CZ,Ústecký Kraj,,17103,14420
Svitavy,49.7560,16.4683,Czechia,CZ,Pardubický Kraj,,16601,16261
Jičín,50.4367,15.3517,Czechia,CZ,Královéhradecký Kraj,,16551,15871
Říčany,49.9917,14.6543,Czechia,CZ,Středočeský Kraj,,16182,16182
Neratovice,50.2593,14.5177,Czechia,CZ,Středočeský Kraj,,16138,15831
Slaný,50.2305,14.0870,Czechia,CZ,Středočeský Kraj,,16010,15862
Bruntál,49.9883,17.4647,Czechia,CZ,Moravskoslezský Kraj,,15908,15523
Rakovník,50.1038,13.7335,Czechia,CZ,Středočeský Kraj,,15652,15142
Dvůr Králové nad Labem,50.4331,15.8122,Czechia,CZ,Královéhradecký Kraj,,15471,15170
Varnsdorf,50.9116,14.6184,Czechia,CZ,Ústecký Kraj,,15117,14738
Nymburk,50.1861,15.0417,Czechia,CZ,Středočeský Kraj,,15106,14780
Poděbrady,50.1425,15.1189,Czechia,CZ,Středočeský Kraj,,14469,14317
Turnov,50.5873,15.1569,Czechia,CZ,Liberecký Kraj,,14391,14174
Rokycany,49.7428,13.5946,Czechia,CZ,Plzeňský Kraj,,14313,13826
Hlučín,49.8967,18.1931,Czechia,CZ,Moravskoslezský Kraj,,13805,13562
Chodov,50.2414,12.7439,Czechia,CZ,Karlovarský Kraj,,13089,12683
