city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Copenhagen,55.6761,12.5683,Denmark,DK,Hovedstaden,primary,1366301,1366301
Aarhus,56.1572,10.2107,Denmark,DK,Midtjylland,minor,285273,269022
Odense,55.3958,10.3886,Denmark,DK,Syddanmark,minor,180863,180863
Aalborg,57.0500,9.9167,Denmark,DK,Nordjylland,admin,143598,119862
Esbjerg,55.4833,8.4500,Denmark,DK,Syddanmark,minor,72261,72261
Randers,56.4570,10.0390,Denmark,DK,Midtjylland,minor,62802,62563
Kolding,55.4917,9.5000,Denmark,DK,Syddanmark,minor,61638,60300
Horsens,55.8583,9.8500,Denmark,DK,Midtjylland,minor,61074,58480
Vejle,55.7167,9.5333,Denmark,DK,Syddanmark,admin,60231,55876
Roskilde,55.6500,12.0833,Denmark,DK,Sjælland,minor,51916,50393
Herning,56.1333,8.9833,Denmark,DK,Midtjylland,minor,50565,49229
Silkeborg,56.1833,9.5517,Denmark,DK,Midtjylland,minor,49747,44333
Hørsholm,55.8803,12.5081,Denmark,DK,Hovedstaden,minor,47680,47294
Helsingør,56.0361,12.6083,Denmark,DK,Hovedstaden,minor,47257,47123
Næstved,55.2250,11.7583,Denmark,DK,Sjælland,minor,44331,43234
Viborg,56.4333,9.4000,Denmark,DK,Midtjylland,admin,41239,40371
Fredericia,55.5667,9.7500,Denmark,DK,Syddanmark,minor,40886,40461
Køge,55.4561,12.1797,Denmark,DK,Sjælland,minor,38304,36864
Holstebro,56.3572,8.6153,Denmark,DK,Midtjylland,minor,36489,35867
Hillerød,55.9333,12.3167,Denmark,DK,Hovedstaden,admin,35357,32278
Taastrup,55.6500,12.3000,Denmark,DK,Hovedstaden,minor,35238,34154
Slagelse,55.4049,11.3531,Denmark,DK,Sjælland,minor,34636,33433
Holbæk,55.7156,11.7225,Denmark,DK,Sjælland,minor,29608,28134
Sønderborg,54.9138,9.7922,Denmark,DK,Syddanmark,minor,27826,27826
Svendborg,55.0594,10.6083,Denmark,DK,Syddanmark,minor,27300,27281
Hjørring,57.4636,9.9814,Denmark,DK,Nordjylland,minor,25764,25764
Nørresundby,57.0667,9.9167,Denmark,DK,Nordjylland,,23718,23718
Frederikshavn,57.4410,10.5340,Denmark,DK,Nordjylland,minor,23501,23501
Ringsted,55.4425,11.7900,Denmark,DK,Sjælland,minor,23086,22490
Haderslev,55.2428,9.5250,Denmark,DK,Syddanmark,minor,22011,21955
Birkerød,55.8333,12.4333,Denmark,DK,Hovedstaden,,20877,20578
Skive,56.5667,9.0333,Denmark,DK,Midtjylland,minor,20683,20683
Farum,55.8083,12.3581,Denmark,DK,Hovedstaden,minor,20312,19967
Nykøbing Falster,54.7654,11.8755,Denmark,DK,Sjælland,minor,19976,19976
Skanderborg,56.0417,9.9250,Denmark,DK,Midtjylland,minor,19963,18849
Smørumnedre,55.7333,12.3000,Denmark,DK,Hovedstaden,,19780,19780
Vordingborg,55.0000,11.9000,Denmark,DK,Sjælland,minor,17868,17868
Nyborg,55.3122,10.7897,Denmark,DK,Syddanmark,minor,17525,17192
Solrød Strand,55.5167,12.2167,Denmark,DK,Sjælland,minor,17337,15941
Frederikssund,55.8333,12.0666,Denmark,DK,Hovedstaden,minor,16850,16186
Lillerød,55.8681,12.3417,Denmark,DK,Hovedstaden,,16793,16793
Kalundborg,55.6814,11.0850,Denmark,DK,Sjælland,minor,16490,16490
Aabenraa,55.0444,9.4181,Denmark,DK,Syddanmark,minor,16401,16153
Middelfart,55.4986,9.7444,Denmark,DK,Syddanmark,minor,16277,15202
Ikast,56.1333,9.1500,Denmark,DK,Midtjylland,minor,15979,15462
