city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Tallinn,59.4372,24.7453,Estonia,EE,Tallinn,primary,438341,438341
Tartu,58.3833,26.7167,Estonia,EE,Tartu,admin,91407,91407
Narva,59.3758,28.1961,Estonia,EE,Narva,minor,53424,53424
Pärnu,58.3833,24.5000,Estonia,EE,Pärnu,admin,39605,39605
Kohtla-Järve,59.3978,27.2572,Estonia,EE,Kohtla-Järve,minor,33498,33498
Viljandi,58.3667,25.6000,Estonia,EE,Viljandi,admin,16875,16875
Maardu,59.4781,25.0161,Estonia,EE,Maardu,minor,15284,15284
Rakvere,59.3500,26.3500,Estonia,EE,Rakvere,admin,14984,14984
Kuressaare,58.2500,22.4833,Estonia,EE,Saaremaa,admin,13097,12933
Sillamäe,59.3931,27.7742,Estonia,EE,Sillamäe,minor,12230,12230
Valga,57.7833,26.0333,Estonia,EE,Valga,admin,12182,12040
Võru,57.8486,26.9928,Estonia,EE,Võru,admin,11533,11533
Jõhvi,59.3575,27.4269,Estonia,EE,Jõhvi,admin,10541,10541
Keila,59.3086,24.4225,Estonia,EE,Keila,minor,10078,10078
Haapsalu,58.9394,23.5408,Estonia,EE,Haapsalu,admin,9675,9513
Paide,58.8833,25.5572,Estonia,EE,Paide,admin,7905,7793
Saue,59.3230,24.5622,Estonia,EE,Saue,minor,5737,5737
Tapa,59.2667,25.9500,Estonia,EE,Tapa,minor,5706,5706
Elva,58.2244,26.4211,Estonia,EE,Elva,minor,5698,5698
Kiviõli,59.3500,26.9667,Estonia,EE,Lüganuse,minor,5504,5504
Põlva,58.0536,27.0556,Estonia,EE,Põlva,admin,5324,5205
Türi,58.8094,25.4292,Estonia,EE,Türi,minor,5257,4998
Jõgeva,58.7469,26.4000,Estonia,EE,Jõgeva,admin,5073,4959
Rapla,58.9944,24.8011,Estonia,EE,Rapla,admin,5069,5003
Põltsamaa,58.6553,25.9769,Estonia,EE,Põltsamaa,minor,4111,3933
Paldiski,59.3500,24.0500,Estonia,EE,Lääne-Harju,minor,4056,3572
Sindi,58.4006,24.6675,Estonia,EE,Tori,minor,4003,4003
Kärdla,58.9981,22.7467,Estonia,EE,Hiiumaa,admin,3230,3230
Kunda,59.5000,26.5333,Estonia,EE,Viru-Nigula,minor,3224,2955
Kehra,59.3369,25.3283,Estonia,EE,Anija,minor,2754,2754
Tõrva,58.0028,25.9236,Estonia,EE,Tõrva,minor,2744,2744
Narva-Jõesuu,59.4589,28.0406,Estonia,EE,Narva-Jõesuu,minor,2681,2681
Paikuse,58.3753,24.6228,Estonia,EE,Pärnu,,2375,2375
Räpina,58.0978,27.4642,Estonia,EE,Räpina,minor,2312,2118
Tamsalu,59.1590,26.1080,Estonia,EE,Tapa,,2197,2090
Vändra,58.6542,25.0369,Estonia,EE,Põhja-Pärnumaa,minor,2191,2191
Järveküla,59.3889,24.7967,Estonia,EE,Rae,,1918,1918
Otepää,58.0572,26.4983,Estonia,EE,Otepää,minor,1901,1901
Randvere,59.5089,24.9064,Estonia,EE,Viimsi,,1894,1894
Muraste,59.4547,24.4394,Estonia,EE,Harku,,1818,1818
Pärnamäe,59.5014,24.8689,Estonia,EE,Viimsi,,1739,1739
Kilingi-Nõmme,58.1497,24.9614,Estonia,EE,Saarde,minor,1709,1634
Alliku,59.3558,24.5561,Estonia,EE,Saue,,1651,1651
Järva-Jaani,59.0390,25.8860,Estonia,EE,Järva,minor,1643,1643
Lohkva,58.3725,26.7936,Estonia,EE,Luunja,,1534,1534
Karksi-Nuia,58.1047,25.5475,Estonia,EE,Mulgi,,1524,1524
Tammiste,58.3836,24.6025,Estonia,EE,Tori,,1491,1491
Antsla,57.8292,26.5289,Estonia,EE,Antsla,minor,1352,1276
Viiratsi,58.3589,25.6397,Estonia,EE,Viljandi,,1332,1332
Püünsi,59.5531,24.7956,Estonia,EE,Viimsi,,1327,1327
Võhma,58.6330,25.5500,Estonia,EE,Põhja-Sakala,,1285,1285
