city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Athens,37.9842,23.7281,Greece,GR,Attikí,primary,3041131,664046
Thessaloníki,40.6403,22.9347,Greece,GR,Kentrikí Makedonía,admin,824676,317778
Piraeus,37.9430,23.6469,Greece,GR,Attikí,minor,448997,163688
Irákleio,35.3403,25.1344,Greece,GR,Kríti,admin,211370,140730
Pátra,38.2500,21.7333,Greece,GR,Dytikí Elláda,admin,167446,167446
Lárisa,39.6417,22.4167,Greece,GR,Thessalía,admin,144651,144651
Vólos,39.3667,22.9333,Greece,GR,Thessalía,minor,144449,86046
Peristéri,38.0167,23.6833,Greece,GR,Attikí,minor,139981,139981
Ioánnina,39.6636,20.8522,Greece,GR,Ípeiros,admin,113094,113094
Acharnés,38.0833,23.7333,Greece,GR,Attikí,minor,108130,99346
Kallithéa,37.9500,23.7000,Greece,GR,Attikí,minor,100641,100641
Kalamariá,40.5833,22.9500,Greece,GR,Kentrikí Makedonía,minor,91279,91279
Níkaia,37.9667,23.6333,Greece,GR,Attikí,minor,89380,89380
Glyfáda,37.8667,23.7500,Greece,GR,Attikí,minor,87305,87305
Ílion,38.0333,23.7000,Greece,GR,Attikí,minor,84793,84793
Ilioúpoli,37.9333,23.7500,Greece,GR,Attikí,minor,78153,78153
Keratsíni,37.9667,23.6167,Greece,GR,Attikí,minor,77077,77077
Évosmos,40.6689,22.9083,Greece,GR,Kentrikí Makedonía,minor,74686,74686
Chalándri,38.0167,23.8000,Greece,GR,Attikí,minor,74192,74192
Néa Smýrni,37.9500,23.7167,Greece,GR,Attikí,minor,73076,73076
Maroúsi,38.0500,23.8000,Greece,GR,Attikí,minor,72333,72333
Ágios Dimítrios,37.9333,23.7333,Greece,GR,Attikí,minor,71294,71294
Zográfos,37.9783,23.7717,Greece,GR,Attikí,minor,71026,71026
Aigáleo,37.9920,23.6780,Greece,GR,Attikí,minor,69946,69946
Kozáni,40.3000,21.7833,Greece,GR,Dytikí Makedonía,admin,67161,67161
Néa Ionía,38.0333,23.7500,Greece,GR,Attikí,minor,67134,67134
Kavála,40.9333,24.4000,Greece,GR,Anatolikí Makedonía kai Thráki,minor,65857,65857
Palaió Fáliro,37.9333,23.7000,Greece,GR,Attikí,minor,64021,64021
Korydallós,37.9833,23.6500,Greece,GR,Attikí,minor,63445,63445
Agía Paraskeví,38.0117,23.8200,Greece,GR,Attikí,minor,62717,59704
Výronas,37.9617,23.7533,Greece,GR,Attikí,minor,61535,61308
Galátsi,38.0167,23.7500,Greece,GR,Attikí,minor,59345,59345
Chalkída,38.4625,23.5950,Greece,GR,Stereá Elláda,minor,59125,59125
Petroúpoli,38.0333,23.6833,Greece,GR,Attikí,minor,58979,58979
Ródos,36.4412,28.2225,Greece,GR,Nótio Aigaío,minor,56969,56969
Pallíni,38.0000,23.8833,Greece,GR,Attikí,,54415,16415
Chaniá,35.5167,24.0167,Greece,GR,Kríti,minor,53910,53910
Thérmi,40.5500,23.0167,Greece,GR,Kentrikí Makedonía,minor,53201,16004
Kalamáta,37.0378,22.1111,Greece,GR,Pelopónnisos,minor,53041,53041
Lamía,38.9000,22.4333,Greece,GR,Stereá Elláda,admin,52006,52006
Komotiní,41.1000,25.4167,Greece,GR,Anatolikí Makedonía kai Thráki,admin,50990,50990
Irákleio,38.0500,23.7667,Greece,GR,Attikí,minor,49642,49642
Kifisiá,38.0833,23.8167,Greece,GR,Attikí,minor,47332,47332
Stavroúpoli,40.6667,22.9333,Greece,GR,Kentrikí Makedonía,minor,46008,46008
Chaïdári,38.0167,23.6500,Greece,GR,Attikí,minor,45642,45642
Álimos,37.9167,23.7167,Greece,GR,Attikí,minor,41720,41720
Oraiókastro,40.7333,22.9167,Greece,GR,Kentrikí Makedonía,minor,38317,38317
Sykiés,40.6500,22.9500,Greece,GR,Kentrikí Makedonía,minor,37753,37753
Ampelókipoi,40.6500,22.9167,Greece,GR,Kentrikí Makedonía,minor,37381,37381
Pylaía,40.6000,22.9833,Greece,GR,Kentrikí Makedonía,,34625,34625
Ágioi Anárgyroi,38.0267,23.7183,Greece,GR,Attikí,minor,34168,34168
Argyroúpoli,37.9000,23.7500,Greece,GR,Attikí,minor,34097,34097
Áno Liósia,38.0833,23.7000,Greece,GR,Attikí,minor,33565,33565
Ptolemaḯda,40.5167,21.6833,Greece,GR,Dytikí Makedonía,minor,32127,32127
Salamína,37.9667,23.5000,Greece,GR,Attikí,minor,31776,25370
Trípoli,37.5167,22.3833,Greece,GR,Pelopónnisos,admin,30866,30866
Cholargós,38.0000,23.8000,Greece,GR,Attikí,minor,30840,30840
Vrilíssia,38.0333,23.8333,Greece,GR,Attikí,minor,30741,30741
