city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Budapest,47.4925,19.0514,Hungary,HU,Budapest,primary,2997958,1706851
Debrecen,47.5300,21.6392,Hungary,HU,Hajdú-Bihar,admin,328642,200974
Székesfehérvár,47.1956,18.4089,Hungary,HU,Fejér,admin,272474,95545
Győr,47.6842,17.6344,Hungary,HU,Győr-Moson-Sopron,admin,246159,132735
Szeged,46.2550,20.1450,Hungary,HU,Csongrád-Csanád,admin,239025,159074
Nyíregyháza,47.9531,21.7271,Hungary,HU,Szabolcs-Szatmár-Bereg,admin,238020,116554
Kecskemét,46.9061,19.6897,Hungary,HU,Bács-Kiskun,admin,187835,109651
Miskolc,48.0833,20.6667,Hungary,HU,Borsod-Abaúj-Zemplén,admin,150695,150695
Szombathely,47.2351,16.6219,Hungary,HU,Vas,admin,147920,78324
Pécs,46.0708,18.2331,Hungary,HU,Baranya,admin,140237,140237
Veszprém,47.0930,17.9138,Hungary,HU,Veszprém,admin,133880,58153
Kaposvár,46.3638,17.7823,Hungary,HU,Somogy,admin,112253,59777
Sopron,47.6849,16.5831,Hungary,HU,Sopron,admin,98479,62900
Érd,47.3784,18.9220,Hungary,HU,Pest,minor,70063,70063
Szolnok,47.1747,20.1965,Hungary,HU,Jász-Nagykun-Szolnok,admin,69725,69725
Tatabánya,47.5862,18.3949,Hungary,HU,Komárom-Esztergom,admin,65145,65145
Békéscsaba,46.6790,21.0910,Hungary,HU,Békés,admin,58002,58002
Zalaegerszeg,46.8392,16.8511,Hungary,HU,Zala,admin,55470,55470
Eger,47.8990,20.3747,Hungary,HU,Heves,admin,51168,51168
Nagykanizsa,46.4550,16.9925,Hungary,HU,Nagykanizsa,admin,46866,45428
Dunaújváros,46.9806,18.9127,Hungary,HU,Dunaújváros,admin,44200,42136
Dunakeszi,47.6303,19.1412,Hungary,HU,Pest,minor,43990,43990
Hódmezővásárhely,46.4304,20.3188,Hungary,HU,Hódmezővásárhely,admin,43311,42691
Szigetszentmiklós,47.3456,19.0483,Hungary,HU,Pest,minor,40519,40519
Cegléd,47.1743,19.8020,Hungary,HU,Pest,minor,35334,35088
Baja,46.1833,18.9536,Hungary,HU,Bács-Kiskun,minor,34788,33893
Mosonmagyaróvár,47.8737,17.2687,Hungary,HU,Győr-Moson-Sopron,minor,34439,34439
Vác,47.7752,19.1310,Hungary,HU,Pest,minor,32927,32927
Salgótarján,48.1040,19.8075,Hungary,HU,Nógrád,admin,32304,32304
Gödöllő,47.6000,19.3667,Hungary,HU,Pest,minor,31779,31779
Ózd,48.2192,20.2869,Hungary,HU,Borsod-Abaúj-Zemplén,minor,31234,31234
Szekszárd,46.3560,18.7038,Hungary,HU,Tolna,admin,30963,30963
Pápa,47.3237,17.4680,Hungary,HU,Veszprém,minor,30382,29387
Budaörs,47.4607,18.9580,Hungary,HU,Pest,,29018,29018
Gyöngyös,47.7833,19.9333,Hungary,HU,Heves,minor,28179,28179
Esztergom,47.7856,18.7403,Hungary,HU,Komárom-Esztergom,minor,28026,28026
Ajka,47.1006,17.5522,Hungary,HU,Veszprém,minor,27995,26963
Szentendre,47.7044,19.0686,Hungary,HU,Pest,minor,27534,27534
Siófok,46.9239,18.0901,Hungary,HU,Somogy,minor,26451,26451
Kazincbarcika,48.2531,20.6456,Hungary,HU,Borsod-Abaúj-Zemplén,minor,24905,24905
Gyál,47.3861,19.2192,Hungary,HU,Pest,minor,24193,24193
Dunaharaszti,47.3539,19.0948,Hungary,HU,Pest,,23536,23536
Tata,47.6526,18.3238,Hungary,HU,Komárom-Esztergom,minor,23479,23479
Komló,46.1912,18.2613,Hungary,HU,Baranya,minor,22635,22235
Vecsés,47.4057,19.2648,Hungary,HU,Pest,minor,21529,21529
Göd,47.6906,19.1344,Hungary,HU,Pest,,20799,20799
Fót,47.6181,19.1903,Hungary,HU,Pest,,20568,20568
Veresegyház,47.6505,19.2830,Hungary,HU,Pest,,20236,20236
Hatvan,47.6681,19.6697,Hungary,HU,Heves,minor,20079,20079
Gyömrő,47.4250,19.3977,Hungary,HU,Pest,,20010,20010
Komárom,47.7403,18.1244,Hungary,HU,Komárom-Esztergom,minor,19656,19656
Várpalota,47.1989,18.1376,Hungary,HU,Veszprém,minor,19484,19382
Keszthely,46.7696,17.2481,Hungary,HU,Zala,minor,19387,19074
Monor,47.3475,19.4489,Hungary,HU,Pest,minor,18476,18476
Szigethalom,47.3154,19.0078,Hungary,HU,Pest,,18352,18352
Békés,46.7667,21.1333,Hungary,HU,Békés,minor,18322,17998
Százhalombatta,47.3004,18.9136,Hungary,HU,Pest,,18241,17574
Dombóvár,46.3820,18.1422,Hungary,HU,Tolna,minor,17995,17760
Oroszlány,47.4833,18.3167,Hungary,HU,Komárom-Esztergom,minor,17802,17802
Pomáz,47.6431,19.0196,Hungary,HU,Pest,,17660,17660
Mohács,45.9959,18.6798,Hungary,HU,Baranya,minor,17089,16993
Pécel,47.4893,19.3354,Hungary,HU,Pest,,16952,16952
Mátészalka,47.9500,22.3167,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,16576,15874
Mezőkövesd,47.8167,20.5833,Hungary,HU,Borsod-Abaúj-Zemplén,minor,16098,16098
Kisvárda,48.2167,22.0833,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,16084,15432
Kalocsa,46.5335,18.9858,Hungary,HU,Bács-Kiskun,minor,15490,14847
Budakeszi,47.5123,18.9281,Hungary,HU,Pest,minor,15466,15466
Sárvár,47.2500,16.9333,Hungary,HU,Vas,minor,15072,14931
Tapolca,46.8828,17.4081,Hungary,HU,Veszprém,minor,15072,14637
Biatorbágy,47.4712,18.8252,Hungary,HU,Pest,,14749,14749
Tiszaújváros,47.9333,21.0833,Hungary,HU,Borsod-Abaúj-Zemplén,minor,14649,14649
Pilisvörösvár,47.6211,18.9108,Hungary,HU,Pest,minor,14500,14500
Törökbálint,47.4367,18.9122,Hungary,HU,Pest,,14264,14264
Balassagyarmat,48.0786,19.2942,Hungary,HU,Nógrád,minor,14262,14262
Sátoraljaújhely,48.4000,21.6667,Hungary,HU,Borsod-Abaúj-Zemplén,minor,13554,13554
Kerepestarcsa,47.5478,19.2634,Hungary,HU,Pest,,13490,13490
Hajdúsámson,47.6000,21.7667,Hungary,HU,Hajdú-Bihar,,13407,13407
Albertirsa,47.2400,19.6067,Hungary,HU,Pest,,13286,13286
Bonyhád,46.3006,18.5309,Hungary,HU,Tolna,minor,12982,12431
Balatonfüred,46.9500,17.8833,Hungary,HU,Veszprém,minor,12966,12966
Gárdony,47.1973,18.6091,Hungary,HU,Fejér,minor,12832,12832
Hajdúhadház,47.6833,21.6667,Hungary,HU,Hajdú-Bihar,minor,12811,12811
Üllő,47.3854,19.3439,Hungary,HU,Pest,,12692,12692
Maglód,47.4439,19.3526,Hungary,HU,Pest,,12635,12635
Nagykáta,47.4120,19.7396,Hungary,HU,Pest,minor,12280,12229
Bicske,47.4907,18.6363,Hungary,HU,Fejér,minor,11969,11437
Kőszeg,47.3819,16.5522,Hungary,HU,Vas,minor,11927,11927
Pilis,47.2844,19.5435,Hungary,HU,Pest,,11921,11921
Dorog,47.7194,18.7292,Hungary,HU,Komárom-Esztergom,,11883,11225
Nyírbátor,47.8333,22.1333,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,11831,11403
Halásztelek,47.3608,18.9878,Hungary,HU,Pest,,11694,11694
Sajószentpéter,48.2169,20.7183,Hungary,HU,Borsod-Abaúj-Zemplén,,11679,10983
Budakalász,47.6215,19.0460,Hungary,HU,Pest,,11640,11640
Isaszeg,47.5333,19.4000,Hungary,HU,Pest,,11526,11526
Diósd,47.4042,18.9458,Hungary,HU,Pest,,11393,11393
Bátonyterenye,47.9906,19.8309,Hungary,HU,Nógrád,minor,11345,11345
Körmend,47.0110,16.6058,Hungary,HU,Vas,minor,11236,10781
Tolna,46.4236,18.7903,Hungary,HU,Tolna,minor,10987,10721
Ráckeve,47.1608,18.9456,Hungary,HU,Pest,minor,10956,10956
Solymár,47.5910,18.9290,Hungary,HU,Pest,,10823,10823
Celldömölk,47.2557,17.1491,Hungary,HU,Vas,minor,10646,10302
Tököl,47.3203,18.9671,Hungary,HU,Pest,,10537,10537
Szigetvár,46.0475,17.7994,Hungary,HU,Baranya,minor,10421,10183
Tárnok,47.3597,18.8586,Hungary,HU,Pest,,10267,10267
Nagyatád,46.2227,17.3643,Hungary,HU,Somogy,minor,10212,9798
Csömör,47.5500,19.2333,Hungary,HU,Pest,,10200,10200
Balatonalmádi,47.0333,18.0167,Hungary,HU,Veszprém,minor,9710,9710
Edelény,48.2967,20.7442,Hungary,HU,Borsod-Abaúj-Zemplén,minor,9209,9209
Siklós,45.8519,18.2986,Hungary,HU,Baranya,minor,8912,8706
Piliscsaba,47.6167,18.8333,Hungary,HU,Pest,,8772,8772
Erdőkertes,47.6667,19.3167,Hungary,HU,Pest,,8771,8771
Dunavarsány,47.2781,19.0672,Hungary,HU,Pest,,8657,8657
Nagykovácsi,47.5800,18.8800,Hungary,HU,Pest,,8536,8536
Szerencs,48.1622,21.2050,Hungary,HU,Borsod-Abaúj-Zemplén,minor,8473,8473
Győrújbarát,47.6079,17.6464,Hungary,HU,Győr-Moson-Sopron,,8188,8188
Sándorfalva,46.3684,20.1144,Hungary,HU,Csongrád-Csanád,,8174,8174
Üröm,47.6000,19.0167,Hungary,HU,Pest,,8119,8119
Páty,47.5167,18.8333,Hungary,HU,Pest,,8076,8076
Fehérgyarmat,47.9850,22.5172,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,7981,7768
Őrbottyán,47.6833,19.2667,Hungary,HU,Pest,,7812,7812
Tura,47.6067,19.5967,Hungary,HU,Pest,,7761,7714
Mogyoród,47.6000,19.2500,Hungary,HU,Pest,,7551,7551
Nyergesújfalu,47.7568,18.5487,Hungary,HU,Komárom-Esztergom,,7280,7280
Füzesabony,47.7510,20.4090,Hungary,HU,Heves,minor,7265,7265
Velence,47.2418,18.6479,Hungary,HU,Fejér,,7144,7144
Zirc,47.2633,17.8725,Hungary,HU,Veszprém,minor,6805,6691
Kozármisleny,46.0280,18.2920,Hungary,HU,Baranya,,6545,6545
Felsőzsolca,48.1087,20.8556,Hungary,HU,Borsod-Abaúj-Zemplén,,6521,6292
Taksony,47.3333,19.0833,Hungary,HU,Pest,,6480,6480
Téglás,47.7167,21.6833,Hungary,HU,Hajdú-Bihar,,6406,6265
Putnok,48.2936,20.4367,Hungary,HU,Borsod-Abaúj-Zemplén,minor,6398,6398
Nagyecsed,47.8667,22.4000,Hungary,HU,Szabolcs-Szatmár-Bereg,,6327,6056
Aszód,47.6545,19.4800,Hungary,HU,Pest,minor,6233,6233
Szentlőrinc,46.0422,17.9856,Hungary,HU,Baranya,minor,6184,6036
Martfů,47.0169,20.2839,Hungary,HU,Jász-Nagykun-Szolnok,,6169,5943
Tápiószecső,47.4500,19.6000,Hungary,HU,Pest,,6169,6169
Szada,47.6333,19.3167,Hungary,HU,Pest,,6140,6140
Encs,48.3307,21.1219,Hungary,HU,Borsod-Abaúj-Zemplén,minor,6127,6127
Nagytarcsa,47.5258,19.2862,Hungary,HU,Pest,,5961,5961
Tahitófalu,47.7522,19.0781,Hungary,HU,Pest,,5953,5953
Tápiószele,47.3333,19.8833,Hungary,HU,Pest,,5866,5866
Martonvásár,47.3140,18.7885,Hungary,HU,Fejér,minor,5843,5843
Kartal,47.6667,19.5500,Hungary,HU,Pest,,5823,5823
Balatonboglár,46.7667,17.6667,Hungary,HU,Somogy,,5798,5471
Zsámbék,47.5483,18.7186,Hungary,HU,Pest,,5675,5675
Délegyháza,47.2500,19.0667,Hungary,HU,Pest,,5635,5635
Lőrinci,47.7333,19.6833,Hungary,HU,Heves,,5557,5554
Rákóczifalva,47.0931,20.2289,Hungary,HU,Jász-Nagykun-Szolnok,,5361,5361
Tát,47.7407,18.6447,Hungary,HU,Komárom-Esztergom,,5321,5321
Szikszó,48.1950,20.9461,Hungary,HU,Borsod-Abaúj-Zemplén,minor,5258,5258
Nagymaros,47.7906,18.9565,Hungary,HU,Pest,,5042,5042
Mikepércs,47.4500,21.6333,Hungary,HU,Hajdú-Bihar,,5041,5041
Harkány,45.8476,18.2369,Hungary,HU,Baranya,,4949,4949
Nyékládháza,47.9917,20.8369,Hungary,HU,Borsod-Abaúj-Zemplén,,4888,4888
Onga,48.1190,20.9074,Hungary,HU,Borsod-Abaúj-Zemplén,,4866,4866
Lábatlan,47.7480,18.4875,Hungary,HU,Komárom-Esztergom,,4858,4858
Sződliget,47.7333,19.1500,Hungary,HU,Pest,,4686,4686
Hévíz,46.7923,17.1850,Hungary,HU,Veszprém,,4634,4448
Balatonfůzfő,47.0639,18.0390,Hungary,HU,Veszprém,,4607,4607
Inárcs,47.2667,19.3333,Hungary,HU,Pest,,4606,4606
Nyúl,47.5813,17.6807,Hungary,HU,Győr-Moson-Sopron,,4572,4572
Kótaj,48.0500,21.7167,Hungary,HU,Szabolcs-Szatmár-Bereg,,4489,4489
Telki,47.5500,18.8333,Hungary,HU,Pest,,4479,4479
Tab,46.7327,18.0356,Hungary,HU,Somogy,minor,4286,4171
Ceglédbercel,47.2225,19.6664,Hungary,HU,Pest,,4284,4244
Záhony,48.4069,22.1744,Hungary,HU,Szabolcs-Szatmár-Bereg,minor,4236,4122
Pilisszentiván,47.6167,18.9000,Hungary,HU,Pest,,4226,4208
Mende,47.4167,19.4500,Hungary,HU,Pest,,4188,4188
Szirmabesenyő,48.1496,20.7958,Hungary,HU,Borsod-Abaúj-Zemplén,,4181,4171
Hernád,47.1633,19.4053,Hungary,HU,Pest,,4178,4178
