city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Dublin,53.3500,-6.2603,Ireland,IE,Dublin,primary,1173179,553165
Finglas,53.4597,-6.2181,Ireland,IE,Dublin,,296214,296214
Cork,51.8972,-8.4700,Ireland,IE,Cork,admin,222333,222333
Tallaght,53.2886,-6.3572,Ireland,IE,South Dublin,admin,80339,80339
Galway,53.2719,-9.0489,Ireland,IE,Galway,admin,79504,79504
Limerick,52.6653,-8.6238,Ireland,IE,Limerick,admin,58319,58319
Lucan,53.3544,-6.4486,Ireland,IE,South Dublin,,49279,49279
Waterford,52.2567,-7.1292,Ireland,IE,Waterford,admin,48369,48369
Clondalkin,53.3203,-6.3947,Ireland,IE,South Dublin,,47905,47905
Drogheda,53.7150,-6.3525,Ireland,IE,Louth,,40956,40956
Dún Dealgan,54.0090,-6.4049,Ireland,IE,Louth,admin,39004,39004
Swords,53.4597,-6.2181,Ireland,IE,Fingal,admin,36924,36924
Navan,53.6528,-6.6814,Ireland,IE,Meath,,30173,30173
Blackrock,53.3015,-6.1778,Ireland,IE,Dún Laoghaire-Rathdown,,28557,28557
Douglas,51.8764,-8.4358,Ireland,IE,Cork,,26883,26883
Ennis,52.8463,-8.9807,Ireland,IE,Clare,admin,25276,24253
Carlow,52.8306,-6.9317,Ireland,IE,Carlow,admin,24272,24272
Dunleary,53.3000,-6.1400,Ireland,IE,Dún Laoghaire-Rathdown,admin,23857,23857
Tralee,52.2675,-9.6962,Ireland,IE,Kerry,admin,23691,23691
Ashtown,53.3754,-6.3326,Ireland,IE,Dublin,,22740,22740
Kilkenny,52.6477,-7.2561,Ireland,IE,Kilkenny,admin,22179,22179
Port Laoise,53.0308,-7.3008,Ireland,IE,Laois,admin,22050,22050
Naas,53.2158,-6.6669,Ireland,IE,Kildare,admin,21393,21393
Baile Átha Luain,53.4236,-7.9425,Ireland,IE,Westmeath,,21349,21349
Mullingar,53.5224,-7.3378,Ireland,IE,Westmeath,admin,20928,20928
Celbridge,53.3380,-6.5388,Ireland,IE,Kildare,,20288,20288
Wexford,52.3342,-6.4575,Ireland,IE,Wexford,admin,20188,20188
Letterkenny,54.9566,-7.7203,Ireland,IE,Donegal,,19274,19274
Sligo,54.2667,-8.4833,Ireland,IE,Sligo,admin,19199,19199
Ballincollig,51.8879,-8.5893,Ireland,IE,Cork,,18621,18621
Greystones,53.1440,-6.0720,Ireland,IE,Wicklow,,18140,18140
Rathfarnham,53.2988,-6.2854,Ireland,IE,South Dublin,,17333,17333
Clonmel,52.3539,-7.7116,Ireland,IE,Tipperary,admin,17140,17140
