city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vilnius,54.6872,25.2800,Lithuania,LT,Vilniaus Miestas,primary,708203,581475
Kaunas,54.8972,23.8861,Lithuania,LT,Kauno Miestas,admin,381007,305120
Klaipėda,55.7500,21.1667,Lithuania,LT,Klaipėdos Miestas,admin,164310,158420
Panevėžys,55.7333,24.3500,Lithuania,LT,Panevėžio Miestas,admin,124412,87913
Šiauliai,55.9333,23.3167,Lithuania,LT,Šiaulių Miestas,admin,107086,104300
Alytus,54.4014,24.0492,Lithuania,LT,Alytaus Miestas,admin,51856,51856
Marijampolė,54.5472,23.3500,Lithuania,LT,Marijampolė,admin,36807,36807
Mažeikiai,56.3167,22.3333,Lithuania,LT,Mažeikiai,admin,33249,33249
Jonava,55.0722,24.2806,Lithuania,LT,Jonava,admin,27134,27134
Utena,55.5000,25.6000,Lithuania,LT,Utena,admin,26491,25608
Kėdainiai,55.2833,23.9667,Lithuania,LT,Kėdainiai,admin,23447,23447
Telšiai,55.9833,22.2500,Lithuania,LT,Telšiai,admin,22261,22261
Tauragė,55.2522,22.2897,Lithuania,LT,Tauragė,admin,21516,21416
Ukmergė,55.2500,24.7500,Lithuania,LT,Ukmergė,admin,21226,21048
Visaginas,55.5980,26.4380,Lithuania,LT,Visaginas,admin,19586,19586
Palanga,55.9167,21.0667,Lithuania,LT,Palangos Miestas,admin,18132,18132
Plungė,55.9167,21.8500,Lithuania,LT,Plungė,admin,17385,17385
Kretinga,55.8900,21.2422,Lithuania,LT,Kretinga,admin,17207,17207
Šilutė,55.3500,21.4833,Lithuania,LT,Šilutė,admin,16200,16200
Gargždai,55.7128,21.4033,Lithuania,LT,Klaipėda,,15932,15932
Radviliškis,55.8000,23.5500,Lithuania,LT,Radviliškis,admin,15275,15112
Druskininkai,54.0167,23.9667,Lithuania,LT,Druskininkai,admin,13170,13170
Rokiškis,55.9667,25.5833,Lithuania,LT,Rokiškis,admin,12738,11606
Elektrėnai,54.7861,24.6611,Lithuania,LT,Elektrénai,admin,11753,11753
Aukštieji Paneriai,54.6000,25.2000,Lithuania,LT,Vilniaus Miestas,,11149,11149
Kuršėnai,55.9833,22.9167,Lithuania,LT,Šiauliai,,10829,10651
Grigiškės,54.6667,25.1000,Lithuania,LT,Vilniaus Miestas,,10815,9750
Jurbarkas,55.0833,22.7667,Lithuania,LT,Jurbarkas,admin,10571,10571
Likiškiai,54.3950,23.9970,Lithuania,LT,Alytus,,10489,10489
Biržai,56.2000,24.7500,Lithuania,LT,Biržai,admin,10444,10444
Vilkaviškis,54.6500,23.0333,Lithuania,LT,Vilkaviškis,admin,10291,10291
Garliava,54.8167,23.8667,Lithuania,LT,Kaunas,,10110,10110
Lentvaris,54.6500,25.0667,Lithuania,LT,Trakai,,10000,9680
Raseiniai,55.3667,23.1167,Lithuania,LT,Raseiniai,admin,9686,9686
Prienai,54.6333,23.9417,Lithuania,LT,Prienai,admin,8894,8894
Joniškis,56.2333,23.6000,Lithuania,LT,Joniškis,admin,8757,8466
Anykščiai,55.5333,25.1000,Lithuania,LT,Anykščiai,admin,8638,8638
Varėna,54.2111,24.5722,Lithuania,LT,Varėna,admin,8477,8042
