city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Riga,56.9489,24.1064,Latvia,LV,Rīga,primary,920643,605802
Daugavpils,55.8750,26.5356,Latvia,LV,Augšdaugava,admin,80627,79120
Liepāja,56.5117,21.0139,Latvia,LV,Liepāja,admin,67964,67360
Jelgava,56.6483,23.7139,Latvia,LV,Jelgava,admin,55336,54694
Jūrmala,56.9681,23.7703,Latvia,LV,Jūrmala,admin,50561,50561
Ventspils,57.3906,21.5733,Latvia,LV,Ventspils,admin,33372,32955
Rēzekne,56.5127,27.3427,Latvia,LV,Rēzekne,admin,26839,26481
Ogre,56.8186,24.6056,Latvia,LV,Ogre,admin,22978,22872
Valmiera,57.5500,25.4000,Latvia,LV,Valmiera,admin,22971,22757
Jēkabpils,56.4994,25.8783,Latvia,LV,Jēkabpils,admin,21629,21418
Salaspils,56.8667,24.3500,Latvia,LV,Salaspils,admin,17905,17808
Mārupe,56.9069,24.0583,Latvia,LV,Mārupe,admin,17796,17796
Tukums,56.9667,23.1500,Latvia,LV,Tukums,admin,16691,16528
Cēsis,57.3167,25.2667,Latvia,LV,Cēsis,admin,14815,14766
Sigulda,57.1500,24.8667,Latvia,LV,Sigulda,admin,14539,14539
Olaine,56.7833,23.9333,Latvia,LV,Olaine,admin,10324,10224
Kuldīga,56.9667,21.9667,Latvia,LV,Kuldīga,admin,10109,9974
Bauska,56.4083,24.1931,Latvia,LV,Bauska,admin,9840,9755
Saldus,56.6667,22.5000,Latvia,LV,Saldus,admin,9679,9520
Talsi,57.2444,22.5867,Latvia,LV,Talsi,admin,8816,8712
Dobele,56.6167,23.2667,Latvia,LV,Dobele,admin,8731,8647
Ādaži,57.0667,24.3333,Latvia,LV,Ādaži,admin,7482,7482
Ludza,56.5500,27.7167,Latvia,LV,Ludza,admin,7473,7347
Ikšķile,56.8167,24.4833,Latvia,LV,Ogre,,7396,7396
Krāslava,55.8833,27.1667,Latvia,LV,Krāslava,admin,7289,7086
Aizkraukle,56.6042,25.2539,Latvia,LV,Aizkraukle,admin,7044,6973
Līvāni,56.3667,26.1833,Latvia,LV,Līvāni,admin,7035,6935
Gulbene,57.1667,26.7500,Latvia,LV,Gulbene,admin,6982,6867
Limbaži,57.5167,24.7167,Latvia,LV,Limbaži,admin,6888,6762
Baloži,56.8667,24.1167,Latvia,LV,Ķekava,,6823,6823
Madona,56.8500,26.2167,Latvia,LV,Madona,admin,6792,6715
Alūksne,57.4167,27.0500,Latvia,LV,Alūksne,admin,6535,6368
Preiļi,56.3000,26.7167,Latvia,LV,Preiļi,admin,6161,6026
Lielvārde,56.7225,24.8050,Latvia,LV,Ogre,,5907,5885
Balvi,57.1333,27.2500,Latvia,LV,Balvi,admin,5840,5699
Iecava,56.6000,24.2000,Latvia,LV,Bauska,,5736,5446
Ķekava,56.8333,24.2333,Latvia,LV,Ķekava,admin,5160,5160
Smiltene,57.4333,25.9000,Latvia,LV,Smiltene,admin,5151,5083
Carnikava,57.1333,24.2833,Latvia,LV,Ādaži,,4882,4882
Valka,57.7667,26.0000,Latvia,LV,Valka,admin,4522,4522
Ozolnieki,56.6908,23.7879,Latvia,LV,Jelgava,,4323,4323
Aizpute,56.7167,21.6000,Latvia,LV,Dienvidkurzeme,,4036,3955
Piņķi,56.9444,23.9108,Latvia,LV,Mārupe,,3800,3800
Baldone,56.7417,24.3933,Latvia,LV,Ķekava,,3664,3651
Grobiņa,56.5375,21.1675,Latvia,LV,Dienvidkurzeme,,3569,3569
Jaunolaine,56.8006,23.9814,Latvia,LV,Olaine,,3409,3409
Kandava,57.0333,22.7500,Latvia,LV,Tukums,,3336,3259
Jaunmārupe,56.8764,23.9358,Latvia,LV,Mārupe,,3287,3287
Vangaži,57.0925,24.5464,Latvia,LV,Sigulda,,3270,3270
Dreiliņi,56.9433,24.2469,Latvia,LV,Rīga,,3184,3184
Saulkrasti,57.2500,24.4167,Latvia,LV,Saulkrasti,admin,3120,3100
Ulbroka,56.9333,24.2833,Latvia,LV,Ropaži,admin,3102,3035
Pļaviņas,56.6000,25.7167,Latvia,LV,Aizkraukle,,2908,2865
Brocēni,56.6667,22.5667,Latvia,LV,Saldus,,2830,2792
Viļāni,56.5519,26.9272,Latvia,LV,Rēzekne,,2793,2727
Rūjiena,57.8972,25.3259,Latvia,LV,Valmiera,,2725,2719
Koknese,56.6384,25.4196,Latvia,LV,Aizkraukle,,2580,2405
Salacgrīva,57.7500,24.3500,Latvia,LV,Limbaži,,2579,2524
Skrīveri,56.6467,25.1222,Latvia,LV,Aizkraukle,,2425,2424
Katlakalns,56.8744,24.1808,Latvia,LV,Ķekava,,2404,2404
Kadaga,57.1000,24.3667,Latvia,LV,Ādaži,,2362,2362
Auce,56.4500,22.8833,Latvia,LV,Dobele,,2236,2183
Liepa,57.3864,25.4231,Latvia,LV,Cēsis,,2202,2172
Priekuļi,57.3142,25.3597,Latvia,LV,Cēsis,,2183,2136
Ilūkste,55.9667,26.2833,Latvia,LV,Augšdaugava,,2169,2119
Roja,57.5058,22.8019,Latvia,LV,Talsi,,2140,2120
Ķegums,56.7333,24.7000,Latvia,LV,Ogre,,2103,2065
Garkalne,57.0500,24.4278,Latvia,LV,Ropaži,,2075,2075
Inčukalns,57.0964,24.6875,Latvia,LV,Sigulda,,2058,2058
Vecumnieki,56.6064,24.5222,Latvia,LV,Bauska,,2053,2027
Zvejniekciems,57.3169,24.4156,Latvia,LV,Saulkrasti,,2029,2029
Kārsava,56.7833,27.6667,Latvia,LV,Ludza,,1923,1885
Peltes,57.1492,24.8917,Latvia,LV,Sigulda,,1916,1916
Skrunda,56.6667,22.0000,Latvia,LV,Kuldīga,,1910,1910
Dagda,56.0833,27.5333,Latvia,LV,Krāslava,,1895,1859
Priekule,56.4500,21.5833,Latvia,LV,Dienvidkurzeme,,1851,1832
Saurieši,56.9167,24.3667,Latvia,LV,Ropaži,,1837,1837
Mālpils,57.0106,24.9597,Latvia,LV,Sigulda,,1807,1807
