city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Skopje,41.9961,21.4317,Macedonia,MK,Skopje,primary,640000,526502
Tetovo,42.0103,20.9714,Macedonia,MK,Tetovo,admin,142030,142030
Bitola,41.0319,21.3347,Macedonia,MK,Bitola,admin,74550,74550
Kumanovo,42.1322,21.7144,Macedonia,MK,Kumanovo,admin,70842,70842
Prilep,41.3464,21.5542,Macedonia,MK,Prilep,admin,66246,66246
Ohrid,41.1169,20.8019,Macedonia,MK,Ohrid,admin,55749,55749
Veles,41.7153,21.7753,Macedonia,MK,Veles,admin,43716,43716
Štip,41.7358,22.1914,Macedonia,MK,Štip,admin,43652,43652
Gostivar,41.8000,20.9167,Macedonia,MK,Gostivar,admin,35847,35847
Kočani,41.9167,22.4125,Macedonia,MK,Kočani,admin,28330,28330
Dračevo,41.9367,21.5217,Macedonia,MK,Skopje,,19246,19246
Struga,41.1775,20.6789,Macedonia,MK,Struga,admin,16559,16559
Debar,41.5250,20.5272,Macedonia,MK,Debar,admin,14561,14561
Strumica,41.4375,22.6431,Macedonia,MK,Strumica,admin,10868,10868
Vinica,41.8828,22.5092,Macedonia,MK,Vinica,admin,10863,10863
Probištip,41.9936,22.1767,Macedonia,MK,Probištip,admin,10826,10826
Aračinovo,42.0264,21.5617,Macedonia,MK,Aračinovo,admin,7315,7315
Kičevo,41.5142,20.9631,Macedonia,MK,Kičevo,admin,7280,7280
Kavadarci,41.4328,22.0117,Macedonia,MK,Kavadarci,admin,6228,6228
Gevgelija,41.1392,22.5025,Macedonia,MK,Gevgelija,admin,4967,4967
Vrapčište,41.8337,20.8851,Macedonia,MK,Vrapčište,admin,4874,4874
Radoviš,41.6381,22.4644,Macedonia,MK,Radoviš,admin,4678,4678
Berovo,41.7078,22.8564,Macedonia,MK,Berovo,admin,3619,3619
Kruševo,41.3700,21.2483,Macedonia,MK,Kruševo,admin,3570,3570
Sveti Nikole,41.8650,21.9425,Macedonia,MK,Sveti Nikole,admin,3468,3468
Demir Kapija,41.4114,22.2422,Macedonia,MK,Demir Kapija,admin,3275,3275
Kučevište,42.1097,21.4180,Macedonia,MK,Čučer-Sandevo,,3167,3167
Delčevo,41.9661,22.7747,Macedonia,MK,Delčevo,admin,3033,3033
Bogdanci,41.2031,22.5728,Macedonia,MK,Bogdanci,admin,2951,2951
Rašče,42.0225,21.2506,Macedonia,MK,Skopje,,2697,2697
Negotino,41.4839,22.0892,Macedonia,MK,Negotino,admin,2683,2683
