city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Warsaw,52.2300,21.0111,Poland,PL,Mazowieckie,primary,1860281,1860281
Kraków,50.0614,19.9372,Poland,PL,Małopolskie,admin,800653,800653
Łódź,51.7769,19.4547,Poland,PL,Łódzkie,admin,690422,670642
Wrocław,51.1100,17.0325,Poland,PL,Dolnośląskie,admin,672929,672929
Poznań,52.4083,16.9336,Poland,PL,Wielkopolskie,admin,546859,546859
Gdańsk,54.3475,18.6453,Poland,PL,Pomorskie,admin,486022,486022
Szczecin,53.4325,14.5481,Poland,PL,Zachodniopomorskie,admin,403833,396168
Bydgoszcz,53.1219,18.0003,Poland,PL,Kujawsko-Pomorskie,admin,346739,337666
Lublin,51.2500,22.5667,Poland,PL,Lubelskie,admin,339850,334681
Bielsko-Biała,49.8225,19.0444,Poland,PL,Śląskie,minor,325000,169089
Białystok,53.1353,23.1456,Poland,PL,Podlaskie,admin,297554,294242
Katowice,50.2667,19.0167,Poland,PL,Śląskie,admin,285711,285711
Gdynia,54.5000,18.5333,Poland,PL,Pomorskie,minor,247672,245222
Częstochowa,50.8000,19.1167,Poland,PL,Śląskie,minor,223322,213107
Radom,51.4036,21.1567,Poland,PL,Mazowieckie,minor,219703,201601
Zielona Góra,51.9333,15.5000,Poland,PL,Lubuskie,admin,216781,140002
Toruń,53.0222,18.6111,Poland,PL,Kujawsko-Pomorskie,admin,201447,198273
Rzeszów,50.0333,22.0000,Poland,PL,Podkarpackie,admin,195871,195871
Sosnowiec,50.2833,19.1333,Poland,PL,Śląskie,minor,193660,193660
Kielce,50.8742,20.6333,Poland,PL,Świętokrzyskie,admin,191605,186894
Gliwice,50.2833,18.6667,Poland,PL,Śląskie,minor,174016,174016
Olsztyn,53.7778,20.4792,Poland,PL,Warmińsko-Mazurskie,admin,173599,170225
Zabrze,50.3025,18.7781,Poland,PL,Śląskie,minor,158307,158307
Bytom,50.3483,18.9156,Poland,PL,Śląskie,minor,153274,153274
Rybnik,50.0833,18.5500,Poland,PL,Śląskie,minor,141000,133772
Ruda Śląska,50.2628,18.8536,Poland,PL,Śląskie,minor,133793,133793
Tychy,50.1236,18.9867,Poland,PL,Śląskie,minor,129322,124882
Opole,50.6667,17.9333,Poland,PL,Opolskie,admin,127792,127387
Gorzów Wielkopolski,52.7333,15.2500,Poland,PL,Lubuskie,admin,123341,119964
Płock,52.5500,19.7000,Poland,PL,Mazowieckie,minor,120000,114594
Elbląg,54.1667,19.4000,Poland,PL,Warmińsko-Mazurskie,minor,119317,115220
Dąbrowa Górnicza,50.3214,19.1872,Poland,PL,Śląskie,minor,116930,116930
Wałbrzych,50.7667,16.2833,Poland,PL,Dolnośląskie,minor,116069,104401
Tarnów,50.0125,20.9886,Poland,PL,Małopolskie,minor,110956,106259
Koszalin,54.2000,16.1833,Poland,PL,Zachodniopomorskie,minor,106880,105883
Włocławek,52.6592,19.0681,Poland,PL,Kujawsko-Pomorskie,minor,104705,104705
Chorzów,50.3000,18.9500,Poland,PL,Śląskie,minor,104193,104193
Kalisz,51.7575,18.0800,Poland,PL,Wielkopolskie,minor,99761,95905
Legnica,51.2083,16.1603,Poland,PL,Dolnośląskie,minor,99350,94878
Nowy Sącz,49.6239,20.6972,Poland,PL,Małopolskie,minor,81281,81281
Inowrocław,52.7931,18.2611,Poland,PL,Kujawsko-Pomorskie,minor,72561,69576
Mysłowice,50.2333,19.1333,Poland,PL,Śląskie,minor,72553,72553
Ostrowiec Świętokrzyski,50.9333,21.4000,Poland,PL,Świętokrzyskie,minor,72001,64796
Ostrów Wielkopolski,51.6494,17.8164,Poland,PL,Wielkopolskie,minor,70725,70725
Lubin,51.4000,16.2000,Poland,PL,Dolnośląskie,minor,70016,70016
Gniezno,52.5358,17.5958,Poland,PL,Wielkopolskie,minor,68217,65452
Stargard Szczeciński,53.3333,15.0500,Poland,PL,Zachodniopomorskie,minor,67579,67348
Głogów,51.6589,16.0803,Poland,PL,Dolnośląskie,minor,66980,64261
Zamość,50.7167,23.2528,Poland,PL,Lubelskie,minor,66234,60148
Pruszków,52.1667,20.8000,Poland,PL,Mazowieckie,minor,65283,65283
Pabianice,51.6500,19.3833,Poland,PL,Łódzkie,minor,64988,62954
Siemianowice Śląskie,50.2758,18.9858,Poland,PL,Śląskie,minor,64676,64676
Leszno,51.8458,16.5806,Poland,PL,Wielkopolskie,minor,63505,61791
Ełk,53.8214,22.3622,Poland,PL,Warmińsko-Mazurskie,minor,62006,60390
Chełm,51.1322,23.4778,Poland,PL,Lubelskie,minor,61588,59546
Mielec,50.2833,21.4333,Poland,PL,Podkarpackie,minor,60628,58213
Tomaszów Mazowiecki,51.5167,20.0167,Poland,PL,Łódzkie,minor,59388,59388
Bełchatów,51.3667,19.3667,Poland,PL,Łódzkie,minor,59025,54338
Tczew,54.0875,18.7972,Poland,PL,Pomorskie,minor,57990,57990
Świdnica,50.8500,16.4833,Poland,PL,Dolnośląskie,minor,57761,54792
Będzin,50.3333,19.1167,Poland,PL,Śląskie,minor,56354,55695
Zgierz,51.8500,19.4167,Poland,PL,Łódzkie,minor,55079,55079
Legionowo,52.4000,20.8833,Poland,PL,Mazowieckie,minor,53886,53216
Piekary Śląskie,50.3833,18.9500,Poland,PL,Śląskie,minor,53017,53017
Ostrołęka,53.0667,21.5667,Poland,PL,Mazowieckie,minor,52900,49805
Rumia,54.5667,18.4000,Poland,PL,Pomorskie,,51879,51879
Starogard Gdański,53.9667,18.5333,Poland,PL,Pomorskie,minor,48690,46373
Starachowice,51.0500,21.0667,Poland,PL,Świętokrzyskie,minor,47638,46270
Wejherowo,54.6000,18.2500,Poland,PL,Pomorskie,minor,47357,47357
Kołobrzeg,54.1761,15.5761,Poland,PL,Zachodniopomorskie,minor,46716,44340
Świętochłowice,50.2919,18.9178,Poland,PL,Śląskie,minor,46494,46494
