city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bucharest,44.4325,26.1039,Romania,RO,Bucureşti,primary,1883425,1716983
Cluj-Napoca,46.7667,23.5833,Romania,RO,Cluj,admin,324576,286598
Timişoara,45.7597,21.2300,Romania,RO,Timiş,admin,319279,250849
Braşov,45.6667,25.6167,Romania,RO,Braşov,admin,290743,237589
Iaşi,47.1622,27.5889,Romania,RO,Iaşi,admin,290422,271692
Constanţa,44.1667,28.6333,Romania,RO,Constanţa,admin,283872,263707
Craiova,44.3333,23.8167,Romania,RO,Dolj,admin,269506,234140
Galaţi,45.4233,28.0425,Romania,RO,Galaţi,admin,249432,217851
Ploieşti,44.9411,26.0225,Romania,RO,Prahova,admin,209945,180539
Oradea,47.0722,21.9211,Romania,RO,Bihor,admin,196367,183105
Brăila,45.2692,27.9575,Romania,RO,Brăila,admin,180302,154686
Arad,46.1750,21.3125,Romania,RO,Arad,admin,159074,145078
Piteşti,44.8606,24.8678,Romania,RO,Argeş,admin,155383,141275
Sibiu,45.7928,24.1519,Romania,RO,Sibiu,admin,147245,134308
Bacău,46.5833,26.9167,Romania,RO,Bacău,admin,144307,136102
Târgu-Mureş,46.5456,24.5625,Romania,RO,Mureş,admin,134290,116033
Baia Mare,47.6667,23.5833,Romania,RO,Maramureş,admin,123738,108759
Buzău,45.1531,26.8208,Romania,RO,Buzău,admin,115494,103481
Botoşani,47.7486,26.6694,Romania,RO,Botoşani,admin,106847,89987
Satu Mare,47.7900,22.8900,Romania,RO,Satu Mare,admin,102411,91520
Râmnicu Vâlcea,45.1047,24.3756,Romania,RO,Vâlcea,admin,98776,93151
Drobeta-Turnu Severin,44.6333,22.6500,Romania,RO,Mehedinţi,admin,92617,79865
Suceava,47.6514,26.2556,Romania,RO,Suceava,admin,92121,84308
Piatra Neamţ,46.9275,26.3708,Romania,RO,Neamţ,admin,85055,79679
Reşiţa,45.3008,21.8892,Romania,RO,Caraş-Severin,admin,83324,83324
Târgu Jiu,45.0342,23.2747,Romania,RO,Gorj,admin,82504,73544
Târgovişte,44.9244,25.4572,Romania,RO,Dâmboviţa,admin,79610,66965
Focşani,45.7000,27.1797,Romania,RO,Vrancea,admin,79315,66719
Bistriţa,47.1333,24.5000,Romania,RO,Bistriţa-Năsăud,admin,78877,78877
Tulcea,45.1900,28.8000,Romania,RO,Tulcea,admin,73707,65624
Slatina,44.4297,24.3642,Romania,RO,Olt,admin,70293,63487
Călăraşi,44.2000,27.3333,Romania,RO,Călăraşi,admin,65181,58215
Alba Iulia,46.0669,23.5700,Romania,RO,Alba,admin,64227,64227
Vaslui,46.6383,27.7292,Romania,RO,Vaslui,admin,63035,63035
Giurgiu,43.9008,25.9739,Romania,RO,Giurgiu,admin,61353,54551
Deva,45.8781,22.9144,Romania,RO,Hunedoara,,61123,53113
Hunedoara,45.7697,22.9203,Romania,RO,Hunedoara,admin,60525,50457
Zalău,47.1911,23.0572,Romania,RO,Sălaj,admin,56202,52132
Sfântu-Gheorghe,45.8636,25.7875,Romania,RO,Covasna,admin,56006,50080
Bârlad,46.2167,27.6667,Romania,RO,Vaslui,,55837,52475
Popeşti-Leordeni,44.3800,26.1700,Romania,RO,Ilfov,,53431,53431
Roman,46.9300,26.9300,Romania,RO,Neamţ,,50713,48644
Turda,46.5667,23.7833,Romania,RO,Cluj,,47744,43319
Voluntari,44.4925,26.1914,Romania,RO,Bucureşti,,47366,47366
Media,46.1500,24.3500,Romania,RO,Sibiu,,47204,39505
Slobozia,44.5639,27.3661,Romania,RO,Ialomiţa,admin,45891,41553
Alexandria,43.9686,25.3333,Romania,RO,Teleorman,admin,45434,40390
Miercurea-Ciuc,46.3594,25.8017,Romania,RO,Harghita,admin,42029,42029
Lugoj,45.7056,21.9258,Romania,RO,Timiş,,40361,35450
Bragadiru,44.3708,25.9750,Romania,RO,Ilfov,,40080,40080
Medgidia,44.2503,28.2614,Romania,RO,Constanţa,,39780,34612
Oneşti,46.2586,26.7692,Romania,RO,Bacău,,39172,34005
Sighetu Marmaţiei,47.9286,23.8925,Romania,RO,Maramureş,,37640,32795
Petroşani,45.4122,23.3733,Romania,RO,Hunedoara,,37160,31044
Mangalia,43.8172,28.5828,Romania,RO,Constanţa,,36364,31950
Tecuci,45.8467,27.4278,Romania,RO,Galaţi,,34871,32801
Năvodari,44.3211,28.6133,Romania,RO,Constanţa,,34398,34398
Odorheiu Secuiesc,46.3139,25.3017,Romania,RO,Harghita,,34257,31335
Râmnicu Sărat,45.3800,27.0600,Romania,RO,Buzău,,33843,29774
Paşcani,47.2494,26.7272,Romania,RO,Iaşi,,33745,30766
Dej,47.0872,23.8053,Romania,RO,Cluj,,33497,31475
Reghin,46.7758,24.7083,Romania,RO,Mureş,,33281,29742
Câmpina,45.1300,25.7400,Romania,RO,Prahova,,32935,28993
Pantelimon,44.4500,26.2000,Romania,RO,Ilfov,,32873,32873
Mioveni,44.9569,24.9406,Romania,RO,Argeş,,31998,29317
Câmpulung,45.2678,25.0464,Romania,RO,Argeş,,31767,27574
Caracal,44.1125,24.3472,Romania,RO,Olt,,30954,27403
Săcele,45.6200,25.7097,Romania,RO,Braşov,,30920,30920
Făgăraş,45.8447,24.9742,Romania,RO,Braşov,,30714,26284
Feteşti,44.4150,27.8236,Romania,RO,Ialomiţa,,30217,27462
Sighişoara,46.2169,24.7911,Romania,RO,Mureş,,28102,23927
Borşa,47.6553,24.6631,Romania,RO,Maramureş,,27711,27711
Roşiori de Vede,44.1114,24.9942,Romania,RO,Teleorman,,27416,22294
Curtea de Argeş,45.1392,24.6792,Romania,RO,Argeş,,27359,25977
Sebeş,45.9600,23.5700,Romania,RO,Alba,,27019,26490
Huşi,46.6742,28.0597,Romania,RO,Vaslui,,26266,25045
Fălticeni,47.4597,26.3000,Romania,RO,Suceava,,25723,23902
Olteniţa,44.0867,26.6367,Romania,RO,Călăraşi,,24822,22624
Turnu Măgurele,43.7517,24.8708,Romania,RO,Teleorman,,24772,19597
Caransebeş,45.4214,22.2219,Romania,RO,Caraş-Severin,,24689,21714
Dorohoi,47.9597,26.3997,Romania,RO,Botoşani,,24309,22893
Rădăuţi,47.8425,25.9192,Romania,RO,Suceava,,24292,24292
Vulcan,45.3811,23.2914,Romania,RO,Hunedoara,,24160,19772
Zărneşti,45.5667,25.3333,Romania,RO,Braşov,,23476,21624
Lupeni,45.3603,23.2383,Romania,RO,Hunedoara,,23390,18699
Aiud,46.3122,23.7292,Romania,RO,Alba,,22876,21307
Petrila,45.4500,23.4200,Romania,RO,Hunedoara,,22692,19600
Cisnădie,45.7128,24.1508,Romania,RO,Sibiu,,22277,22277
Câmpia Turzii,46.5486,23.8800,Romania,RO,Cluj,,22223,20590
Buftea,44.5700,25.9500,Romania,RO,Ilfov,,22178,20577
Târnăveni,46.3297,24.2700,Romania,RO,Mureş,,22075,20604
Moineşti,46.4333,26.4833,Romania,RO,Bacău,,21787,19728
Otopeni,44.5500,26.0700,Romania,RO,Ilfov,,21750,21750
Codlea,45.6969,25.4439,Romania,RO,Braşov,,21708,20534
Cugir,45.8436,23.3636,Romania,RO,Alba,,21376,19473
Carei,47.6839,22.4669,Romania,RO,Satu Mare,,21112,18957
Gherla,47.0200,23.9000,Romania,RO,Cluj,,20982,19873
Scobinţi,47.3833,26.9333,Romania,RO,Iaşi,,20700,1818
Blaj,46.1753,23.9144,Romania,RO,Alba,,20630,17816
Floreşti,46.7475,23.4908,Romania,RO,Cluj,,20256,20256
Comăneşti,46.4297,26.4500,Romania,RO,Bacău,,19996,19996
Motru,44.8036,22.9708,Romania,RO,Gorj,,19079,15950
Târgu Neamţ,47.2025,26.3586,Romania,RO,Neamţ,,18695,18015
Moreni,44.9803,25.6444,Romania,RO,Dâmboviţa,,18687,15472
Toflea,46.0637,27.3341,Romania,RO,Galaţi,,18521,5801
Târgu Secuiesc,45.9969,26.1406,Romania,RO,Covasna,,18491,16243
