city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Moscow,55.7558,37.6178,Russia,RU,Moskva,primary,17332000,13200000
Saint Petersburg,59.9500,30.3167,Russia,RU,Sankt-Peterburg,admin,5384342,5384342
Novosibirsk,55.0333,82.9167,Russia,RU,Novosibirskaya Oblast’,admin,1625631,1625631
Yekaterinburg,56.8356,60.6128,Russia,RU,Sverdlovskaya Oblast’,admin,1468833,1468833
Nizhniy Novgorod,56.3269,44.0075,Russia,RU,Nizhegorodskaya Oblast’,admin,1264075,1252236
Kazan,55.7964,49.1089,Russia,RU,Tatarstan,admin,1243500,1243500
Chelyabinsk,55.1500,61.4000,Russia,RU,Chelyabinskaya Oblast’,admin,1202371,1196680
Omsk,54.9667,73.3833,Russia,RU,Omskaya Oblast’,admin,1178391,1172070
Samara,53.2028,50.1408,Russia,RU,Samarskaya Oblast’,admin,1169719,1169719
Rostov,47.2333,39.7000,Russia,RU,Rostovskaya Oblast’,admin,1137704,1137704
Ufa,54.7261,55.9475,Russia,RU,Bashkortostan,admin,1115560,1115560
Krasnoyarsk,56.0089,92.8719,Russia,RU,Krasnoyarskiy Kray,admin,1083865,1083865
Voronezh,51.6717,39.2106,Russia,RU,Voronezhskaya Oblast’,admin,1050602,1050602
Perm,58.0139,56.2489,Russia,RU,Permskiy Kray,admin,1048005,1048005
Volgograd,48.7086,44.5147,Russia,RU,Volgogradskaya Oblast’,admin,1015586,1004763
Krasnodar,45.0333,38.9667,Russia,RU,Krasnodarskiy Kray,admin,948827,948827
Saratov,51.5333,46.0167,Russia,RU,Saratovskaya Oblast’,admin,845300,845300
Tyumen,57.1500,65.5333,Russia,RU,Tyumenskaya Oblast’,admin,744554,744554
Tolyatti,53.5089,49.4222,Russia,RU,Samarskaya Oblast’,,693072,685619
Izhevsk,56.8500,53.2167,Russia,RU,Udmurtiya,admin,646277,646277
Barnaul,53.3333,83.7500,Russia,RU,Altayskiy Kray,admin,633301,631124
Ulyanovsk,54.3167,48.3667,Russia,RU,Ul’yanovskaya Oblast’,admin,624518,624518
