city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Ljubljana,46.0514,14.5061,Slovenia,SI,Ljubljana,primary,286745,284293
Maribor,46.5575,15.6456,Slovenia,SI,Maribor,admin,97019,96211
Kranj,46.2333,14.3667,Slovenia,SI,Kranj,admin,37941,37553
Celje,46.2358,15.2675,Slovenia,SI,Celje,admin,37872,37872
Koper,45.5500,13.7333,Slovenia,SI,Koper,admin,25753,25753
Velenje,46.3625,15.1144,Slovenia,SI,Velenje,admin,25594,25594
Novo Mesto,45.8000,15.1667,Slovenia,SI,Novo Mesto,admin,24183,24183
Ptuj,46.4194,15.8694,Slovenia,SI,Ptuj,admin,17959,17959
Kamnik,46.2257,14.6120,Slovenia,SI,Kamnik,admin,13880,13880
Trbovlje,46.1500,15.0500,Slovenia,SI,Trbovlje,admin,13822,13822
Jesenice,46.4366,14.0602,Slovenia,SI,Jesenice,admin,13338,13338
Domžale,46.1394,14.5950,Slovenia,SI,Domžale,admin,13204,13204
Nova Gorica,45.9558,13.6433,Slovenia,SI,Nova Gorica,admin,13031,13031
Izola,45.5344,13.6675,Slovenia,SI,Izola,admin,11682,11682
Škofja Loka,46.1672,14.3030,Slovenia,SI,Škofja Loka,admin,11671,11671
Murska Sobota,46.6667,16.1667,Slovenia,SI,Murska Sobota,admin,11107,11107
Postojna,45.7759,14.2137,Slovenia,SI,Postojna,admin,9605,9605
Logatec,45.9167,14.2297,Slovenia,SI,Logatec,admin,9091,9091
Vrhnika,45.9624,14.2937,Slovenia,SI,Vrhnika,admin,8888,8888
Slovenska Bistrica,46.3903,15.5750,Slovenia,SI,Slovenska Bistrica,admin,8219,8219
Kočevje,45.6430,14.8594,Slovenia,SI,Kočevje,admin,8151,8151
Grosuplje,45.9551,14.6562,Slovenia,SI,Grosuplje,admin,7703,7703
Ravne na Koroškem,46.5437,14.9642,Slovenia,SI,Ravne na Koroškem,admin,7363,7363
Slovenj Gradec,46.5094,15.0792,Slovenia,SI,Slovenj Gradec,admin,7249,7249
Krško,45.9500,15.4833,Slovenia,SI,Krško,admin,7217,7217
Ajdovščina,45.8861,13.9097,Slovenia,SI,Ajdovščina,admin,6843,6843
Brežice,45.9048,15.5922,Slovenia,SI,Brežice,admin,6843,6843
Litija,46.0667,14.8167,Slovenia,SI,Litija,admin,6673,6673
Mengeš,46.1626,14.5680,Slovenia,SI,Mengeš,admin,6119,6119
Lucija,45.5067,13.6016,Slovenia,SI,Piran,,6057,6057
Sežana,45.7034,13.8706,Slovenia,SI,Sežana,admin,6037,6037
Zagorje,46.1342,14.9942,Slovenia,SI,Zagorje ob Savi,admin,6023,6023
Radovljica,46.3425,14.1721,Slovenia,SI,Radovljica,admin,5981,5981
Idrija,46.0025,14.0275,Slovenia,SI,Idrija,admin,5886,5886
Črnomelj,45.5711,15.1889,Slovenia,SI,Črnomelj,admin,5496,5496
Medvode,46.1382,14.4147,Slovenia,SI,Medvode,admin,5380,5380
Slovenske Konjice,46.3383,15.4233,Slovenia,SI,Slovenske Konjice,admin,5157,5157
Rogaška Slatina,46.2314,15.6381,Slovenia,SI,Rogaška Slatina,admin,5082,5082
Žalec,46.2510,15.1639,Slovenia,SI,Žalec,admin,5000,5000
Hrastnik,46.1479,15.1528,Slovenia,SI,Hrastnik,admin,4962,4962
Šentjur,46.2176,15.3960,Slovenia,SI,Šentjur,admin,4940,4940
Bled,46.3688,14.1140,Slovenia,SI,Bled,admin,4929,4929
Prevalje,46.5438,14.9119,Slovenia,SI,Prevalje,admin,4620,4620
Sevnica,46.0092,15.3041,Slovenia,SI,Sevnica,admin,4533,4533
Ilirska Bistrica,45.5679,14.2527,Slovenia,SI,Ilirska Bistrica,admin,4323,4323
Ruše,46.5386,15.5154,Slovenia,SI,Ruše,admin,4208,4208
Cerknica,45.7964,14.3581,Slovenia,SI,Cerknica,admin,4018,4018
Trebnje,45.9104,15.0086,Slovenia,SI,Trebnje,admin,3927,3927
Trzin,46.1353,14.5600,Slovenia,SI,Trzin,admin,3925,3925
Miklavž na Dravskem Polju,46.5057,15.6993,Slovenia,SI,Miklavž na Dravskem Polju,admin,3808,3808
Piran,45.5283,13.5683,Slovenia,SI,Piran,admin,3730,3730
Šempeter pri Gorici,45.9284,13.6378,Slovenia,SI,Šempeter-Vrtojba,admin,3694,3694
Tržič,46.3581,14.2930,Slovenia,SI,Tržič,admin,3670,3670
Žiri,46.0469,14.1097,Slovenia,SI,Žiri,admin,3657,3657
Ribnica,45.7400,14.7308,Slovenia,SI,Ribnica,admin,3612,3612
Tolmin,46.1857,13.7352,Slovenia,SI,Tolmin,admin,3525,3525
Laško,46.1563,15.2386,Slovenia,SI,Laško,admin,3288,3288
Lenart v Slovenskih Goricah,46.5742,15.8322,Slovenia,SI,Lenart,admin,3285,3285
Ljutomer,46.5168,16.2027,Slovenia,SI,Ljutomer,admin,3270,3270
Metlika,45.6517,15.3200,Slovenia,SI,Metlika,admin,3229,3229
Ankaran,45.5793,13.7379,Slovenia,SI,Ankaran,admin,3224,3224
Brezovica,46.0207,14.4178,Slovenia,SI,Brezovica,admin,3221,3221
Solkan,45.9695,13.6455,Slovenia,SI,Nova Gorica,,3216,3216
Bistrica pri Tržiču,46.3581,14.2930,Slovenia,SI,Tržič,,3187,3187
Mežica,46.5206,14.8536,Slovenia,SI,Mežica,admin,3176,3176
Šenčur,46.2430,14.4181,Slovenia,SI,Šenčur,admin,3121,3121
Dravograd,46.5903,15.0236,Slovenia,SI,Dravograd,admin,3088,3088
Gornja Radgona,46.6752,15.9926,Slovenia,SI,Gornja Radgona,admin,3086,3086
Železniki,46.2182,14.1592,Slovenia,SI,Železniki,admin,3069,3069
Lendava,46.5631,16.4519,Slovenia,SI,Lendava,admin,2954,2954
Rogašovci,46.8053,16.0344,Slovenia,SI,Rogašovci,admin,2946,2946
Šoštanj,46.3798,15.0482,Slovenia,SI,Šoštanj,admin,2933,2933
Zreče,46.3750,15.3854,Slovenia,SI,Zreče,admin,2922,2922
Lesce,46.3600,14.1564,Slovenia,SI,Radovljica,,2918,2918
Portorož,45.5166,13.5800,Slovenia,SI,Piran,,2866,2866
Radlje ob Dravi,46.6152,15.2264,Slovenia,SI,Radlje ob Dravi,admin,2856,2856
Škofljica,45.9836,14.5761,Slovenia,SI,Škofljica,admin,2716,2716
Rače,46.4529,15.6812,Slovenia,SI,Rače-Fram,admin,2693,2693
Borovnica,45.9197,14.3572,Slovenia,SI,Borovnica,admin,2674,2674
Vnanje Gorice,46.0025,14.4145,Slovenia,SI,Brezovica,,2605,2605
Vrtojba,45.9089,13.6364,Slovenia,SI,Šempeter-Vrtojba,,2598,2598
Vojnik,46.2933,15.3052,Slovenia,SI,Vojnik,admin,2475,2475
Senovo,46.0259,15.4804,Slovenia,SI,Krško,,2448,2448
Beltinci,46.6060,16.2328,Slovenia,SI,Beltinci,admin,2430,2430
Polzela,46.2809,15.0740,Slovenia,SI,Polzela,admin,2351,2351
Muta,46.6167,15.1667,Slovenia,SI,Muta,admin,2291,2291
Štore,46.2219,15.3111,Slovenia,SI,Štore,admin,2257,2257
Ig,45.9692,14.5394,Slovenia,SI,Ig,admin,2240,2240
Koroška-Bela,46.4367,14.1019,Slovenia,SI,Jesenice,,2206,2206
Ivančna Gorica,45.9374,14.8029,Slovenia,SI,Ivančna Gorica,admin,2205,2205
Črna na Koroškem,46.4697,14.8490,Slovenia,SI,Črna na Koroškem,admin,2201,2201
Rakek,45.8145,14.3123,Slovenia,SI,Cerknica,,2190,2190
Jagodje,45.5282,13.6471,Slovenia,SI,Izola,,2153,2153
Radenci,46.6500,16.0500,Slovenia,SI,Radenci,admin,2142,2142
Spodnje Hoče,46.4996,15.6471,Slovenia,SI,Hoče-Slivnica,admin,2109,2109
Preserje pri Radomljah,46.1662,14.5926,Slovenia,SI,Mengeš,,2070,2070
Pivka,45.6833,14.2000,Slovenia,SI,Pivka,admin,2059,2059
Mozirje,46.3381,14.9572,Slovenia,SI,Mozirje,admin,2052,2052
Vipava,45.8476,13.9624,Slovenia,SI,Vipava,admin,2049,2049
Semič,45.6546,15.1783,Slovenia,SI,Semič,admin,2017,2017
Limbuš,46.5581,15.5787,Slovenia,SI,Maribor,,2002,2002
Radeče,46.0658,15.1728,Slovenia,SI,Radeče,admin,1993,1993
Lovrenc na Pohorju,46.5381,15.3844,Slovenia,SI,Lovrenc na Pohorju,admin,1992,1992
Ormož,46.4086,16.1475,Slovenia,SI,Ormož,admin,1962,1962
Notranje Gorice,45.9868,14.3976,Slovenia,SI,Brezovica,,1950,1950
Straža,45.7864,15.0745,Slovenia,SI,Straža,admin,1945,1945
Mislinja,46.4431,15.1931,Slovenia,SI,Mislinja,admin,1862,1862
Spodnja Idrija,46.0314,14.0256,Slovenia,SI,Idrija,,1860,1860
Hrušica,46.4459,14.0130,Slovenia,SI,Jesenice,,1843,1843
Zgornji Duplek,46.5092,15.7327,Slovenia,SI,Duplek,,1824,1824
Kromberk,45.9592,13.6686,Slovenia,SI,Nova Gorica,,1820,1820
Naklo,46.2749,14.3176,Slovenia,SI,Naklo,admin,1776,1776
Bohinjska Bistrica,46.2742,13.9524,Slovenia,SI,Bohinj,admin,1767,1767
Šmarje,46.2281,15.5182,Slovenia,SI,Šmarje pri Jelšah,admin,1755,1755
Černelavci,46.6708,16.1369,Slovenia,SI,Murska Sobota,,1741,1741
Divača,45.6820,13.9702,Slovenia,SI,Divača,admin,1734,1734
Kamnica,46.5746,15.6135,Slovenia,SI,Maribor,,1725,1725
Radomlje,46.1780,14.6112,Slovenia,SI,Domžale,,1715,1715
Cerklje na Gorenjskem,46.2488,14.4855,Slovenia,SI,Cerklje na Gorenjskem,admin,1710,1710
Spodnji Duplek,46.5053,15.7467,Slovenia,SI,Duplek,admin,1689,1689
Britof,46.2579,14.3835,Slovenia,SI,Kranj,,1657,1657
Dob,46.1542,14.6280,Slovenia,SI,Domžale,,1638,1638
Odranci,46.5856,16.2753,Slovenia,SI,Odranci,admin,1632,1632
Vodice,46.1833,14.4833,Slovenia,SI,Vodice,admin,1631,1631
Prebold,46.2369,15.0919,Slovenia,SI,Prebold,admin,1605,1605
Kokrica,46.2638,14.3560,Slovenia,SI,Kranj,,1595,1595
Zgornja Kungota,46.6388,15.6141,Slovenia,SI,Kungota,admin,1594,1594
Bovec,46.3378,13.5522,Slovenia,SI,Bovec,admin,1586,1586
