city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Bratislava,48.1439,17.1097,Slovakia,SK,Bratislava,primary,475503,475503
Košice,48.7167,21.2500,Slovakia,SK,Košice,admin,238593,229040
Petržalka,48.1333,17.1167,Slovakia,SK,Bratislava,,114000,114000
Žilina,49.2228,18.7400,Slovakia,SK,Žilina,admin,108000,82704
Prešov,49.0017,21.2394,Slovakia,SK,Prešov,admin,88680,84824
Nitra,48.3069,18.0864,Slovakia,SK,Nitra,admin,78489,78489
Banská Bystrica,48.7353,19.1453,Slovakia,SK,Banská Bystrica,admin,78327,76018
Trnava,48.3775,17.5883,Slovakia,SK,Trnava,admin,65382,63194
Trenčín,48.8919,18.0367,Slovakia,SK,Trenčin,admin,55593,55593
Martin,49.0650,18.9219,Slovakia,SK,Žilina,minor,54978,52520
Poprad,49.0594,20.2975,Slovakia,SK,Prešov,minor,52037,49855
Prievidza,48.7711,18.6217,Slovakia,SK,Nitra,minor,46059,46059
Zvolen,48.5706,19.1175,Slovakia,SK,Banská Bystrica,minor,42476,42476
Považská Bystrica,49.1139,18.4417,Slovakia,SK,Nitra,minor,39837,38641
Michalovce,48.7553,21.9133,Slovakia,SK,Košice,minor,39151,36704
Nové Zámky,47.9856,18.1578,Slovakia,SK,Nitra,minor,38172,37791
Spišská Nová Ves,48.9439,20.5675,Slovakia,SK,Košice,minor,37326,37326
Komárno,47.7633,18.1283,Slovakia,SK,Nitra,,33927,32967
Humenné,48.9358,21.9067,Slovakia,SK,Prešov,minor,33441,31359
Liptovský Mikuláš,49.0842,19.6022,Slovakia,SK,Žilina,minor,32593,30522
Bardejov,49.2933,21.2761,Slovakia,SK,Prešov,minor,32587,30840
Levice,48.2164,18.6081,Slovakia,SK,Nitra,minor,31974,31974
Lučenec,48.3286,19.6692,Slovakia,SK,Banská Bystrica,minor,27991,25902
Piešťany,48.5842,17.8336,Slovakia,SK,Trnava,minor,27681,27301
Ružomberok,49.0786,19.3083,Slovakia,SK,Žilina,minor,26854,26854
Topoľčany,48.5542,18.1769,Slovakia,SK,Nitra,minor,25492,25492
Pezinok,48.2919,17.2661,Slovakia,SK,Bratislava,minor,24900,24900
Trebišov,48.6278,21.7172,Slovakia,SK,Košice,minor,24587,24587
Čadca,49.4358,18.7922,Slovakia,SK,Žilina,minor,24315,23328
Dubnica nad Váhom,48.9606,18.1739,Slovakia,SK,Nitra,,24068,22595
Rimavská Sobota,48.3811,20.0144,Slovakia,SK,Banská Bystrica,minor,24010,21548
Dunajská Streda,47.9944,17.6194,Slovakia,SK,Trnava,minor,23044,23044
Partizánske,48.6258,18.3728,Slovakia,SK,Nitra,minor,22653,21439
Vranov nad Topľou,48.8808,21.6733,Slovakia,SK,Prešov,minor,22589,21248
Šaľa,48.1503,17.8775,Slovakia,SK,Nitra,minor,22219,22219
Hlohovec,48.4333,17.8033,Slovakia,SK,Trnava,minor,21715,20556
Brezno,48.8039,19.6436,Slovakia,SK,Banská Bystrica,minor,21082,20061
Senica,48.6806,17.3667,Slovakia,SK,Trnava,minor,20342,19875
Senec,48.2189,17.3997,Slovakia,SK,Bratislava,minor,20116,20116
Nové Mesto nad Váhom,48.7547,17.8308,Slovakia,SK,Nitra,minor,20066,19644
Snina,48.9881,22.1567,Slovakia,SK,Prešov,minor,19855,18712
Rožňava,48.6583,20.5308,Slovakia,SK,Košice,minor,19190,19190
Žiar nad Hronom,48.5842,18.8608,Slovakia,SK,Banská Bystrica,minor,19188,19188
Malacky,48.4358,17.0178,Slovakia,SK,Bratislava,minor,18935,18935
Dolný Kubín,49.2106,19.2975,Slovakia,SK,Žilina,minor,18905,18095
Bánovce nad Bebravou,48.7186,18.2581,Slovakia,SK,Nitra,minor,18350,17311
Púchov,49.1200,18.3306,Slovakia,SK,Nitra,minor,17810,17810
Handlová,48.7272,18.7619,Slovakia,SK,Nitra,,17119,17119
Kežmarok,49.1336,20.4264,Slovakia,SK,Prešov,minor,16481,15552
Stará Ľubovňa,49.3094,20.6789,Slovakia,SK,Prešov,minor,16348,16348
Sered’,48.2886,17.7314,Slovakia,SK,Trnava,,15737,15737
Skalica,48.8422,17.2267,Slovakia,SK,Trnava,minor,15573,15573
Kysucké Nové Mesto,49.2983,18.7867,Slovakia,SK,Žilina,minor,15132,14660
Galanta,48.1889,17.7264,Slovakia,SK,Trnava,minor,15052,15052
Levoča,49.0253,20.5881,Slovakia,SK,Prešov,minor,14803,14256
Detva,48.5514,19.4183,Slovakia,SK,Banská Bystrica,minor,14751,13955
Šamorín,48.0267,17.3117,Slovakia,SK,Trnava,,13628,13628
Sabinov,49.1061,21.0856,Slovakia,SK,Prešov,minor,12700,12700
Stupava,48.2747,17.0317,Slovakia,SK,Bratislava,,12595,12595
Revúca,48.6831,20.1133,Slovakia,SK,Banská Bystrica,minor,12249,12249
Veľký Krtíš,48.2150,19.3381,Slovakia,SK,Banská Bystrica,minor,12115,12115
Myjava,48.7492,17.5644,Slovakia,SK,Nitra,minor,11708,10985
Zlaté Moravce,48.3783,18.3967,Slovakia,SK,Nitra,minor,11583,11583
Bytča,49.2242,18.5642,Slovakia,SK,Žilina,minor,11414,11414
Moldava nad Bodvou,48.6064,21.0003,Slovakia,SK,Košice,,11260,10305
Holíč,48.8122,17.1606,Slovakia,SK,Trnava,,11214,11214
Nová Dubnica,48.9331,18.1439,Slovakia,SK,Nitra,,11134,10884
Svidník,49.3056,21.5678,Slovakia,SK,Prešov,minor,11096,10168
Fiľakovo,48.2683,19.8247,Slovakia,SK,Banská Bystrica,,10654,9949
Stropkov,49.2050,21.6514,Slovakia,SK,Prešov,minor,10654,10067
Štúrovo,47.7992,18.7181,Slovakia,SK,Nitra,,10524,9777
Banská Štiavnica,48.4581,18.8964,Slovakia,SK,Banská Bystrica,minor,10097,9628
Šurany,48.0872,18.1861,Slovakia,SK,Nitra,,9878,9562
Modra,48.3317,17.3089,Slovakia,SK,Bratislava,,9346,9346
Tvrdošín,49.3343,19.5548,Slovakia,SK,Žilina,minor,9195,9195
Veľké Kapušany,48.5503,22.0847,Slovakia,SK,Košice,,9004,8799
Stará Turá,48.7767,17.6961,Slovakia,SK,Nitra,,8932,8724
Krompachy,48.9139,20.8739,Slovakia,SK,Košice,,8828,8828
Veľký Meder,47.8564,17.7706,Slovakia,SK,Trnava,,8828,8446
Bernolákovo,48.1992,17.3003,Slovakia,SK,Bratislava,,8801,8801
Vráble,48.2408,18.3086,Slovakia,SK,Nitra,,8656,8593
Sečovce,48.7025,21.6567,Slovakia,SK,Košice,,8441,8441
Námestovo,49.4028,19.4814,Slovakia,SK,Žilina,minor,7876,7722
Vrútky,49.1117,18.9183,Slovakia,SK,Žilina,,7760,7511
Svit,49.0658,20.1872,Slovakia,SK,Prešov,,7743,7743
Turzovka,49.4028,18.6219,Slovakia,SK,Žilina,,7559,7233
Liptovský Hrádok,49.0375,19.7258,Slovakia,SK,Žilina,,7528,7154
Kráľovský Chlmec,48.4231,21.9728,Slovakia,SK,Košice,,7505,7505
Hnúšťa,48.5733,19.9539,Slovakia,SK,Banská Bystrica,,7490,7490
Hurbanovo,47.8756,18.1933,Slovakia,SK,Nitra,,7469,7467
Nová Baňa,48.4244,18.6392,Slovakia,SK,Banská Bystrica,,7364,7364
Šahy,48.0653,18.9514,Slovakia,SK,Nitra,,7321,7267
Tornaľa,48.4222,20.3303,Slovakia,SK,Banská Bystrica,,7252,7252
Ivanka pri Dunaji,48.1833,17.2667,Slovakia,SK,Bratislava,,6971,6971
Želiezovce,48.0486,18.6603,Slovakia,SK,Nitra,,6859,6756
Chorvátský Grob,48.2275,17.2908,Slovakia,SK,Bratislava,,6830,6830
Krásno nad Kysucou,49.3917,18.8333,Slovakia,SK,Žilina,,6783,6676
Spišská Belá,49.1858,20.4567,Slovakia,SK,Prešov,,6657,6646
Jarovnice,49.0500,21.0667,Slovakia,SK,Prešov,,6643,6643
Medzilaborce,49.2708,21.9039,Slovakia,SK,Prešov,minor,6612,5965
Lipany,49.1528,20.9619,Slovakia,SK,Prešov,,6484,6484
Veľký Šariš,49.0383,21.1917,Slovakia,SK,Prešov,,6471,6471
Turčianske Teplice,48.8589,18.8636,Slovakia,SK,Žilina,minor,6390,6390
Nemšová,48.9606,18.1164,Slovakia,SK,Nitra,,6368,6368
Žarnovica,48.4800,18.7181,Slovakia,SK,Banská Bystrica,minor,6284,6284
Sobrance,48.7436,22.1808,Slovakia,SK,Košice,minor,6170,6170
Svätý Jur,48.2519,17.2156,Slovakia,SK,Bratislava,,5941,5941
Beluša,49.0653,18.3278,Slovakia,SK,Nitra,,5925,5925
Vrbové,48.6200,17.7236,Slovakia,SK,Trnava,,5907,5739
Čaňa,48.6125,21.3244,Slovakia,SK,Košice,,5882,5864
Rajec,49.0869,18.6328,Slovakia,SK,Žilina,,5816,5816
Šaca,48.6339,21.1697,Slovakia,SK,Košice,,5722,5722
Poltár,48.4306,19.7975,Slovakia,SK,Banská Bystrica,minor,5693,5333
Raková,49.4430,18.7345,Slovakia,SK,Žilina,,5630,5630
Ilava,48.9936,18.2344,Slovakia,SK,Nitra,minor,5572,5572
Zákamenné,49.3897,19.3025,Slovakia,SK,Žilina,,5542,5542
Sládkovičovo,48.2053,17.6442,Slovakia,SK,Trnava,,5415,5415
Lendak,49.2442,20.3556,Slovakia,SK,Prešov,,5409,5409
Kremnica,48.6997,18.9158,Slovakia,SK,Banská Bystrica,,5358,5358
Veľké Čaníkovce,48.3017,17.3456,Slovakia,SK,Bratislava,,5260,5260
Skalité,49.4972,18.8983,Slovakia,SK,Žilina,,5248,5247
Slovenský Grob,48.2558,17.2747,Slovakia,SK,Bratislava,,5202,5202
Rabča,49.4833,19.4833,Slovakia,SK,Žilina,,5139,5139
Rovinka,48.0978,17.2347,Slovakia,SK,Bratislava,,5136,5136
Veľká Lomnica,49.1114,20.3606,Slovakia,SK,Prešov,,5120,5120
Sliač,48.6119,19.1436,Slovakia,SK,Banská Bystrica,,4980,4980
Bojnice,48.7792,18.5833,Slovakia,SK,Nitra,,4934,4934
Brezová pod Bradlom,48.6639,17.5397,Slovakia,SK,Nitra,,4871,4848
Sučany,49.1000,18.9917,Slovakia,SK,Žilina,,4711,4711
Veľké Úľany,48.1642,17.5746,Slovakia,SK,Trnava,,4665,4665
Pavlovce nad Uhom,48.6125,22.0667,Slovakia,SK,Košice,,4620,4620
Rudňany,48.8833,20.6833,Slovakia,SK,Košice,,4514,4514
Valaliky,48.6425,21.2917,Slovakia,SK,Košice,,4475,4475
Markušovce,48.9156,20.6261,Slovakia,SK,Košice,,4469,4469
Čierne,49.4922,18.8225,Slovakia,SK,Žilina,,4419,4419
Veľké Zálužie,48.3094,17.9389,Slovakia,SK,Nitra,,4350,4350
Strážske,48.8672,21.8244,Slovakia,SK,Košice,,4334,4277
Komjatice,48.1583,18.1667,Slovakia,SK,Nitra,,4315,4223
Cabaj-Čápor,48.2500,18.0333,Slovakia,SK,Nitra,,4295,4295
Medzev,48.6997,20.8933,Slovakia,SK,Košice,,4261,4107
Cífer,48.3156,17.4950,Slovakia,SK,Trnava,,4260,4260
Šoporňa,48.2531,17.8144,Slovakia,SK,Trnava,,4228,4081
Teplička nad Váhom,49.2239,18.7992,Slovakia,SK,Žilina,,4217,4217
Nováky,48.7133,18.5394,Slovakia,SK,Nitra,,4215,4215
Trenčianska Teplá,48.9333,18.1167,Slovakia,SK,Nitra,,4211,4211
Trenčianske Teplice,48.9083,18.1686,Slovakia,SK,Nitra,,4177,4177
Leopoldov,48.4442,17.7675,Slovakia,SK,Trnava,,4161,3973
Giraltovce,49.1117,21.5183,Slovakia,SK,Prešov,,4153,4001
Bošany,48.5806,18.2472,Slovakia,SK,Nitra,,4080,4063
Kanianka,48.8153,18.5864,Slovakia,SK,Nitra,,4050,4050
Jelka,48.1431,17.5028,Slovakia,SK,Trnava,,4042,4042
Nižná,49.3103,19.5300,Slovakia,SK,Žilina,,4036,4036
Spišské Podhradie,49.0000,20.7517,Slovakia,SK,Prešov,,4026,3791
Lednické Rovne,49.0689,18.2878,Slovakia,SK,Nitra,,4011,4011
Kúty,48.6589,17.0194,Slovakia,SK,Trnava,,4006,4006
Miloslavov,48.1000,17.3000,Slovakia,SK,Bratislava,,4000,4000
