cleaned_city_1,cleaned_city_2,original_city_1,original_city_2
Andenes,Moscow,Andenes,Moscow
Andenes,Prague,Andenes,Prague
Andenes,Stavropol,Andenes,Stavropol
Andenes,Craiova,Andenes,Craiova
Andenes,Bristol,Andenes,Bristol
Andenes,El Matorral,Andenes,El Matorral
Andenes,Firenze,Andenes,Firenze
Andenes,Rhodes,Andenes,Rhodes
Andenes,Nyköping,Andenes,Nyköping
Andenes,Rotterdam,Andenes,Rotterdam
Andenes,Alghero,Andenes,Alghero
Andenes,Dresden,Andenes,Dresden
Andenes,Jasionka,Andenes,Jasionka
Andenes,Kazan,Andenes,Kazan
Andenes,Goleniow,Andenes,Goleniow
Andenes,"Sta Cruz de la Palma, La Palma Island",Andenes,"Sta Cruz de la Palma, La Palma Island"
Andenes,Samara,Andenes,Samara
Andenes,Radome,Andenes,Radom
Andenes,Munich,Andenes,Munich
Andenes,Zagreb,Andenes,Zagreb
Andenes,Castellón de la Plana,Andenes,Castellón de la Plana
Andenes,Geneva,Andenes,Geneva
Andenes,Tallinn,Andenes,Tallinn
Andenes,Brindisi,Andenes,Brindisi
Andenes,Aalborg,Andenes,Aalborg
Andenes,Bugulma,Andenes,Bugulma
Andenes,Ajaccio/Napoléon Bonaparte,Andenes,Ajaccio/Napoléon Bonaparte
Andenes,Mineralnyye Vody,Andenes,Mineralnyye Vody
Andenes,Gelendzhik,Andenes,Gelendzhik
Andenes,Eindhoven,Andenes,Eindhoven
Andenes,Pula,Andenes,Pula
Andenes,Tampere / Pirkkala,Andenes,Tampere / Pirkkala
Andenes,Feldkirchen near Graz,Andenes,Feldkirchen bei Graz
Andenes,Helsinki,Andenes,Helsinki
Andenes,Lublin,Andenes,Lublin
Andenes,Karmøy,Andenes,Karmøy
Andenes,Bologna,Andenes,Bologna
Andenes,Bydgoszcz,Andenes,Bydgoszcz
Andenes,Billund,Andenes,Billund
Andenes,Otopeni,Andenes,Otopeni
Andenes,Stavanger,Andenes,Stavanger
Andenes,Tromsø,Andenes,Tromsø
Andenes,Segrate ,Andenes,Segrate (MI)
Andenes,Varna,Andenes,Varna
Andenes,Kaluga,Andenes,Kaluga
Andenes,Granada,Andenes,Granada
Andenes,Bergen,Andenes,Bergen
Andenes,Praia da Vitória,Andenes,Praia da Vitória
Andenes,Košice,Andenes,Košice
Andenes,Vienna,Andenes,Vienna
Andenes,Lamezia Terme ,Andenes,Lamezia Terme (CZ)
Andenes,Barcelona,Andenes,Barcelona
Andenes,Dubrave Gornje,Andenes,Dubrave Gornje
Andenes,Memmingen,Andenes,Memmingen
Andenes,Chelyabinsk,Andenes,Chelyabinsk
Andenes,Sabetta,Andenes,Sabetta
Andenes,Lyon,Andenes,Lyon
Andenes,Alexandroupolis,Andenes,Alexandroupolis
Andenes,Inverness,Andenes,Inverness
Andenes,Valencia,Andenes,Valencia
Andenes,Bari,Andenes,Bari
Andenes,Sofia,Andenes,Sofia
Andenes,Aberdeen,Andenes,Aberdeen
Andenes,Birmingham,Andenes,Birmingham
Andenes,Toulouse/Blagnac,Andenes,Toulouse/Blagnac
Andenes,Jerez de la Frontera,Andenes,Jerez de la Frontera
Andenes,Corvera,Andenes,Corvera
Andenes,Petrozavodsk,Andenes,Petrozavodsk
Andenes,Arkhangelsk,Andenes,Archangelsk
Andenes,Rome,Andenes,Rome
Andenes,Kos Island,Andenes,Kos Island
Andenes,Souda,Andenes,Souda
Andenes,Kaunas,Andenes,Kaunas
Andenes,Gibraltar,Andenes,Gibraltar
Andenes,Leeds,Andenes,Leeds
Andenes,Ranón,Andenes,Ranón
Andenes,Podgorica,Andenes,Podgorica
Andenes,Castletown,Andenes,Castletown
Andenes,Grozny,Andenes,Grozny
Andenes,Pskov,Andenes,Pskov
Andenes,Poznań,Andenes,Poznań
Andenes,Vila Baleira,Andenes,Vila Baleira
Andenes,Cluj-Napoca,Andenes,Cluj-Napoca
Andenes,Venezia ,Andenes,Venezia (VE)
Andenes,Tillé,Andenes,Tillé
Andenes,Tarbes/Lourdes/Pyrénées,Andenes,Tarbes/Lourdes/Pyrénées
Andenes,Krasnyi Kurgan,Andenes,Krasnyi Kurgan
Andenes,Svolvær,Andenes,Svolvær
Andenes,Edinburgh,Andenes,Edinburgh
Andenes,Salzburg,Andenes,Salzburg
Andenes,Béziers/Vias,Andenes,Béziers/Vias
Andenes,Crotone,Andenes,Crotone
Andenes,Cagliari,Andenes,Cagliari
Andenes,Cologne ,Andenes,Köln (Cologne)
Andenes,Kaliningrad,Andenes,Kaliningrad
Andenes,Cascais,Andenes,Cascais
Andenes,Zaragoza,Andenes,Zaragoza
Andenes,Niš,Andenes,Niš
Andenes,Saint Helier,Andenes,Saint Helier
Andenes,Southampton,Andenes,Southampton
Andenes,Ulyanovsk,Andenes,Ulyanovsk
Andenes,Balice,Andenes,Balice
Andenes,Treviso ,Andenes,Treviso (TV)
Andenes,Olsztyn,Andenes,Olsztyn
Andenes,Zakynthos,Andenes,Zakynthos
Andenes,Faro,Andenes,Faro
Andenes,Paris,Andenes,Paris
Andenes,Torp,Andenes,Torp
Andenes,Málaga,Andenes,Málaga
Andenes,Tivat,Andenes,Tivat
Andenes,Ferno ,Andenes,Ferno (VA)
Andenes,Saint Peter Port,Andenes,Saint Peter Port
Andenes,Palermo,Andenes,Palermo
Andenes,Volgograd,Andenes,Volgograd
Andenes,Cardiff,Andenes,Cardiff
Andenes,Reggio Calabria,Andenes,Reggio Calabria
Andenes,Evenes,Andenes,Evenes
Andenes,Newquay,Andenes,Newquay
Andenes,Greven,Andenes,Greven
Andenes,Nantes,Andenes,Nantes
Andenes,Schkeuditz,Andenes,Schkeuditz
Andenes,Astrakhan,Andenes,Astrakhan
Andenes,Zaventem,Andenes,Zaventem
Andenes,Ronchi dei Legionari ,Andenes,Ronchi dei Legionari (GO)
