tra_infr,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 
AIRP,AL	1 d	1 d	1 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,AT	6 d	6 d	6 d	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 	6 
AIRP,BA	3 d	3 d	4 d	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,BE	6 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
AIRP,BG	4 d	4 d	4 d	4 	4 	4 	4 	4 	4 	4 	4 	4 	5 	5 	5 	4 	4 	4 	4 	4 	4 
AIRP,CH	6 d	4 d	6 d	6 	6 	6 	6 	6 	7 	7 	7 	7 	7 	7 	7 	7 	7 	6 	6 	6 	6 
AIRP,CY	2 d	2 d	2 d	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP,CZ	4 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	4 	4 	4 	4 	4 	4 	4 	4 
AIRP,DE	33 d	36 d	41 d	40 	41 	40 	42 	38 	39 	38 	41 	33 	34 	34 	33 	34 	33 	35 	35 	35 	35 
AIRP,DK	9 d	9 d	10 d	10 	8 	8 	8 	8 	8 	8 	9 	8 	8 	8 	8 	8 	8 	8 	9 	8 	9 
AIRP,EE	2 d	3 d	3 d	2 	2 	2 	2 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,EL	32 d	27 d	35 d	33 	33 	34 	33 	33 	33 	32 	32 	32 	33 	34 	31 	36 	36 	27 	30 	: 	: 
AIRP,ES	39 d	39 d	40 d	37 	38 	38 	37 	39 	39 	41 	41 	42 	41 	40 	40 	40 	39 	39 	38 	38 	38 
AIRP,FI	13 d	14 d	18 d	18 	18 	17 	18 	19 	19 	19 	20 	20 	20 	21 	21 	21 	21 	22 	22 	21 	21 
AIRP,FR	52 d	56 d	57 d	60 	62 	62 	62 	62 	62 	64 	62 	66 	63 	63 	61 	62 	64 	58 	65 	61 	61 
AIRP,HR	8 d	8 d	8 d	8 	7 	7 	7 	7 	6 	6 	7 	7 	6 	6 	6 	7 	8 	: 	: 	: 	: 
AIRP,HU	2 d	2 d	3 d	3 	3 	4 	4 	4 	3 	3 	3 	3 	3 	3 	3 	3 	3 	1 	1 	1 	1 
AIRP,IE	5 d	6 d	7 d	7 	7 	7 	8 	8 	9 	9 	11 	11 	11 	9 	10 	10 	11 	11 	11 	11 	11 
AIRP,IS	5 d	5 d	5 d	6 	7 	1 	1 	1 	6 	6 	6 	6 	7 	7 	7 	7 	7 	7 	7 	: 	: 
AIRP,IT	35 d	35 d	36 d	36 	35 	37 	37 	38 	37 	37 	38 	38 	38 	39 	38 	37 	37 	37 	36 	25 	22 
AIRP,LT	3 d	3 d	3 d	3 	3 	3 	3 	3 	4 	4 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 	3 
AIRP,LU	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,LV	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	2 	2 	2 	2 	2 	2 	2 	2 
AIRP,ME	2 d	2 d	2 d	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,MK	2 d	2 d	2 d	2 	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
AIRP,MT	1 d	1 d	1 d	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 	1 
AIRP,NL	5 d	5 d	5 d	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 	5 
AIRP,NO	37 d	39 d	42 d	42 	42 	47 	47 	49 	50 	49 	50 	49 	48 	48 	47 	46 	42 	43 	45 	44 	37 
AIRP,PL	14 d	14 d	14 d	14 	14 	13 	12 	12 	10 	10 	10 	10 	10 	10 	10 	9 	10 	9 	9 	8 	8 
AIRP,PT	13 d	13 d	13 d	13 	13 	13 	13 	13 	13 	10 	13 	10 	10 	10 	10 	10 	10 	10 	9 	9 	9 
AIRP,RO	13 d	12 d	14 d	12 	11 	12 	11 	11 	12 	9 	9 	9 	9 	9 	9 	9 	9 	9 	8 	8 	8 
AIRP,RS	2 d	2 d	2 d	2 	2 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
