city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Madrid,40.4169,-3.7033,Spain,ES,Madrid,primary,6211000,3266126
Barcelona,41.3825,2.1769,Spain,ES,Catalonia,admin,4800000,1620343
Sevilla,37.2400,-5.9900,Spain,ES,Andalusia,admin,1100000,681998
Málaga,36.7194,-4.4200,Spain,ES,Andalusia,minor,967250,579076
Valencia,39.4700,-0.3764,Spain,ES,Valencia,admin,792492,792492
Bilbao,43.2569,-2.9236,Spain,ES,Basque Country,minor,775000,344127
Zaragoza,41.6500,-0.8833,Spain,ES,Aragon,admin,675301,673010
Murcia,37.9861,-1.1303,Spain,ES,Murcia,admin,672773,462979
Palma,39.5667,2.6500,Spain,ES,Balearic Islands,admin,550000,415940
Las Palmas,28.1272,-15.4314,Spain,ES,Canary Islands,admin,378797,378797
Alicante,38.3453,-0.4831,Spain,ES,Valencia,minor,338577,338577
Córdoba,37.8845,-4.7796,Spain,ES,Andalusia,minor,322071,319515
Valladolid,41.6528,-4.7236,Spain,ES,Castille-Leon,admin,297775,295639
Vigo,42.2314,-8.7124,Spain,ES,Galicia,,293837,292374
Gijón,43.5333,-5.7000,Spain,ES,Asturias,,268896,267706
Vitoria-Gasteiz,42.8500,-2.6833,Spain,ES,Basque Country,admin,253672,253672
A Coruña,43.3667,-8.3833,Spain,ES,Galicia,minor,245468,244700
Elche,38.2669,-0.6983,Spain,ES,Valencia,,235580,235580
Granada,37.1781,-3.6008,Spain,ES,Andalusia,minor,231775,228682
Tarrasa,41.5611,2.0081,Spain,ES,Catalonia,,224114,224114
Badalona,41.4333,2.2333,Spain,ES,Catalonia,,223506,223506
Petrel,38.4789,-0.7967,Spain,ES,Valencia,,218843,33978
Oviedo,43.3600,-5.8450,Spain,ES,Asturias,admin,217552,215167
Cartagena,37.6000,-0.9819,Spain,ES,Murcia,,216961,216961
Sabadell,41.5483,2.1075,Spain,ES,Catalonia,,216204,215760
Jerez de la Frontera,36.6817,-6.1378,Spain,ES,Andalusia,,212801,212730
Móstoles,40.3333,-3.8667,Spain,ES,Madrid,,209639,208761
Santa Cruz,28.4667,-16.2500,Spain,ES,Canary Islands,admin,208688,208688
Pamplona,42.8167,-1.6500,Spain,ES,Navarre,admin,203418,203418
Almería,36.8403,-2.4681,Spain,ES,Andalusia,minor,200753,199237
Alcalá de Henares,40.4818,-3.3643,Spain,ES,Madrid,,196888,196888
Fuenlabrada,40.2833,-3.8000,Spain,ES,Madrid,,192233,189891
Donostia,43.3200,-1.9800,Spain,ES,Basque Country,minor,188102,187849
Leganés,40.3281,-3.7644,Spain,ES,Madrid,,187762,186660
Getafe,40.3047,-3.7311,Spain,ES,Madrid,,183219,183219
Burgos,42.3408,-3.6997,Spain,ES,Castille-Leon,minor,174051,173483
Albacete,38.9956,-1.8558,Spain,ES,Castille-La Mancha,minor,172722,172357
Castellón de la Plana,39.9831,-0.0331,Spain,ES,Valencia,minor,172589,171857
Santander,43.4628,-3.8050,Spain,ES,Cantabria,admin,172221,171693
Alcorcón,40.3500,-3.8333,Spain,ES,Madrid,,170817,170296
