,route,time
0,"{'AAL', 'AMS'}",85.0
1,"{'AAQ', 'LED'}",170.0
2,"{'AMS', 'ABZ'}",85.0
3,"{'ABZ', 'LGW'}",95.0
4,"{'ACE', 'AGP'}",130.0
5,"{'ACE', 'BCN'}",185.0
6,"{'ACE', 'BFS'}",265.0
7,"{'ACE', 'BGY'}",242.5
8,"{'ACE', 'BHX'}",255.0
9,"{'ACE', 'BOD'}",195.0
10,"{'ACE', 'BRU'}",250.0
11,"{'ACE', 'CDG'}",240.0
12,"{'ACE', 'CRL'}",250.0
13,"{'ACE', 'EDI'}",280.0
14,"{'ACE', 'HAM'}",285.0
15,"{'ACE', 'LGW'}",247.5
16,"{'ACE', 'LPL'}",250.0
17,"{'ACE', 'LTN'}",257.5
18,"{'ACE', 'MAD'}",155.0
19,"{'ACE', 'OSL'}",325.0
20,"{'ACI', 'GCI'}",20.0
21,"{'ACI', 'SOU'}",40.0
22,"{'AER', 'CEE'}",210.0
23,"{'AER', 'DME'}",215.0
24,"{'AER', 'KJA'}",325.0
25,"{'AER', 'KZN'}",205.0
26,"{'AER', 'LED'}",240.0
27,"{'AER', 'PEE'}",203.75
28,"{'AER', 'PKV'}",245.0
29,"{'AER', 'SVO'}",225.83333333333334
30,"{'AER', 'VKO'}",165.0
31,"{'AER', 'ZIA'}",225.0
32,"{'AES', 'ALC'}",230.0
33,"{'AES', 'BGO'}",50.0
34,"{'BCN', 'AGP'}",97.5
35,"{'BOD', 'AGP'}",110.0
36,"{'GOT', 'AGP'}",230.0
37,"{'HAM', 'AGP'}",205.0
38,"{'LGW', 'AGP'}",165.0
39,"{'MAD', 'AGP'}",80.0
40,"{'AHO', 'BGY'}",77.5
41,"{'AHO', 'FCO'}",65.0
42,"{'AHO', 'LIN'}",70.0
43,"{'AJA', 'MRS'}",50.0
44,"{'AJA', 'NCE'}",50.0
45,"{'AJA', 'ORY'}",100.0
46,"{'ALC', 'BCN'}",70.0
47,"{'BGY', 'ALC'}",130.0
48,"{'ALC', 'BHX'}",160.0
49,"{'BRS', 'ALC'}",145.0
50,"{'ALC', 'BRU'}",150.0
51,"{'CWL', 'ALC'}",140.0
52,"{'ALC', 'GDN'}",217.5
53,"{'ALC', 'GOT'}",215.0
54,"{'ALC', 'HAM'}",175.0
55,"{'ALC', 'LGW'}",155.0
56,"{'LPL', 'ALC'}",160.0
57,"{'ALC', 'MAD'}",70.0
58,"{'ALC', 'MST'}",155.0
59,"{'ALC', 'OPO'}",95.0
60,"{'ALC', 'OTP'}",220.0
61,"{'ALC', 'WMI'}",205.0
62,"{'ABZ', 'AMS'}",95.0
63,"{'AMS', 'AGP'}",187.5
