route,time,departure airport,arrival airport,departure city,arrival city
"{'AAL', 'AMS'}",85.0,AAL,AMS,Aalborg,Amsterdam
"{'AAQ', 'LED'}",170.0,AAQ,LED,Novorossiysk,Saint Petersburg
"{'AMS', 'ABZ'}",85.0,AMS,ABZ,Amsterdam,Aberdeen
"{'ABZ', 'LGW'}",95.0,ABZ,LGW,Aberdeen,London
"{'ACE', 'AGP'}",130.0,ACE,AGP,Arrecife,Málaga
"{'ACE', 'BCN'}",185.0,ACE,BCN,Arrecife,Barcelona
"{'ACE', 'BFS'}",265.0,ACE,BFS,Arrecife,Belfast
"{'ACE', 'BGY'}",242.5,ACE,BGY,Arrecife,Monza
"{'ACE', 'BHX'}",255.0,ACE,BHX,Arrecife,Birmingham
"{'ACE', 'BOD'}",195.0,ACE,BOD,Arrecife,Bordeaux
"{'ACE', 'BRU'}",250.0,ACE,BRU,Arrecife,Brussels
"{'ACE', 'CDG'}",240.0,ACE,CDG,Arrecife,Paris
"{'ACE', 'CRL'}",250.0,ACE,CRL,Arrecife,Brussels
"{'ACE', 'EDI'}",280.0,ACE,EDI,Arrecife,Dunfermline
"{'ACE', 'HAM'}",285.0,ACE,HAM,Arrecife,Hamburg
"{'ACE', 'LGW'}",247.5,ACE,LGW,Arrecife,London
"{'ACE', 'LPL'}",250.0,ACE,LPL,Arrecife,Liverpool
"{'ACE', 'LTN'}",257.5,ACE,LTN,Arrecife,London
"{'ACE', 'MAD'}",155.0,ACE,MAD,Arrecife,Madrid
"{'ACE', 'OSL'}",325.0,ACE,OSL,Arrecife,Oslo
"{'AER', 'CEE'}",210.0,AER,CEE,Sochi,Cherepovets
"{'AER', 'DME'}",215.0,AER,DME,Sochi,Moscow
"{'AER', 'KJA'}",325.0,AER,KJA,Sochi,Krasnoyarsk
"{'AER', 'KZN'}",205.0,AER,KZN,Sochi,Kazan
"{'AER', 'LED'}",240.0,AER,LED,Sochi,Saint Petersburg
"{'AER', 'PEE'}",203.75,AER,PEE,Sochi,Perm
"{'AER', 'PKV'}",245.0,AER,PKV,Sochi,Pskov
