route,time,departure airport,arrival airport,departure city,arrival city,city1,city2
"{'MSQ', 'LED'}",85.0,MSQ,LED,Minsk,St. Petersburg,Minsk,St. Petersburg
"{'MSQ', 'SVO'}",90.0,MSQ,SVO,Minsk,Moscow,Minsk,Moscow
"{'MSQ', 'VKO'}",85.0,MSQ,VKO,Minsk,Moscow,Minsk,Moscow
"{'MUC', 'AGP'}",180.0,MUC,AGP,Munich,Málaga,Munich,Malaga
"{'ALC', 'MUC'}",155.0,ALC,MUC,Alicante,Munich,Alicante,Munich
"{'ARN', 'MUC'}",135.0,ARN,MUC,Stockholm,Munich,Stockholm,Munich
"{'MUC', 'BCN'}",125.0,MUC,BCN,Munich,Barcelona,Munich,Barcelona
"{'MUC', 'BHX'}",115.0,MUC,BHX,Munich,Birmingham,Munich,Birmingham
"{'MUC', 'BLQ'}",67.5,MUC,BLQ,Munich,Bologna,Munich,Bologna
"{'MUC', 'BRU'}",77.5,MUC,BRU,Munich,Zaventem,Munich,Zaventem
"{'DRS', 'MUC'}",55.0,DRS,MUC,Dresden,Munich,Dresden,Munich
"{'MUC', 'FMO'}",65.0,MUC,FMO,Munich,Greven,Munich,Greven
"{'MUC', 'FUE'}",265.0,MUC,FUE,Munich,El Matorral,Munich,El Matorral
"{'MUC', 'GRZ'}",50.0,MUC,GRZ,Munich,Feldkirchen bei Graz,Munich,Graz
"{'MUC', 'HAM'}",77.5,MUC,HAM,Munich,Hamburg,Munich,Hamburg
"{'MUC', 'LGW'}",110.0,MUC,LGW,Munich,"Gatwick, Surrey",Munich,Gatwick
"{'MUC', 'PRN'}",120.0,MUC,PRN,Munich,Prishtina,Munich,Prishtina
"{'MUC', 'SKG'}",130.0,MUC,SKG,Munich,Thessaloniki,Munich,Thessaloniki
"{'MUC', 'STR'}",50.0,MUC,STR,Munich,Stuttgart,Munich,Stuttgart
"{'MUC', 'VLC'}",145.0,MUC,VLC,Munich,Valencia,Munich,Valencia
"{'MXP', 'ALC'}",127.5,MXP,ALC,Ferno (VA),Alicante,Ferno,Alicante
"{'MXP', 'AMS'}",117.5,MXP,AMS,Ferno (VA),Amsterdam,Ferno,Amsterdam
"{'MXP', 'ATH'}",147.5,MXP,ATH,Ferno (VA),Spata-Artemida,Ferno,Spata
"{'MXP', 'BCM'}",150.0,MXP,BCM,Ferno (VA),Bacău,Ferno,Bacau
"{'MXP', 'BCN'}",97.5,MXP,BCN,Ferno (VA),Barcelona,Ferno,Barcelona
"{'MXP', 'CAG'}",90.0,MXP,CAG,Ferno (VA),Cagliari,Ferno,Cagliari
"{'MXP', 'CDG'}",90.0,MXP,CDG,Ferno (VA),Paris,Ferno,Paris
"{'MXP', 'CTA'}",117.5,MXP,CTA,Ferno (VA),Catania,Ferno,Catania
"{'MXP', 'FUE'}",245.0,MXP,FUE,Ferno (VA),El Matorral,Ferno,El Matorral
"{'MXP', 'HEL'}",185.0,MXP,HEL,Ferno (VA),Helsinki,Ferno,Helsinki
"{'MXP', 'LGW'}",116.25,MXP,LGW,Ferno (VA),"Gatwick, Surrey",Ferno,Gatwick
"{'MXP', 'MAD'}",142.5,MXP,MAD,Ferno (VA),Madrid,Ferno,Madrid
"{'MXP', 'MUC'}",70.0,MXP,MUC,Ferno (VA),Munich,Ferno,Munich
"{'MXP', 'OPO'}",155.0,MXP,OPO,Ferno (VA),Porto,Ferno,Postage
"{'MXP', 'ORY'}",95.0,MXP,ORY,Ferno (VA),Paris,Ferno,Paris
"{'MXP', 'PRN'}",130.0,MXP,PRN,Ferno (VA),Prishtina,Ferno,Prishtina
"{'MXP', 'RZE'}",127.5,MXP,RZE,Ferno (VA),Jasionka,Ferno,Jasionka
"{'MXP', 'SUF'}",110.0,MXP,SUF,Ferno (VA),Lamezia Terme (CZ),Ferno,Lamezia Terme
"{'MXP', 'TGD'}",110.0,MXP,TGD,Ferno (VA),Podgorica,Ferno,Podgorica
"{'MXP', 'VIE'}",90.0,MXP,VIE,Ferno (VA),Vienna,Ferno,Vienna
"{'MXP', 'VNO'}",165.0,MXP,VNO,Ferno (VA),Vilnius,Ferno,Vilnius
"{'MXP', 'ZRH'}",57.5,MXP,ZRH,Ferno (VA),Zurich,Ferno,Zurich
"{'NAP', 'BCN'}",117.5,NAP,BCN,Napoli,Barcelona,Napoli,Barcelona
"{'NAP', 'BGY'}",85.0,NAP,BGY,Napoli,Orio al Serio (BG),Napoli,Orio al Serio
"{'NAP', 'CRL'}",137.5,NAP,CRL,Napoli,Charleroi,Napoli,Charleroi
"{'NAP', 'CTA'}",65.0,NAP,CTA,Napoli,Catania,Napoli,Catania
"{'NAP', 'FCO'}",55.0,NAP,FCO,Napoli,Rome,Napoli,Rome
"{'NAP', 'KRK'}",120.0,NAP,KRK,Napoli,Balice,Napoli,Balice
"{'NAP', 'LIN'}",77.5,NAP,LIN,Napoli,Segrate (MI),Napoli,Segrate
"{'NAP', 'MXP'}",92.5,NAP,MXP,Napoli,Ferno (VA),Napoli,Ferno
"{'NAP', 'OTP'}",117.5,NAP,OTP,Napoli,Otopeni,Napoli,Otopeni
"{'NAP', 'PMO'}",60.0,NAP,PMO,Napoli,Palermo,Napoli,Palermo
"{'NAP', 'SOF'}",100.0,NAP,SOF,Napoli,Sofia,Napoli,Sofia
