route,time,departure airport,arrival airport,city2,city1
"{'ABZ', 'AMS'}",95.0,ABZ,AMS,Amsterdam,Aberdeen
"{'LTN', 'AMS'}",70.0,LTN,AMS,Amsterdam,Luton
"{'LTN', 'BCN'}",125.0,LTN,BCN,Barcelona,Luton
"{'LTN', 'BFS'}",75.0,LTN,BFS,Belfast,Luton
"{'LTN', 'EDI'}",75.0,LTN,EDI,Edinburgh,Luton
"{'LTN', 'GDN'}",140.0,LTN,GDN,Gdansk,Luton
"{'LTN', 'WRO'}",127.5,LTN,WRO,Wroclaw,Luton
"{'BHD', 'AMS'}",92.5,BHD,AMS,Amsterdam,Belfast
"{'BFS', 'BHX'}",65.0,BFS,BHX,Birmingham,Belfast
"{'BHD', 'BHX'}",75.0,BHD,BHX,Birmingham,Belfast
"{'BFS', 'EDI'}",52.5,BFS,EDI,Edinburgh,Belfast
"{'BHD', 'LPL'}",50.0,BHD,LPL,Liverpool,Belfast
"{'BFS', 'ALC'}",177.5,BFS,ALC,Alicante,Belfast
"{'BHD', 'LHR'}",80.0,BHD,LHR,London,Belfast
"{'CPH', 'AMS'}",87.5,CPH,AMS,Amsterdam,Copenhagen
"{'CPH', 'CDG'}",120.0,CPH,CDG,Paris,Copenhagen
"{'CPH', 'HAM'}",60.0,CPH,HAM,Hamburg,Copenhagen
"{'CPH', 'MAD'}",195.0,CPH,MAD,Madrid,Copenhagen
"{'CPH', 'OSL'}",75.0,CPH,OSL,Oslo,Copenhagen
"{'CPH', 'ALC'}",200.0,CPH,ALC,Alicante,Copenhagen
"{'CPH', 'GDN'}",65.0,CPH,GDN,Gdansk,Copenhagen
"{'CPH', 'ARN'}",72.5,CPH,ARN,Stockholm,Copenhagen
"{'CPH', 'HEL'}",100.0,CPH,HEL,Helsinki,Copenhagen
"{'CPH', 'ZRH'}",105.0,CPH,ZRH,Zurich,Copenhagen
"{'CPH', 'BUD'}",115.0,CPH,BUD,Budapest,Copenhagen
"{'CPH', 'VIE'}",102.5,CPH,VIE,Vienna,Copenhagen
"{'CPH', 'LHR'}",125.0,CPH,LHR,London,Copenhagen
"{'CPH', 'STN'}",115.0,CPH,STN,London,Copenhagen
"{'CPH', 'BZO'}",130.0,CPH,BZO,Bolzano,Copenhagen
"{'CPH', 'FRA'}",90.0,CPH,FRA,Frankfurt am Main,Copenhagen
"{'CPH', 'SZG'}",96.66666666666669,CPH,SZG,Salzburg,Copenhagen
"{'DUS', 'AMS'}",55.0,DUS,AMS,Amsterdam,Dusseldorf
"{'DUS', 'CDG'}",75.0,DUS,CDG,Paris,Dusseldorf
"{'DUS', 'MAD'}",160.0,DUS,MAD,Madrid,Dusseldorf
"{'DUS', 'HEL'}",140.0,DUS,HEL,Helsinki,Dusseldorf
"{'DUS', 'ZRH'}",70.0,DUS,ZRH,Zurich,Dusseldorf
"{'DUS', 'VIE'}",95.0,DUS,VIE,Vienna,Dusseldorf
"{'DUS', 'LHR'}",85.0,DUS,LHR,London,Dusseldorf
"{'DUS', 'FRA'}",50.0,DUS,FRA,Frankfurt am Main,Dusseldorf
"{'DUS', 'CPH'}",75.0,DUS,CPH,Copenhagen,Dusseldorf
"{'FRA', 'AMS'}",75.0,FRA,AMS,Amsterdam,Frankfurt am Main
"{'FRA', 'BCN'}",130.0,FRA,BCN,Barcelona,Frankfurt am Main
"{'FRA', 'CDG'}",75.0,FRA,CDG,Paris,Frankfurt am Main
"{'FRA', 'HAM'}",67.5,FRA,HAM,Hamburg,Frankfurt am Main
"{'FRA', 'OSL'}",140.0,FRA,OSL,Oslo,Frankfurt am Main
"{'FRA', 'ALC'}",165.0,FRA,ALC,Alicante,Frankfurt am Main
"{'FRA', 'WAW'}",120.0,FRA,WAW,Warsaw,Frankfurt am Main
"{'FRA', 'ARN'}",132.5,FRA,ARN,Stockholm,Frankfurt am Main
"{'FRA', 'BRS'}",97.5,FRA,BRS,Bristol,Frankfurt am Main
"{'FRA', 'FLR'}",92.5,FRA,FLR,Firenze,Frankfurt am Main
"{'FRA', 'HEL'}",160.0,FRA,HEL,Helsinki,Frankfurt am Main
"{'FRA', 'ZRH'}",60.0,FRA,ZRH,Zurich,Frankfurt am Main
"{'FRA', 'POZ'}",90.0,FRA,POZ,Poznan,Frankfurt am Main
"{'FRA', 'BLQ'}",90.0,FRA,BLQ,Bologna,Frankfurt am Main
"{'FRA', 'BUD'}",100.0,FRA,BUD,Budapest,Frankfurt am Main
"{'FRA', 'VIE'}",86.66666666666667,FRA,VIE,Vienna,Frankfurt am Main
"{'FRA', 'LHR'}",105.0,FRA,LHR,London,Frankfurt am Main
"{'FRA', 'SZG'}",65.0,FRA,SZG,Salzburg,Frankfurt am Main
"{'FRA', 'BRE'}",60.0,FRA,BRE,Bremen,Frankfurt am Main
