departure city,arrival city
Aarhus,Hoofddorp
Novorossiysk,Saint Petersburg
Hoofddorp,Aberdeen
Aberdeen,Croydon
Las Palmas,Málaga
Las Palmas,Barcelona
Las Palmas,Belfast
Las Palmas,Bergamo
Las Palmas,Solihull
Las Palmas,Bordeaux
Las Palmas,Brussels
Las Palmas,Paris
Las Palmas,Charleroi
Las Palmas,Aberdeen
Las Palmas,Hamburg
Las Palmas,Croydon
Las Palmas,Liverpool
Las Palmas,Luton
Las Palmas,Torrejón de Ardoz
Las Palmas,Oslo
Bournemouth,Bournemouth
Bournemouth,Southampton
Sochi,Cherepovets
Sochi,Domodedovo
Sochi,Krasnoyarsk
Sochi,Kazan
Sochi,Saint Petersburg
Sochi,Perm
Sochi,Pskov
Sochi,Khimki
Sochi,Odintsovo
Sochi,Lyubertsy
Bergen,Alicante
Bergen,Bergen
Barcelona,Málaga
Bordeaux,Málaga
Gothenburg,Málaga
Hamburg,Málaga
Croydon,Málaga
Torrejón de Ardoz,Málaga
Cagliari,Bergamo
Cagliari,Rome
Cagliari,Milan
Livorno,Marseille
Livorno,Nice
Livorno,Paris
Alicante,Barcelona
Bergamo,Alicante
Alicante,Solihull
Bristol,Alicante
Alicante,Brussels
Bristol,Alicante
Alicante,Gdynia
Alicante,Gothenburg
Alicante,Hamburg
Alicante,Croydon
Liverpool,Alicante
Alicante,Torrejón de Ardoz
Alicante,Maastricht
Alicante,Maia
Alicante,Bucharest
Alicante,Warsaw
Aberdeen,Hoofddorp
Hoofddorp,Málaga
Hoofddorp,Alicante
Hoofddorp,Uppsala
Athens,Hoofddorp
Hoofddorp,Barcelona
Hoofddorp,Bergen
Hoofddorp,Solihull
Hoofddorp,Aarhus
Hoofddorp,Burgas
Hoofddorp,Bristol
Hoofddorp,Paris
Hoofddorp,Bristol
Hoofddorp,Florence
Hoofddorp,Las Palmas
Hoofddorp,Gdynia
Hoofddorp,Geneva
Hoofddorp,Hamburg
Hoofddorp,Vantaa
Hoofddorp,Croydon
Luton,Hoofddorp
Hoofddorp,Munich
Hoofddorp,Norwich
Hoofddorp,Maia
Hoofddorp,Bucharest
Hoofddorp,Prague
Hoofddorp,Oulu
Hoofddorp,Southampton
Hoofddorp,Valencia
Hoofddorp,Zürich
Trondheim,Trondheim
Trondheim,Oulu
Arkhangelsk,Saint Petersburg
Khimki,Arkhangelsk
Uppsala,Málaga
Alicante,Uppsala
Bergamo,Uppsala
Uppsala,Gdynia
Uppsala,Gothenburg
Vantaa,Uppsala
Munich,Uppsala
Uppsala,Poznań
Uppsala,Warsaw
Astrakhan,Khimki
Athens,Çanakkale
Athens,Barcelona
Athens,Bologna
Athens,Brussels
Athens,Paris
Athens,Geneva
Athens,Menemen
Athens,Athens
Plovdiv,Athens
Athens,Croydon
Athens,Torrejón de Ardoz
Athens,Bucharest
Athens,Bodrum
Athens,Thessaloníki
Söke,Athens
Athens,Zürich
Çanakkale,Irákleio
Málaga,Barcelona
Bologna,Barcelona
Bordeaux,Barcelona
Brussels,Barcelona
Cagliari,Barcelona
Charleroi,Barcelona
Genoa,Barcelona
Gothenburg,Barcelona
Croydon,Barcelona
Maastricht,Barcelona
Maia,Barcelona
Bucharest,Barcelona
Taranto,Bergamo
Taranto,Bologna
Zemun,Athens
Zemun,Barcelona
Zemun,Budapest
Zemun,Amiens
Zemun,Paris
Zemun,Niš
Zemun,Kazan
Zemun,Saint Petersburg
Zemun,Odivelas
Zemun,Oslo
