,route,time,departure airport,arrival airport,departure city,arrival city,transit_distance [m],transit_time [s]
0,"{'AAL', 'AMS'}",85.0,AAL,AMS,Aalborg,Amsterdam,1014627,43500
1,"{'AAQ', 'LED'}",170.0,AAQ,LED,Novorossiysk,Saint Petersburg,2538536,110220
3,"{'AMS', 'ABZ'}",85.0,AMS,ABZ,Amsterdam,Aberdeen,1435877,46020
4,"{'ABZ', 'LGW'}",95.0,ABZ,LGW,Aberdeen,London,841037,27540
25,"{'AER', 'CEE'}",210.0,AER,CEE,Sochi,Cherepovets,3604679,123720
26,"{'AER', 'DME'}",215.0,AER,DME,Sochi,Moscow,2109941,82560
29,"{'AER', 'KJA'}",325.0,AER,KJA,Sochi,Krasnoyarsk,8877409,301620
30,"{'AER', 'KZN'}",205.0,AER,KZN,Sochi,Kazan,3111929,130440
31,"{'AER', 'LED'}",240.0,AER,LED,Sochi,Saint Petersburg,2752956,100680
33,"{'AER', 'PKV'}",245.0,AER,PKV,Sochi,Pskov,3263103,131640
34,"{'AER', 'SVO'}",225.8333333333333,AER,SVO,Sochi,Moscow,2109941,82560
37,"{'AER', 'VKO'}",165.0,AER,VKO,Sochi,Moscow,2109941,82560
41,"{'AES', 'ALC'}",230.0,AES,ALC,Ålesund,Alicante,4733178,270550
42,"{'AES', 'BGO'}",50.0,AES,BGO,Ålesund,Bergen,395882,35312
43,"{'BCN', 'AGP'}",97.5,BCN,AGP,Barcelona,Málaga,1099464,19920
44,"{'BOD', 'AGP'}",110.0,BOD,AGP,Bordeaux,Málaga,1318346,47760
45,"{'GOT', 'AGP'}",230.0,GOT,AGP,Gothenburg,Málaga,4382814,247740
46,"{'HAM', 'AGP'}",205.0,HAM,AGP,Hamburg,Málaga,3246306,117960
47,"{'LGW', 'AGP'}",165.0,LGW,AGP,London,Málaga,2735959,93240
51,"{'MAD', 'AGP'}",80.0,MAD,AGP,Madrid,Málaga,535859,10860
52,"{'AHO', 'BGY'}",77.5,AHO,BGY,Sassari,Monza,569613,56760
53,"{'AHO', 'FCO'}",65.0,AHO,FCO,Sassari,Rome,902359,75900
54,"{'AHO', 'LIN'}",70.0,AHO,LIN,Sassari,Milan,557761,54900
56,"{'AJA', 'NCE'}",50.0,AJA,NCE,Ajaccio,Nice,424907,52899
57,"{'AJA', 'ORY'}",100.0,AJA,ORY,Ajaccio,Paris,1079756,57099
58,"{'ALC', 'BCN'}",70.0,ALC,BCN,Alicante,Barcelona,525005,19080
61,"{'BRS', 'ALC'}",145.0,BRS,ALC,Bristol,Alicante,2529304,95820
69,"{'ALC', 'MAD'}",70.0,ALC,MAD,Alicante,Madrid,494490,8880
71,"{'ALC', 'OPO'}",95.0,ALC,OPO,Alicante,Porto,1431802,38520
73,"{'ALC', 'WMI'}",205.0,ALC,WMI,Alicante,Warsaw,4048357,150900
74,"{'ABZ', 'AMS'}",95.0,ABZ,AMS,Aberdeen,Amsterdam,1435283,65460
75,"{'AMS', 'AGP'}",187.5,AMS,AGP,Amsterdam,Málaga,2769406,98880
77,"{'AMS', 'ARN'}",130.0,AMS,ARN,Amsterdam,Stockholm,1680649,69360
78,"{'ATH', 'AMS'}",220.0,ATH,AMS,Athens,Amsterdam,2907374,184620
79,"{'AMS', 'BCN'}",142.5,AMS,BCN,Amsterdam,Barcelona,1627336,44340
80,"{'AMS', 'BGO'}",107.5,AMS,BGO,Amsterdam,Bergen,2259861,117120
81,"{'AMS', 'BHX'}",80.0,AMS,BHX,Amsterdam,Birmingham,776613,24480
82,"{'AMS', 'BLL'}",75.0,AMS,BLL,Amsterdam,Kolding,825872,32760
83,"{'AMS', 'BOJ'}",200.0,AMS,BOJ,Amsterdam,Burgas,3004076,176900
84,"{'AMS', 'BRS'}",85.0,AMS,BRS,Amsterdam,Bristol,791851,26820
85,"{'AMS', 'CDG'}",80.0,AMS,CDG,Amsterdam,Paris,532543,12420
86,"{'AMS', 'CWL'}",80.0,AMS,CWL,Amsterdam,Weston-super-Mare,873929,30660
87,"{'AMS', 'FLR'}",130.0,AMS,FLR,Amsterdam,Florence,1893438,77400
88,"{'AMS', 'GDN'}",110.0,AMS,GDN,Amsterdam,Gdańsk,1254745,74430
89,"{'AMS', 'GVA'}",97.5,AMS,GVA,Amsterdam,Geneva,1062551,30060
90,"{'AMS', 'HAM'}",70.0,AMS,HAM,Amsterdam,Hamburg,492694,19740
91,"{'AMS', 'HEL'}",160.0,AMS,HEL,Amsterdam,Helsinki,2139705,114720
92,"{'AMS', 'LGW'}",80.0,AMS,LGW,Amsterdam,London,597326,18780
93,"{'LTN', 'AMS'}",70.0,LTN,AMS,London,Amsterdam,594347,14160
96,"{'AMS', 'MUC'}",100.0,AMS,MUC,Amsterdam,Munich,862521,27180
97,"{'AMS', 'NWI'}",55.0,AMS,NWI,Amsterdam,Norwich,783592,25920
98,"{'AMS', 'OPO'}",162.5,AMS,OPO,Amsterdam,Porto,2810910,180600
99,"{'AMS', 'OTP'}",185.0,AMS,OTP,Amsterdam,Bucharest,2468522,129060
100,"{'AMS', 'PRG'}",80.0,AMS,PRG,Amsterdam,Prague,1036360,41940
101,"{'AMS', 'RVN'}",185.0,AMS,RVN,Amsterdam,Rovaniemi,2886091,157560
102,"{'AMS', 'SOU'}",75.0,AMS,SOU,Amsterdam,Portsmouth,731916,26400
103,"{'AMS', 'VLC'}",160.0,AMS,VLC,Amsterdam,Valencia,1980363,90120
104,"{'AMS', 'ZRH'}",102.5,AMS,ZRH,Amsterdam,Zürich,1148687,33480
105,"{'ARH', 'LED'}",90.0,ARH,LED,Arkhangelsk,Saint Petersburg,1795516,84180
