id,ident,type,airport name,latitude_left,longitude_left,elevation_ft,continent,iso_country,iso_region,airport city,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,geometry,index_right,nearest city,latitude_right,longitude_right,country,iso2,admin_name,capital,population,population_proper,distance
4614,BKPR,medium_airport,Priština Adem Jashari International Airport,42.5728,21.035801,1789.0,EU,XK,XK-01,Prishtina,yes,BKPR,PRN,,http://www.airportpristina.com/,https://en.wikipedia.org/wiki/Pristina_International_Airport,"LYPR, Pristina, Slatina Air Base",POINT (21.035801 42.5728),432,Pristina,42.6633,21.1622,Kosovo,XK,Prishtinë,primary,161751.0,161751.0,0.15545725200517208
2155,EBBR,large_airport,Brussels Airport,50.901402,4.48444,175.0,EU,BE,BE-BRU,Zaventem,yes,EBBR,BRU,,http://www.brusselsairport.be/en/,https://en.wikipedia.org/wiki/Brussels_Airport,"Brussels National, Zaventem, EBMB",POINT (4.48444 50.901402),523,Brussels,50.8467,4.3525,Belgium,BE,Brussels-Capital Region,primary,1743000.0,188737.0,0.14283022230606493
2157,EBCI,medium_airport,Brussels South Charleroi Airport,50.460982,4.457158,614.0,EU,BE,BE-WHT,Charleroi,yes,EBCI,CRL,,http://www.charleroi-airport.com/doc.php?nd=o29&tid=29&lg=2&docid=1&site=1,https://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport,Gosselies Airport,POINT (4.457158 50.460982),526,Charleroi,50.4,4.4333,Belgium,BE,Wallonia,minor,201816.0,201816.0,0.06548288698584022
2162,EBLG,medium_airport,Liège Airport,50.638574,5.443897,659.0,EU,BE,BE-WLG,Grâce-Hollogne,yes,EBLG,LGG,,http://www.liegeairport.be/,https://en.wikipedia.org/wiki/Li%C3%A8ge_Airport,Bierset,POINT (5.443897 50.638574),527,Liège,50.6397,5.5706,Belgium,BE,Wallonia,minor,196623.0,195278.0,0.12670800323973228
2210,EDDC,medium_airport,Dresden Airport,51.134123,13.767831,755.0,EU,DE,DE-SN,Dresden,yes,EDDC,DRS,,http://www.dresden-airport.de/en/index.html,https://en.wikipedia.org/wiki/Dresden_Airport,,POINT (13.767831 51.134123),3390,Dresden,51.05,13.74,Germany,DE,Saxony,admin,561922.0,561922.0,0.08860724400409277
2212,EDDF,large_airport,Frankfurt Airport,50.036521,8.561268,364.0,EU,DE,DE-HE,Frankfurt am Main,yes,EDDF,FRA,,http://www.frankfurt-airport.de/,https://en.wikipedia.org/wiki/Frankfurt_Airport,"EDAF, Frankfurt am Main, Frankfurt Main, Rhein-Main Air Base, Zeppelinheim",POINT (8.561268 50.036521),3384,Frankfurt,50.1106,8.6822,Germany,DE,Hesse,minor,764104.0,759224.0,0.14181765357316978
2213,EDDG,medium_airport,Münster Osnabrück Airport,52.134602,7.68483,160.0,EU,DE,DE-NW,Greven,yes,EDDG,FMO,,https://www.fmo.de/,https://en.wikipedia.org/wiki/M%C3%BCnster_Osnabr%C3%BCck_International_Airport,,POINT (7.68483 52.134602),3398,Münster,51.9625,7.6256,Germany,DE,North Rhine-Westphalia,minor,317713.0,317713.0,0.18200904181935787
2214,EDDH,large_airport,Hamburg Helmut Schmidt Airport,53.630402,9.98823,53.0,EU,DE,DE-HH,Hamburg,yes,EDDH,HAM,,https://www.hamburg-airport.de/en/,https://en.wikipedia.org/wiki/Hamburg_Airport,Hamburg-Fuhlsbüttel Airport,POINT (9.98823 53.630402),3382,Hamburg,53.55,10.0,Germany,DE,Hamburg,admin,2484800.0,1853935.0,0.08125893491795172
2216,EDDK,large_airport,Cologne Bonn Airport,50.865898,7.14274,302.0,EU,DE,DE-NW,Köln (Cologne),yes,EDDK,CGN,,http://www.koeln-bonn-airport.de/en/,https://en.wikipedia.org/wiki/Cologne_Bonn_Airport,Köln,POINT (7.14274 50.865898),3449,Bergisch Gladbach,50.9918,7.1303,Germany,DE,North Rhine-Westphalia,minor,111966.0,111645.0,0.12651508686318438
2217,EDDL,large_airport,Düsseldorf Airport,51.289501,6.76678,147.0,EU,DE,DE-NW,Düsseldorf,yes,EDDL,DUS,,http://www.dus.com/dus_en/,https://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport,,POINT (6.76678 51.289501),3385,Düsseldorf,51.2333,6.7833,Germany,DE,North Rhine-Westphalia,admin,645923.0,619477.0,0.05857868896621163
