departure city,arrival city
Aalborg,Amsterdam
Novorossiysk,Saint Petersburg
Amsterdam,Aberdeen
Aberdeen,London
Arrecife,Málaga
Arrecife,Barcelona
Arrecife,Belfast
Arrecife,Monza
Arrecife,Birmingham
Arrecife,Bordeaux
Arrecife,Brussels
Arrecife,Paris
Arrecife,Brussels
Arrecife,Dunfermline
Arrecife,Hamburg
Arrecife,London
Arrecife,Liverpool
Arrecife,London
Arrecife,Madrid
Arrecife,Oslo
Sochi,Cherepovets
Sochi,Moscow
Sochi,Krasnoyarsk
Sochi,Kazan
Sochi,Saint Petersburg
Sochi,Perm
Sochi,Pskov
Sochi,Moscow
Sochi,Moscow
Sochi,Balashikha
Ålesund,Alicante
Ålesund,Bergen
Barcelona,Málaga
Bordeaux,Málaga
Gothenburg,Málaga
Hamburg,Málaga
London,Málaga
Madrid,Málaga
Sassari,Monza
Sassari,Rome
Sassari,Milan
Ajaccio,Marseille
Ajaccio,Nice
Ajaccio,Paris
Alicante,Barcelona
Monza,Alicante
Alicante,Birmingham
Bristol,Alicante
Alicante,Brussels
Weston-super-Mare,Alicante
Alicante,Gdańsk
Alicante,Gothenburg
Alicante,Hamburg
Alicante,London
Liverpool,Alicante
Alicante,Madrid
Alicante,Maastricht
Alicante,Porto
Alicante,Bucharest
Alicante,Warsaw
Aberdeen,Amsterdam
Amsterdam,Málaga
Amsterdam,Alicante
Amsterdam,Stockholm
Athens,Amsterdam
Amsterdam,Barcelona
Amsterdam,Bergen
Amsterdam,Birmingham
Amsterdam,Kolding
Amsterdam,Burgas
Amsterdam,Bristol
Amsterdam,Paris
Amsterdam,Weston-super-Mare
Amsterdam,Florence
Amsterdam,Gdańsk
Amsterdam,Geneva
Amsterdam,Hamburg
Amsterdam,Helsinki
Amsterdam,London
London,Amsterdam
Amsterdam,Munich
Amsterdam,Norwich
Amsterdam,Porto
Amsterdam,Bucharest
Amsterdam,Prague
Amsterdam,Rovaniemi
Amsterdam,Portsmouth
Amsterdam,Valencia
Amsterdam,Zürich
Arkhangelsk,Saint Petersburg
Moscow,Arkhangelsk
Stockholm,Málaga
Alicante,Stockholm
Monza,Stockholm
Stockholm,Gdańsk
Stockholm,Gothenburg
Helsinki,Stockholm
Munich,Stockholm
Stockholm,Poznań
Stockholm,Warsaw
Astrakhan,Moscow
Athens,Barcelona
Athens,Bologna
Athens,Brussels
Athens,Paris
Athens,Geneva
Athens,Chíos
Ermoúpoli,Athens
Kavála,Athens
Athens,London
Athens,Madrid
Athens,Bucharest
Athens,Ródos
Athens,Thessaloníki
Kuşadası,Athens
Athens,Zürich
Málaga,Barcelona
Bologna,Barcelona
Bordeaux,Barcelona
Brussels,Barcelona
Cagliari,Barcelona
Brussels,Barcelona
Genoa,Barcelona
Gothenburg,Barcelona
London,Barcelona
Maastricht,Barcelona
