city1,city2,transit_distance [m],transit_time [s]
Copenhagen,Madrid,2766617,116760
Dusseldorf,Madrid,1903205,80100
London,Madrid,1783116,70560
London,Madrid,1783116,70560
Nantes,Madrid,836131,55500
Venezia,Madrid,2065038,83640
Alicante,Madrid,519903,9180
Edinburgh,Madrid,2301627,89220
Firenze,Madrid,1975945,83700
Barcelona,Madrid,619883,9000
Paris,Madrid,1174065,42000
Vienna,Madrid,2601602,86340
Hamburg,Madrid,2486520,81900
Budapest,Madrid,2724454,116100
Marseille,Madrid,1124676,47138
Zurich,Madrid,1655240,69600
Bologna,Madrid,1894543,81240
Helsinki,Madrid,3998052,179473
Nice,Madrid,1169039,47040
Palermo,Madrid,2988117,127220
Vigo,Madrid,710761,38880
Jerez de la Frontera,Madrid,575029,15540
Toulouse,Madrid,689688,35100
Valencia,Madrid,398539,6600
Lyon,Madrid,1254103,44280
Pisa,Madrid,2061900,84660
Pamplona,Madrid,440956,12240
Santiago de Compostela,Madrid,633354,12000
Santander,Madrid,-1,-1
Luton,Barcelona,1809360,70320
Frankfurt am Main,Barcelona,1257548,59760
London,Barcelona,1563629,68880
London,Barcelona,1563629,68880
Venezia,Barcelona,1436048,69540
Warsaw,Barcelona,2831073,92760
Warsaw,Barcelona,2831073,92760
Amsterdam,Barcelona,1574426,55320
Alicante,Barcelona,449965,28800
Edinburgh,Barcelona,2260151,72480
Paris,Barcelona,1073161,40860
Paris,Barcelona,1073161,40860
Vienna,Barcelona,1995431,74700
Birmingham,Barcelona,1662564,70260
Bristol,Barcelona,1694364,68160
Budapest,Barcelona,2117339,89340
Zurich,Barcelona,1049646,57060
Bologna,Barcelona,1265553,67140
Charleroi,Barcelona,1435393,58500
Genova,Barcelona,868817,43680
Maastricht,Barcelona,1487093,61565
Helsinki,Barcelona,3902988,177133
Liverpool,Barcelona,-1,-1
Napoli,Barcelona,1838967,76709
Nice,Barcelona,563493,36240
Palermo,Barcelona,2499033,113230
Vigo,Barcelona,1312068,48840
Jerez de la Frontera,Barcelona,1176345,48660
Copenhagen,Paris,1535626,63540
Dusseldorf,Paris,610014,35760
Frankfurt am Main,Paris,590415,30900
Montpellier,Paris,736352,13020
Oslo,Paris,1779906,82800
Venezia,Paris,1233850,48720
Venezia,Paris,1233850,48720
Warsaw,Paris,1729454,61860
Amsterdam,Paris,532543,12420
Firenze,Paris,1156117,45180
Vienna,Paris,1325161,48900
Stockholm,Paris,2179556,87300
Marseille,Paris,665803,40200
Marseille,Paris,665803,40200
Zurich,Paris,724917,35760
