city1,city2,transit_distance [m]_x,transit_time [s]_x,departure city,arrival city,transit_distance [m]_y,transit_time [s]_y
Alicante,Barcelona,449965,28800,Alicante,Barcelona,461047,27900
Malaga,Barcelona,1049384,36900,Malaga,Barcelona,1049384,36900
Bologna,Barcelona,1305498,62700,Bologna,Barcelona,1305498,62700
Bordeaux,Barcelona,-1,-1,Bordeaux,Barcelona,-1,-1
Cagliari,Barcelona,-1,-1,Cagliari,Barcelona,-1,-1
Charleroi,Barcelona,1435393,58500,Charleroi,Barcelona,1356773,39660
Gothenburg,Barcelona,2498700,120360,Gothenburg,Barcelona,2498700,120360
Maastricht,Barcelona,1487093,61565,Maastricht,Barcelona,1631994,59400
Bilbao,Barcelona,508671,30600,Bilbao,Barcelona,961165,29400
Bristol,Barcelona,1694441,68160,Bristol,Barcelona,1808468,51900
Budapest,Barcelona,-1,-1,Budapest,Barcelona,-1,-1
Paris,Barcelona,834126,47710,Paris,Barcelona,834126,47710
Paris,Barcelona,834126,47710,Paris,Barcelona,1053748,29220
Barcelona,Malaga,1041588,39420,Barcelona,Malaga,1041588,39420
Bordeaux,Malaga,1251761,48080,Bordeaux,Malaga,1234729,48290
Gothenburg,Malaga,3640736,145200,Gothenburg,Malaga,3640736,145200
Hamburg,Malaga,2722744,113700,Hamburg,Malaga,2722744,113700
Bournemouth,Malaga,2362596,100500,Bournemouth,Malaga,2362596,100500
Bristol,Malaga,2809474,93600,Bristol,Malaga,2378675,94920
Budapest,Malaga,3319175,119940,Budapest,Malaga,3319175,119940
Paris,Malaga,1603347,69120,Paris,Malaga,1603347,69120
Paris,Malaga,1603347,69120,Paris,Malaga,1603347,69120
Bilbao,Paris,951215,36900,Bilbao,Paris,887156,25320
Munich,Paris,860458,28920,Munich,Paris,819687,31200
Bristol,Alicante,2220310,92400,Bristol,Alicante,-1,-1
Bristol,Alicante,2220310,92400,Bristol,Alicante,-1,-1
Liverpool,Alicante,-1,-1,Liverpool,Alicante,-1,-1
Belfast,Alicante,2972959,124080,Belfast,Alicante,2959782,126885
Bari,Rome,575170,27900,Bari,Rome,485231,20700
Budapest,Rome,1167179,46140,Budapest,Rome,1167179,46140
Charleroi,Rome,1549691,67260,Charleroi,Rome,1686432,74700
Craiova,Bologna,-1,-1,Craiova,Bologna,-1,-1
Budapest,Bologna,812679,38940,Budapest,Bologna,812679,38940
Paris,Bologna,971526,44940,Paris,Bologna,971526,44940
Bari,Charleroi,2057811,75660,Bari,Charleroi,2011192,78604
Budapest,Charleroi,1484023,62040,Budapest,Charleroi,1484023,62040
Alicante,Warsaw,3183016,128220,Alicante,Warsaw,3183016,128220
Bari,Warsaw,2053251,105484,Bari,Warsaw,2053251,105484
Budapest,Warsaw,689288,35580,Budapest,Warsaw,689288,35580
Bilbao,Munich,1860587,61080,Bilbao,Munich,1760967,50220
Bremen,Munich,769214,27960,Bremen,Munich,964184,30120
Alicante,Bristol,2281069,81180,Alicante,Bristol,2281069,81180
Budapest,Bristol,-1,-1,Budapest,Bristol,-1,-1
Bratislava,Luton,1926808,70920,Bratislava,Luton,1926808,70920
Budapest,Luton,-1,-1,Budapest,Luton,-1,-1
Bydgoszcz,Luton,1717263,66600,Bydgoszcz,Luton,1717263,66600
Alicante,Gothenburg,-1,-1,Alicante,Gothenburg,-1,-1
Paris,Gothenburg,1709478,78840,Paris,Gothenburg,1783002,81600
Bristol,Poznan,1612685,60060,Bristol,Poznan,1709331,60350
Alicante,Hamburg,2684100,98880,Alicante,Hamburg,2684100,98880
Belfast,Geneva,1743461,76140,Belfast,Geneva,1779202,83745
Belfast,Geneva,1743461,76140,Belfast,Geneva,1779202,83745
Barcelona,Bordeaux,650419,41100,Barcelona,Bordeaux,650419,41100
Paris,Bordeaux,504695,26100,Paris,Bordeaux,498866,24600
Malaga,Bergen,4329836,198720,Malaga,Bergen,4329836,198720
Budapest,Prague,531355,22800,Budapest,Prague,531355,22800
Bari,Budapest,1423754,73804,Bari,Budapest,1423754,73804
Budapest,Catania,1903462,81185,Budapest,Catania,1903462,81185
Belfast,Liverpool,-1,-1,Belfast,Liverpool,-1,-1
Budapest,Marseille,-1,-1,Budapest,Marseille,-1,-1
Sochi,Kazan,4588313,181920,Sochi,Kazan,4588313,181920
Sochi,Cherepovets,-1,-1,Sochi,Cherepovets,-1,-1
Bratislava,Kaunas,1085758,63265,Bratislava,Kaunas,1085758,63265
Sochi,Krasnoyarsk,9959629,360180,Sochi,Krasnoyarsk,9959629,360180
Sochi,Perm,5660343,209520,Sochi,Perm,5660343,209520
Sochi,Pskov,3893856,161358,Sochi,Pskov,3893856,161358
Alicante,Maastricht,2031763,76260,Alicante,Maastricht,2031763,76260
Copenhagen,Aarhus,314916,17760,Copenhagen,Aarhus,314916,17760
Copenhagen,Aarhus,314916,17760,Copenhagen,Aarhus,314916,17760
Copenhagen,Paris,1526162,63480,Copenhagen,Paris,1526162,63480
Dusseldorf,Paris,563981,33000,Dusseldorf,Paris,525306,33540
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Rome,Paris,1472545,56580,Rome,Paris,1414812,56580
Copenhagen,Malaga,3327758,117720,Copenhagen,Malaga,3327758,117720
Eindhoven,Malaga,2533381,83280,Eindhoven,Malaga,-1,-1
Rome,Malaga,2687560,124800,Rome,Malaga,2728316,97860
Copenhagen,Munich,1315701,49200,Copenhagen,Munich,1315701,49200
Dusseldorf,Munich,660970,26940,Dusseldorf,Munich,699763,24120
Rome,Munich,910221,42600,Rome,Munich,910081,32820
Geneva,Munich,597482,34800,Geneva,Munich,597482,34800
Rome,Barcelona,-1,-1,Rome,Barcelona,1378395,76500
Granada,Barcelona,1033665,38400,Granada,Barcelona,958584,27000
Geneva,Barcelona,793406,34260,Geneva,Barcelona,793406,34260
Copenhagen,Gothenburg,300390,15480,Copenhagen,Gothenburg,339564,27360
Malaga,Gothenburg,3637487,147900,Malaga,Gothenburg,3637487,147900
Bergen,Gothenburg,748233,41700,Bergen,Gothenburg,748233,41700
Geneva,Gothenburg,2022864,88200,Geneva,Gothenburg,1910823,84000
Copenhagen,Budapest,1874267,75720,Copenhagen,Budapest,1874267,75720
Dortmund,Budapest,1265539,55500,Dortmund,Budapest,1315128,47820
Eindhoven,Budapest,1386390,61380,Eindhoven,Budapest,1380479,57780
