city1,city2,transit_distance [m],transit_time [s],departure city,arrival city
San Bartolome,Barcelona,-1,-1,,
Alicante,Barcelona,449965,28800,,
Amsterdam,Barcelona,1574426,55320,,
Spata,Barcelona,3359236,189858,,
Malaga,Barcelona,1049384,36900,,
Bologna,Barcelona,1305498,62700,,
Bordeaux,Barcelona,-1,-1,,
Zaventem,Barcelona,1382477,53040,,
Cagliari,Barcelona,-1,-1,,
Charleroi,Barcelona,1435393,58500,,
Genova,Barcelona,926099,85800,,
Gothenburg,Barcelona,2498700,120360,,
Gatwick,Barcelona,1543032,62460,,
Maastricht,Barcelona,1487093,61565,,
Postage,Barcelona,-1,-1,,
Otopeni,Barcelona,-1,-1,,
Belgrade,Barcelona,2027096,117360,,
Orio al Serio,Barcelona,1130633,57149,,
Birmingham,Barcelona,1685388,68100,,
Bilbao,Barcelona,508671,30600,,
Bristol,Barcelona,1694441,68160,,
Budapest,Barcelona,-1,-1,,
Tille,Barcelona,1167082,58466,,
Paris,Barcelona,834126,47710,,
San Bartolome,Malaga,-1,-1,,
Barcelona,Malaga,1041588,39420,,
Bordeaux,Malaga,1251761,48080,,
Gothenburg,Malaga,3640736,145200,,
Hamburg,Malaga,2722744,113700,,
Gatwick,Malaga,2332583,84720,,
Madrid,Malaga,471357,29280,,
Amsterdam,Malaga,2413746,78540,,
Stockholm,Malaga,4019751,155520,,
Orio al Serio,Malaga,2241087,82589,,
Birmingham,Malaga,2800421,93540,,
Bournemouth,Malaga,2362596,100500,,
Bristol,Malaga,2809474,93600,,
Budapest,Malaga,3319175,119940,,
Paris,Malaga,1603347,69120,,
Cologne,Malaga,2758812,85440,,
San Bartolome,Paris,-1,-1,,
Ajaccio,Paris,1080196,57099,,
Amsterdam,Paris,449334,29220,,
Spata,Paris,3104592,150918,,
Belgrade,Paris,1868840,78180,,
Bilbao,Paris,951215,36900,,
Saint,Paris,-1,-1,,
Stockholm,Paris,2156564,80880,,
Helsinki,Paris,2696435,140820,,
Munich,Paris,860458,28920,,
Tromso,Paris,3711689,181305,,
San Bartolome,Orio al Serio,-1,-1,,
Alghero,Orio al Serio,629411,63430,,
Brindisi,Orio al Serio,1223476,45694,,
Alicante,Orio al Serio,1627931,92730,,
Stockholm,Orio al Serio,2491813,107679,,
Bristol,Orio al Serio,1535332,74223,,
Tille,Orio al Serio,998766,59196,,
Pescara,Orio al Serio,676389,33030,,
Bari,Orio al Serio,901280,39364,,
Budapest,Orio al Serio,913600,48881,,
Cluj,Orio al Serio,1677743,91119,,
Alicante,Otopeni,-1,-1,,
Amsterdam,Otopeni,2287632,119340,,
Spata,Otopeni,1252410,76728,,
Orio al Serio,Otopeni,1897744,110519,,
Birmingham,Otopeni,3123447,148260,,
Bari,Otopeni,-1,-1,,
Saint,Otopeni,-1,-1,,
Paris,Otopeni,2365718,119220,,
Cluj,Otopeni,601842,43080,,
San Bartolome,Birmingham,-1,-1,,
Alicante,Birmingham,2265833,79020,,
Amsterdam,Birmingham,719732,45240,,
Belfast,Birmingham,542550,45420,,
Belfast,Birmingham,542550,45420,,
Budapest,Birmingham,-1,-1,,
Paris,Birmingham,585472,38820,,
Viviers,Birmingham,1281721,38812,,
Aalborg,Amsterdam,1027798,58200,,
Aberdeen,Amsterdam,1448954,52320,,
Spata,Amsterdam,2987674,161178,,
Luton,Amsterdam,627897,37560,,
Belfast,Amsterdam,1309053,64500,,
