departure city,arrival city,transit_distance [m],transit_time [s]
Arrecife,Barcelona,-1,-1
Alicante,Barcelona,525005,19080
Amsterdam,Barcelona,1627336,44340
Athens,Barcelona,-1,-1
Málaga,Barcelona,1110453,22380
Bologna,Barcelona,-1,-1
Bordeaux,Barcelona,661381,22800
Brussels,Barcelona,1409921,37620
Cagliari,Barcelona,-1,-1
Brussels,Barcelona,1409921,37620
Genoa,Barcelona,889700,46020
Gothenburg,Barcelona,3057011,111840
London,Barcelona,1598793,38700
Maastricht,Barcelona,1628329,79080
Porto,Barcelona,1466635,40620
Bucharest,Barcelona,3608090,168720
Belgrade,Barcelona,2414931,122220
Monza,Barcelona,-1,-1
Birmingham,Barcelona,1777863,43800
Bilbao,Barcelona,703002,30420
Bristol,Barcelona,-1,-1
Budapest,Barcelona,2377725,88560
Amiens,Barcelona,1225447,32640
Paris,Barcelona,1088908,24540
Arrecife,Málaga,-1,-1
Barcelona,Málaga,1099464,19920
Bordeaux,Málaga,1318346,47760
Gothenburg,Málaga,4382814,247740
Hamburg,Málaga,3246306,117960
London,Málaga,2735959,93240
Madrid,Málaga,535859,10860
Amsterdam,Málaga,2769406,98880
Stockholm,Málaga,4680882,255060
Monza,Málaga,-1,-1
Birmingham,Málaga,2915029,98340
Southampton,Málaga,2889847,100860
Bristol,Málaga,2953083,100860
Budapest,Málaga,3541359,127620
Paris,Málaga,2199362,49980
Cologne,Málaga,2451841,99000
Copenhagen,Málaga,3655257,122940
Aberdeen,London,841037,27540
Arrecife,London,-1,-1
Arrecife,London,-1,-1
Alicante,London,-1,-1
Amsterdam,London,597326,18780
Athens,London,3187047,193140
Belfast,London,743273,58182
Belfast,London,743273,58182
Bilbao,London,1433916,43380
Bratislava,London,1962440,81720
Budapest,London,2114894,86580
Budapest,London,2114894,86580
Bydgoszcz,London,1724709,86280
Copenhagen,London,1536602,76860
Arrecife,Paris,-1,-1
Ajaccio,Paris,1079756,57099
Amsterdam,Paris,532543,12420
Athens,Paris,3314740,205080
Belgrade,Paris,2083148,91980
Bilbao,Paris,-1,-1
Freiburg im Breisgau,Paris,587969,15600
Stockholm,Paris,2400379,81060
Helsinki,Paris,2894179,150720
Munich,Paris,909448,21960
Tromsø,Paris,-1,-1
Copenhagen,Paris,1610505,73440
Arrecife,Brussels,-1,-1
Arrecife,Brussels,-1,-1
Alicante,Brussels,-1,-1
Athens,Brussels,2800052,173760
Monza,Brussels,1227518,39720
Bari,Brussels,1914471,84360
Málaga,Brussels,-1,-1
