time_avg[h],time_opti[h],time_opti[min],time_avg[min],city1,city2
1.54,0.86,51.6,92.4,Paris,Tours
1.52,1.11,66.60000000000001,91.2,London,Birmingham
1.82,1.48,88.8,109.2,London,Bristol
1.66,1.38,82.8,99.6,Birmingham,Bristol
1.45,1.14,68.39999999999999,87.0,London,Southampton
0.79,0.44,26.4,47.400000000000006,Bournemouth,Southampton
0.6,0.35,21.0,36.0,London,Luton
1.99,1.43,85.8,119.4,Madrid,Zaragoza
2.05,1.47,88.2,123.0,Barcelona,Zaragoza
1.19,0.81,48.6,71.39999999999999,Bologna,Parma
1.88,1.48,88.8,112.8,Firenze,Parma
1.91,1.42,85.19999999999999,114.6,Frankfurt am Main,Dusseldorf
1.21,0.63,37.8,72.6,Barcelona,Girona
1.44,1.1,66.0,86.39999999999999,Birmingham,Liverpool
0.75,0.58,34.8,45.0,Bologna,Firenze
1.72,1.25,75.0,103.2,Liverpool,Leeds
1.41,0.79,47.400000000000006,84.6,Vienna,Bratislava
1.22,0.91,54.6,73.2,Hamburg,Bremen
2.54,1.5,90.0,152.4,Valencia,Alicante
0.86,0.5,30.0,51.6,Amsterdam,Rotterdam
1.23,1.04,62.400000000000006,73.8,Eindhoven,Maastricht
1.34,1.19,71.39999999999999,80.4,Amsterdam,Eindhoven
1.35,1.17,70.19999999999999,81.0,Rotterdam,Eindhoven
0.38,0.27,16.200000000000003,22.8,Copenhagen,Malmo
2.52,1.43,85.8,151.2,Marseille,Montpellier
1.67,1.24,74.4,100.2,Helsinki,Tampere
1.69,1.29,77.4,101.4,Frankfurt am Main,Stuttgart
2.74,1.45,87.0,164.4,Toulouse,Beziers
1.02,0.69,41.4,61.2,Montpellier,Beziers
0.84,0.64,38.4,50.4,Bristol,Cardiff
2.2,1.48,88.8,132.0,Bologna,Pisa
1.27,0.81,48.6,76.2,Firenze,Pisa
2.0,1.41,84.6,120.0,Bologna,Venezia
2.02,1.33,79.80000000000001,121.2,Vigo,Santiago de Compostela
1.6,0.91,54.6,96.0,Bari,Brindisi
0.71,0.51,30.6,42.6,Venezia,Treviso
