Airport;Country;IATA airport code;ICAO airport code
Tirana;Albania;TIA;LATI
Yerevan;Armenia;EVN;UDYZ
Graz;Austria;GRZ;LOWG
Innsbruck;Austria;INN;LOWI
Klagenfurt;Austria;KLU;LOWK
Linz;Austria;LNZ;LOWL
Salzburg;Austria;SZG;LOWS
Vienna;Austria;VIE;LOWW
Baku;Azerbaijan;GYD;UBBB
Minsk;Belarus;MSQ;UMMS
Antwerp;Belgium;ANR;EBAW
Brussels;Belgium;BRU;EBBR
Charleroi;Belgium;CRL;EBCI
Liege;Belgium;LGG;EBLG
Ostend;Belgium;OST;EBOS
Sarajevo;Bosnia and Herzegovina;SJJ;LQSA
Tuzla;Bosnia and Herzegovina;TZL;LQTZ
Burgas;Bulgaria;BOJ;LBBG
Sofia;Bulgaria;SOF;LBSF
Varna;Bulgaria;VAR;LBWN
Dubrovnik;Croatia;DBV;LDDU
Pula;Croatia;PUY;LDPL
Rijeka;Croatia;RJK;LDRI
Split;Croatia;SPU;LDSP
Zadar;Croatia;ZAD;LDZD
Zagreb;Croatia;ZAG;LDZA
Larnaca;Cyprus;LCA;LCLK
Paphos;Cyprus;PFO;LCPH
Brno;Czech Republic;BRQ;LKTB
Prague;Czech Republic;PRG;LKPR
Aalborg;Denmark;AAL;EKYT
Aarhus;Denmark;AAR;EKAH
Billund;Denmark;BLL;EKBI
Copenhagen;Denmark;CPH;EKCH
Vágar;Denmark;FAE;EKVG
Tallinn;Estonia;TLL;EETN
Helsinki;Finland;HEL;EFHK
Kittilä;Finland;KTT;EFKT
Oulu;Finland;OUL;EFOU
Rovaniemi;Finland;RVN;EFRO
Tampere;Finland;TMP;EFTP
Turku;Finland;TKU;EFTU
Vaasa;Finland;VAA;EFVA
Ajaccio;France;AJA;LFKJ
Bastia;France;BIA;LFKB
Bergerac;France;EGC;LFBE
Biarritz;France;BIQ;LFBZ
Bordeaux;France;BOD;LFBD
Brest;France;BES;LFRB
Figari;France;FSC;LFKF
Lille;France;LIL;LFQQ
Lyon-Saint;France;LYS;LFLL
Marseille;France;MRS;LFML
